pdf	analysis_count	estimable_analysis_count	uncertain_analysis_count	not_estimable_analysis_count	analysis_ids	estimable_analysis_ids	uncertain_analysis_ids	not_estimable_analysis_ids	error
Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	32	32	0	0	1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;1.15;1.16;1.17;1.18;1.19;1.20;1.21;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;2.10;2.11	1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;1.15;1.16;1.17;1.18;1.19;1.20;1.21;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;2.10;2.11	.	.	.
Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	21	21	0	0	1.1;1.2;1.3;1.4;1.5;1.6;2.1;2.2;2.3;3.1;3.2;3.3;3.4;3.5;3.6;4.1;4.2;4.3;4.4;4.5;4.6	1.1;1.2;1.3;1.4;1.5;1.6;2.1;2.2;2.3;3.1;3.2;3.3;3.4;3.5;3.6;4.1;4.2;4.3;4.4;4.5;4.6	.	.	.
Cochrane_reviews/after_pilot/CD012079_vaginal_prolapse_repair.pdf	96	65	25	6	1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;1.15;1.16;1.17;1.18;1.19;1.20;1.21;1.22;1.23;1.24;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;2.10;2.11;2.12;2.13;2.14;2.15;2.16;2.17;2.18;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8;3.9;3.10;3.11;3.12;3.13;3.14;3.15;3.16;3.17;3.18;4.1;4.2;4.3;4.4;4.5;4.6;4.7;4.8;4.9;4.10;4.11;4.12;4.13;4.14;4.15;4.16;4.17;4.18;5.1;5.2;5.3;5.4;5.5;5.6;5.7;5.8;5.9;5.10;5.11;5.12;5.13;5.14;5.15;5.16;5.17;5.18	1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;1.15;1.16;1.17;1.18;1.19;1.20;1.21;1.22;1.23;1.24;2.1;2.2;2.3;2.4;2.5;2.10;2.18;3.1;3.2;3.3;3.4;3.5;3.6;3.8;3.9;3.10;3.11;3.12;3.13;3.14;3.16;3.17;3.18;4.2;4.3;4.6;4.7;4.10;4.14;4.16;4.17;4.18;5.2;5.3;5.6;5.7;5.10;5.11;5.12;5.16;5.17	2.7;2.9;2.12;2.13;2.14;2.15;2.16;2.17;3.15;4.1;4.4;4.5;4.9;4.11;4.12;4.13;4.15;5.1;5.4;5.5;5.9;5.13;5.14;5.15;5.18	2.6;2.8;2.11;3.7;4.8;5.8	.
Cochrane_reviews/after_pilot/CD013729_dash_cvd.pdf	22	22	0	0	1.1;1.2;1.3;1.4;1.5;1.6;1.7;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;2.10;2.11;2.12;3.1;3.2;3.3	1.1;1.2;1.3;1.4;1.5;1.6;1.7;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;2.10;2.11;2.12;3.1;3.2;3.3	.	.	.
Cochrane_reviews/after_pilot/CD014606_digital_cf_infections.pdf	11	11	0	0	1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11	1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11	.	.	.
Cochrane_reviews/after_pilot/CD014861_home_iv_cancer_therapy.pdf	18	18	0	0	1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;2.1;2.2;2.3;2.4;2.5;2.6;2.7	1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;2.1;2.2;2.3;2.4;2.5;2.6;2.7	.	.	.
Cochrane_reviews/after_pilot/CD015148_steroid_carpal_tunnel.pdf	31	31	0	0	1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;2.10;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8;3.9;4.1;4.2	1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;2.10;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8;3.9;4.1;4.2	.	.	.
Cochrane_reviews/after_pilot/CD015332_cbt_schizophrenia.pdf	82	81	0	1	1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;1.15;1.16;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;2.10;2.11;2.12;2.13;2.14;2.15;2.16;2.17;2.18;2.19;2.20;2.21;2.22;2.23;2.24;2.25;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8;3.9;3.10;3.11;3.12;3.13;3.14;3.15;3.16;3.17;3.18;3.19;3.20;3.21;3.22;3.23;3.24;3.25;3.26;3.27;3.28;3.29;3.30;3.31;3.32;3.33;3.34;3.35;3.36;3.37;3.38;3.39;3.40;3.41	1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;1.15;1.16;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;2.10;2.12;2.13;2.14;2.15;2.16;2.17;2.18;2.19;2.20;2.21;2.22;2.23;2.24;2.25;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8;3.9;3.10;3.11;3.12;3.13;3.14;3.15;3.16;3.17;3.18;3.19;3.20;3.21;3.22;3.23;3.24;3.25;3.26;3.27;3.28;3.29;3.30;3.31;3.32;3.33;3.34;3.35;3.36;3.37;3.38;3.39;3.40;3.41	.	2.11	.
Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	16	16	0	0	1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;1.15;1.17	1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;1.15;1.17	.	.	.
Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	4	4	0	0	1.1;1.2;1.3;1.4	1.1;1.2;1.3;1.4	.	.	.
Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	14	11	0	3	1.1;1.2;1.3;1.4;1.5;1.6;1.7;2.1;2.2;2.3;2.4;2.5;2.6;2.7	1.1;1.2;1.3;1.4;1.5;1.6;1.7;2.1;2.2;2.3;2.5	.	2.4;2.6;2.7	.
Cochrane_reviews/first_pass/CD012178_lutein_preterm.pdf	6	5	0	1	1.1;1.2;1.3;1.4;1.5;1.6	1.1;1.2;1.3;1.4;1.5	.	1.6	.
Cochrane_reviews/first_pass/CD012214_metformin_hyperplasia.pdf	13	10	1	2	1.1;1.2;1.3;1.4;2.1;2.2;2.3;2.4;3.1;3.2;3.3;3.4;3.5	1.1;1.3;1.4;2.1;2.3;2.4;3.1;3.3;3.4;3.5	3.2	1.2;2.2	.
Cochrane_reviews/first_pass/CD014762_nsaids_uti.pdf	8	8	0	0	1.1;1.2;1.3;2.1;2.2;2.3;2.4;2.5	1.1;1.2;1.3;2.1;2.2;2.3;2.4;2.5	.	.	.
Cochrane_reviews/first_pass/CD014811_loop_diuretics_hf.pdf	10	10	0	0	1.1;1.2;1.3;1.4;1.5;2.1;2.2;2.3;2.4;2.5	1.1;1.2;1.3;1.4;1.5;2.1;2.2;2.3;2.4;2.5	.	.	.
