review_group	review_pdf	review_id	analysis_id	subset	comparison	comparison_label_clean	comparison_label_canonical	comparison_arm_1	comparison_arm_2	comparison_arm_1_canonical	comparison_arm_2_canonical	comparison_removed_shared_arm_context	outcome	effect_measure	data_type	cochrane_method_detected	cochrane_model_detected	calculation_method	calculation_model	calculation_scale	k_total_rows	k_estimable_rows	k_used	k_with_pmcid_used	k_without_pmcid_used	excluded_rows	reproduced_effect	reproduced_ci_lower	reproduced_ci_upper	reported_effect	reported_ci_lower	reported_ci_upper	effect_abs_diff	ci_lower_abs_diff	ci_upper_abs_diff	ci_iou	reported_match_status	tau2	Q	df	I2	notes
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.1	all_studies	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Postoperative ileus	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	4	3	3	0	3	1	0.505702	0.212341	1.20436	0.49	0.21	1.16	0.015702	0.002341	0.04436	0.953034	ci_iou_high	0	0.503185	2	0	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. Excluded non-computable rows: Minig 2009a: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.1	pmcid_only	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Postoperative ileus	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	4	3	0	0	0	1	.	.	.	0.49	0.21	1.16	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. PMCID-only subset excludes rows without a matched PMCID. No estimable study rows in this subset. Excluded non-computable rows: Minig 2009a: missing effect/CI
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.2	all_studies	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Nausea or vomiting, or both (random-effects model)	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	6	6	6	0	6	0	0.941563	0.663246	1.336669	0.94	0.66	1.33	0.001563	0.003246	0.006669	0.985347	ci_iou_high	0.118176	14.981573	5	66.625666	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.2	pmcid_only	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Nausea or vomiting, or both (random-effects model)	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	6	6	0	0	0	0	.	.	.	0.94	0.66	1.33	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. PMCID-only subset excludes rows without a matched PMCID. No estimable study rows in this subset.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.3	all_studies	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Nausea (random-effects model)	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	3	3	3	0	3	0	1.242711	0.511567	3.018826	1.24	0.51	3.03	0.002711	0.001567	0.011174	0.994944	ci_iou_full	0.417082	7.431996	2	73.089328	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.3	pmcid_only	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Nausea (random-effects model)	Risk Ratio	dichotomous	M-H	Random	CI-derived inverse-variance	random	log	3	3	0	0	0	0	.	.	.	1.24	0.51	3.03	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. PMCID-only subset excludes rows without a matched PMCID. No estimable study rows in this subset.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.4	all_studies	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Vomiting	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	4	4	4	0	4	0	0.841699	0.529771	1.337289	0.83	0.52	1.32	0.011699	0.009771	0.017289	0.966891	ci_iou_high	0	1.577385	3	0	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.4	pmcid_only	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Vomiting	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	4	4	0	0	0	0	.	.	.	0.83	0.52	1.32	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. PMCID-only subset excludes rows without a matched PMCID. No estimable study rows in this subset.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.5	all_studies	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Abdominal distension	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	4	4	4	0	4	0	1.002764	0.755545	1.330874	0.99	0.75	1.31	0.012764	0.005545	0.020874	0.954519	ci_iou_high	0	1.724052	3	0	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights.
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.5	pmcid_only	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Early	delayed oral fluids and food after major abdominal gynaecologic surgery	early	delayed oral fluids food after major abdominal gynaecologic surgery	.	Abdominal distension	Risk Ratio	dichotomous	M-H	Fixed	CI-derived inverse-variance	fixed	log	4	4	0	0	0	0	.	.	.	0.99	0.75	1.31	.	.	.	.	not_reproducible	.	.	.	.	Cochrane method detected as M-H; reproduction uses CI-derived inverse-variance weights. PMCID-only subset excludes rows without a matched PMCID. No estimable study rows in this subset.
