review_group	review_pdf	review_id	analysis_id	comparison_id	comparison_role	parent_comparison_id	comparison	comparison_label_clean	comparison_label_canonical	outcome	effect_measure	data_type	study_order	study_label_raw	matched_reference_block_label	reference_block_match_status	study_has_pubmed	study_has_pmc	study_matched_pmids	study_pmcids	arm1_label	arm1_events	arm1_total	arm1_mean	arm1_sd	arm2_label	arm2_events	arm2_total	arm2_mean	arm2_sd	weight	effect	ci_lower	ci_upper	row_result_status	row_extraction_status	row_extraction_notes	source_excerpt
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.1	1	main_comparison	.	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Postoperative ileus	Risk Ratio	dichotomous	1	MacMillan 2000	MacMillan 2000	matched_reference_block	yes	no	11004367	.	Early	2	67	.	.	Delayed	4	72	.	.	26.3	0.54	0.10	2.84	estimable	extracted	.	Analysis 1.1. Comparison 1: Early versus delayed oral fluids and food after major abdominal gynaecologic surgery, Outcome 1: Postoperative ileus Study or Subgroup MacMillan 2000 Minig 2009a Minig 2009b Steed 2002 Total (95% CI) Total events: Heterogeneity: Chi² = 0.48, df = 2 (P = 0.79); I² = 0% Test for overall effect: Z = 1.63 (P = 0.10) Test for subgroup differences: Not applicableEarly Events 2 0 1 4 7Total 67 18 71 47 203Delayed Events 4 0 4 7 15Total 72 22 72 49 215Weight 26.3% 27.1% 46.7% 100.0%Risk Ratio M-H, Fixed, 95% CI 0.54 [0.10, 2.84] Not estimable 0.25 [0.03, 2.21] 0.60 [0.19, 1.90] 0.49 [0.21, 1.16]Risk Ratio M-H, Fixed, 95% CI 0.01 0.1 1 10 100 Favours early Favours delayedRisk of Bias A + + + +B ? + + -C - - - -D - ? ? +E + + + +F ? + + ? Risk of bias legend (A) Random sequence generation (selection bias) (B) Allocation concealment (selection bias) (C) Blinding of part...
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.1	1	main_comparison	.	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Postoperative ileus	Risk Ratio	dichotomous	2	Minig 2009a	Minig 2009a	matched_reference_block	yes	no	19330379	.	Early	0	18	.	.	Delayed	0	22	.	.	.	.	.	.	not_estimable	partial	.	Analysis 1.1. Comparison 1: Early versus delayed oral fluids and food after major abdominal gynaecologic surgery, Outcome 1: Postoperative ileus Study or Subgroup MacMillan 2000 Minig 2009a Minig 2009b Steed 2002 Total (95% CI) Total events: Heterogeneity: Chi² = 0.48, df = 2 (P = 0.79); I² = 0% Test for overall effect: Z = 1.63 (P = 0.10) Test for subgroup differences: Not applicableEarly Events 2 0 1 4 7Total 67 18 71 47 203Delayed Events 4 0 4 7 15Total 72 22 72 49 215Weight 26.3% 27.1% 46.7% 100.0%Risk Ratio M-H, Fixed, 95% CI 0.54 [0.10, 2.84] Not estimable 0.25 [0.03, 2.21] 0.60 [0.19, 1.90] 0.49 [0.21, 1.16]Risk Ratio M-H, Fixed, 95% CI 0.01 0.1 1 10 100 Favours early Favours delayedRisk of Bias A + + + +B ? + + -C - - - -D - ? ? +E + + + +F ? + + ? Risk of bias legend (A) Random sequence generation (selection bias) (B) Allocation concealment (selection bias) (C) Blinding of part...
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.1	1	main_comparison	.	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Postoperative ileus	Risk Ratio	dichotomous	3	Minig 2009b	Minig 2009b	matched_reference_block	yes	no	19760046	.	Early	1	71	.	.	Delayed	4	72	.	.	27.1	0.25	0.03	2.21	estimable	extracted	.	Analysis 1.1. Comparison 1: Early versus delayed oral fluids and food after major abdominal gynaecologic surgery, Outcome 1: Postoperative ileus Study or Subgroup MacMillan 2000 Minig 2009a Minig 2009b Steed 2002 Total (95% CI) Total events: Heterogeneity: Chi² = 0.48, df = 2 (P = 0.79); I² = 0% Test for overall effect: Z = 1.63 (P = 0.10) Test for subgroup differences: Not applicableEarly Events 2 0 1 4 7Total 67 18 71 47 203Delayed Events 4 0 4 7 15Total 72 22 72 49 215Weight 26.3% 27.1% 46.7% 100.0%Risk Ratio M-H, Fixed, 95% CI 0.54 [0.10, 2.84] Not estimable 0.25 [0.03, 2.21] 0.60 [0.19, 1.90] 0.49 [0.21, 1.16]Risk Ratio M-H, Fixed, 95% CI 0.01 0.1 1 10 100 Favours early Favours delayedRisk of Bias A + + + +B ? + + -C - - - -D - ? ? +E + + + +F ? + + ? Risk of bias legend (A) Random sequence generation (selection bias) (B) Allocation concealment (selection bias) (C) Blinding of part...
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.1	1	main_comparison	.	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Postoperative ileus	Risk Ratio	dichotomous	4	Steed 2002	Steed 2002	matched_reference_block	yes	no	12015496	.	Early	4	47	.	.	Delayed	7	49	.	.	46.7	0.60	0.19	1.90	estimable	extracted	.	Analysis 1.1. Comparison 1: Early versus delayed oral fluids and food after major abdominal gynaecologic surgery, Outcome 1: Postoperative ileus Study or Subgroup MacMillan 2000 Minig 2009a Minig 2009b Steed 2002 Total (95% CI) Total events: Heterogeneity: Chi² = 0.48, df = 2 (P = 0.79); I² = 0% Test for overall effect: Z = 1.63 (P = 0.10) Test for subgroup differences: Not applicableEarly Events 2 0 1 4 7Total 67 18 71 47 203Delayed Events 4 0 4 7 15Total 72 22 72 49 215Weight 26.3% 27.1% 46.7% 100.0%Risk Ratio M-H, Fixed, 95% CI 0.54 [0.10, 2.84] Not estimable 0.25 [0.03, 2.21] 0.60 [0.19, 1.90] 0.49 [0.21, 1.16]Risk Ratio M-H, Fixed, 95% CI 0.01 0.1 1 10 100 Favours early Favours delayedRisk of Bias A + + + +B ? + + -C - - - -D - ? ? +E + + + +F ? + + ? Risk of bias legend (A) Random sequence generation (selection bias) (B) Allocation concealment (selection bias) (C) Blinding of part...
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.2	1	main_comparison	.	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Nausea or vomiting, or both (random-effects model)	Risk Ratio	dichotomous	1	Amatyakul 2001	Amatyakul 2001	matched_reference_block	no	no	.	.	Early	4	53	.	.	Delayed	7	53	.	.	6.8	0.57	0.18	1.84	estimable	extracted	.	Analysis 1.2. Comparison 1: Early versus delayed oral fluids and food after major abdominal gynaecologic surgery, Outcome 2: Nausea or vomiting, or both (random-effects model) Study or Subgroup Amatyakul 2001 Balayla 2015 MacMillan 2000 Minig 2009a Minig 2009b Pearl 1998 Total (95% CI) Total events: Heterogeneity: Tau² = 0.12; Chi² = 14.99, df = 5 (P = 0.01); I² = 67% Test for overall effect: Z = 0.35 (P = 0.73) Test for subgroup differences: Not applicableEarly Events 4 24 14 10 31 45 128Total 53 61 67 18 71 92 362Delayed Events 7 23 26 12 40 29 137Total 53 58 72 22 72 103 380Weight 6.8% 18.8% 16.0% 15.9% 21.7% 20.7% 100.0%Risk Ratio M-H, Random, 95% CI 0.57 [0.18, 1.84] 0.99 [0.64, 1.55] 0.58 [0.33, 1.01] 1.02 [0.58, 1.79] 0.79 [0.56, 1.10] 1.74 [1.20, 2.52] 0.94 [0.66, 1.33]Risk Ratio M-H, Random, 95% CI 0.001 0.1 1 10 1000 Favours early Favours delayedRisk of Bias A + + + + + +B + +...
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.2	1	main_comparison	.	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Nausea or vomiting, or both (random-effects model)	Risk Ratio	dichotomous	2	Balayla 2015	Balayla 2015	matched_reference_block	no	no	.	.	Early	24	61	.	.	Delayed	23	58	.	.	18.8	0.99	0.64	1.55	estimable	extracted	.	Analysis 1.2. Comparison 1: Early versus delayed oral fluids and food after major abdominal gynaecologic surgery, Outcome 2: Nausea or vomiting, or both (random-effects model) Study or Subgroup Amatyakul 2001 Balayla 2015 MacMillan 2000 Minig 2009a Minig 2009b Pearl 1998 Total (95% CI) Total events: Heterogeneity: Tau² = 0.12; Chi² = 14.99, df = 5 (P = 0.01); I² = 67% Test for overall effect: Z = 0.35 (P = 0.73) Test for subgroup differences: Not applicableEarly Events 4 24 14 10 31 45 128Total 53 61 67 18 71 92 362Delayed Events 7 23 26 12 40 29 137Total 53 58 72 22 72 103 380Weight 6.8% 18.8% 16.0% 15.9% 21.7% 20.7% 100.0%Risk Ratio M-H, Random, 95% CI 0.57 [0.18, 1.84] 0.99 [0.64, 1.55] 0.58 [0.33, 1.01] 1.02 [0.58, 1.79] 0.79 [0.56, 1.10] 1.74 [1.20, 2.52] 0.94 [0.66, 1.33]Risk Ratio M-H, Random, 95% CI 0.001 0.1 1 10 1000 Favours early Favours delayedRisk of Bias A + + + + + +B + +...
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.2	1	main_comparison	.	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Nausea or vomiting, or both (random-effects model)	Risk Ratio	dichotomous	3	MacMillan 2000	MacMillan 2000	matched_reference_block	yes	no	11004367	.	Early	14	67	.	.	Delayed	26	72	.	.	16.0	0.58	0.33	1.01	estimable	extracted	.	Analysis 1.2. Comparison 1: Early versus delayed oral fluids and food after major abdominal gynaecologic surgery, Outcome 2: Nausea or vomiting, or both (random-effects model) Study or Subgroup Amatyakul 2001 Balayla 2015 MacMillan 2000 Minig 2009a Minig 2009b Pearl 1998 Total (95% CI) Total events: Heterogeneity: Tau² = 0.12; Chi² = 14.99, df = 5 (P = 0.01); I² = 67% Test for overall effect: Z = 0.35 (P = 0.73) Test for subgroup differences: Not applicableEarly Events 4 24 14 10 31 45 128Total 53 61 67 18 71 92 362Delayed Events 7 23 26 12 40 29 137Total 53 58 72 22 72 103 380Weight 6.8% 18.8% 16.0% 15.9% 21.7% 20.7% 100.0%Risk Ratio M-H, Random, 95% CI 0.57 [0.18, 1.84] 0.99 [0.64, 1.55] 0.58 [0.33, 1.01] 1.02 [0.58, 1.79] 0.79 [0.56, 1.10] 1.74 [1.20, 2.52] 0.94 [0.66, 1.33]Risk Ratio M-H, Random, 95% CI 0.001 0.1 1 10 1000 Favours early Favours delayedRisk of Bias A + + + + + +B + +...
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.2	1	main_comparison	.	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Nausea or vomiting, or both (random-effects model)	Risk Ratio	dichotomous	4	Minig 2009a	Minig 2009a	matched_reference_block	yes	no	19330379	.	Early	10	18	.	.	Delayed	12	22	.	.	15.9	1.02	0.58	1.79	estimable	extracted	.	Analysis 1.2. Comparison 1: Early versus delayed oral fluids and food after major abdominal gynaecologic surgery, Outcome 2: Nausea or vomiting, or both (random-effects model) Study or Subgroup Amatyakul 2001 Balayla 2015 MacMillan 2000 Minig 2009a Minig 2009b Pearl 1998 Total (95% CI) Total events: Heterogeneity: Tau² = 0.12; Chi² = 14.99, df = 5 (P = 0.01); I² = 67% Test for overall effect: Z = 0.35 (P = 0.73) Test for subgroup differences: Not applicableEarly Events 4 24 14 10 31 45 128Total 53 61 67 18 71 92 362Delayed Events 7 23 26 12 40 29 137Total 53 58 72 22 72 103 380Weight 6.8% 18.8% 16.0% 15.9% 21.7% 20.7% 100.0%Risk Ratio M-H, Random, 95% CI 0.57 [0.18, 1.84] 0.99 [0.64, 1.55] 0.58 [0.33, 1.01] 1.02 [0.58, 1.79] 0.79 [0.56, 1.10] 1.74 [1.20, 2.52] 0.94 [0.66, 1.33]Risk Ratio M-H, Random, 95% CI 0.001 0.1 1 10 1000 Favours early Favours delayedRisk of Bias A + + + + + +B + +...
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.2	1	main_comparison	.	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Nausea or vomiting, or both (random-effects model)	Risk Ratio	dichotomous	5	Minig 2009b	Minig 2009b	matched_reference_block	yes	no	19760046	.	Early	31	71	.	.	Delayed	40	72	.	.	21.7	0.79	0.56	1.10	estimable	extracted	.	Analysis 1.2. Comparison 1: Early versus delayed oral fluids and food after major abdominal gynaecologic surgery, Outcome 2: Nausea or vomiting, or both (random-effects model) Study or Subgroup Amatyakul 2001 Balayla 2015 MacMillan 2000 Minig 2009a Minig 2009b Pearl 1998 Total (95% CI) Total events: Heterogeneity: Tau² = 0.12; Chi² = 14.99, df = 5 (P = 0.01); I² = 67% Test for overall effect: Z = 0.35 (P = 0.73) Test for subgroup differences: Not applicableEarly Events 4 24 14 10 31 45 128Total 53 61 67 18 71 92 362Delayed Events 7 23 26 12 40 29 137Total 53 58 72 22 72 103 380Weight 6.8% 18.8% 16.0% 15.9% 21.7% 20.7% 100.0%Risk Ratio M-H, Random, 95% CI 0.57 [0.18, 1.84] 0.99 [0.64, 1.55] 0.58 [0.33, 1.01] 1.02 [0.58, 1.79] 0.79 [0.56, 1.10] 1.74 [1.20, 2.52] 0.94 [0.66, 1.33]Risk Ratio M-H, Random, 95% CI 0.001 0.1 1 10 1000 Favours early Favours delayedRisk of Bias A + + + + + +B + +...
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	1.2	1	main_comparison	.	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	Early versus delayed oral fluids and food after major abdominal gynaecologic surgery	early versus delayed oral fluids food after major abdominal gynaecologic surgery	Nausea or vomiting, or both (random-effects model)	Risk Ratio	dichotomous	6	Pearl 1998	Pearl 1998	matched_reference_block	yes	no	9649101	.	Early	45	92	.	.	Delayed	29	103	.	.	20.7	1.74	1.20	2.52	estimable	extracted	.	Analysis 1.2. Comparison 1: Early versus delayed oral fluids and food after major abdominal gynaecologic surgery, Outcome 2: Nausea or vomiting, or both (random-effects model) Study or Subgroup Amatyakul 2001 Balayla 2015 MacMillan 2000 Minig 2009a Minig 2009b Pearl 1998 Total (95% CI) Total events: Heterogeneity: Tau² = 0.12; Chi² = 14.99, df = 5 (P = 0.01); I² = 67% Test for overall effect: Z = 0.35 (P = 0.73) Test for subgroup differences: Not applicableEarly Events 4 24 14 10 31 45 128Total 53 61 67 18 71 92 362Delayed Events 7 23 26 12 40 29 137Total 53 58 72 22 72 103 380Weight 6.8% 18.8% 16.0% 15.9% 21.7% 20.7% 100.0%Risk Ratio M-H, Random, 95% CI 0.57 [0.18, 1.84] 0.99 [0.64, 1.55] 0.58 [0.33, 1.01] 1.02 [0.58, 1.79] 0.79 [0.56, 1.10] 1.74 [1.20, 2.52] 0.94 [0.66, 1.33]Risk Ratio M-H, Random, 95% CI 0.001 0.1 1 10 1000 Favours early Favours delayedRisk of Bias A + + + + + +B + +...
