review_group	review_pdf	review_id	study_label	pmid	pmcid	in_pmc	match_methods	title	journal	year	doi	pubmed_url	pmc_url
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Asehnoune 2014	25066331	.	no	direct_pubmed_link	Hydrocortisone and fludrocortisone for prevention of hospital-acquired pneumonia in patients with severe traumatic brain injury (Corti-TC): a double-blind, multicentre phase 3, randomised placebo-controlled trial	Respiratory Medicine	2014	.	https://pubmed.ncbi.nlm.nih.gov/25066331/	.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Bernard 1987	3317054	.	no	direct_pubmed_link	High-dose corticosteroids in patients with the adult respiratory distress syndrome	New England Journal of Medicine	1987	.	https://pubmed.ncbi.nlm.nih.gov/3317054/	.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Cicarelli 2006	16878192	PMC11060357	yes	direct_pubmed_link	Effects of single dose of dexamethasone on patients with systemic inflammatory response	São Paulo Medical Journal	2006	.	https://pubmed.ncbi.nlm.nih.gov/16878192/	https://pmc.ncbi.nlm.nih.gov/articles/PMC11060357/
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Fujii 2020	31950979	PMC7029761	yes	direct_pubmed_link	Effect of vitamin C, hydrocortisone, and thiamine vs hydrocortisone alone on time alive and free of vasopressor support among patients with septic shock: the VITAMINS randomized clinical trial	JAMA	2020	10.1001/jama.2019.22176	https://pubmed.ncbi.nlm.nih.gov/31950979/	https://pmc.ncbi.nlm.nih.gov/articles/PMC7029761/
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Hahn 1951	14824277	PMC436257	yes	direct_pubmed_link	Effect of cortisone on acute streptococcal infections and post-streptococcal complications	Journal of Clinical Investigation	1951	.	https://pubmed.ncbi.nlm.nih.gov/14824277/	https://pmc.ncbi.nlm.nih.gov/articles/PMC436257/
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Huang 2014a	24710342	.	no	direct_pubmed_link	Early treatment with corticosteroids in patients with mycoplasma pneumoniae pneumonia: a randomized clinical trial	Journal of Tropical Pediatrics	2014	.	https://pubmed.ncbi.nlm.nih.gov/24710342/	.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Huang 2015	25307976	.	no	direct_pubmed_link	Low dose of glucocorticoid decreases the incidence of complications in severely burned patients by attenuating systemic inflammation	Journal of Critical Care	2015	.	https://pubmed.ncbi.nlm.nih.gov/25307976/	.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Hughes 1984	6390057	.	no	direct_pubmed_link	Naloxone and methylprednisolone sodium succinate enhance sympathomedullary discharge in patients with septic shock	Life Sciences	1984	.	https://pubmed.ncbi.nlm.nih.gov/6390057/	.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Hussein 2021	34003568	.	no	direct_pubmed_link	A prospective, randomised clinical study comparing triple therapy regimen to hydrocortisone monotherapy in reducing mortality in septic shock patients	International Journal of Clinical Practice	2021	10.1111/ijcp.14376	https://pubmed.ncbi.nlm.nih.gov/34003568/	.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Kaufman 2008	17906853	.	no	direct_pubmed_link	Stress doses of hydrocortisone in septic shock: beneficial effects on opsonization-dependent neutrophil functions	Intensive Care Medicine	2008	.	https://pubmed.ncbi.nlm.nih.gov/17906853/	.
