review_group	review_pdf	review_id	excluded_study_blocks	study_blocks_with_explicit_pmid	study_blocks_with_doi	study_blocks_with_any_pmid	study_blocks_with_any_pmc	unique_pmids	unique_pmcids	percent_blocks_with_any_pmid	percent_blocks_with_any_pmc	lookup_errors
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	43	32	8	32	11	32	11	74.4	25.6	title_search_no_match
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	480	249	113	249	99	254	100	51.9	20.6	title_search_no_match
after_pilot	Cochrane_reviews/after_pilot/CD012079_vaginal_prolapse_repair.pdf	CD012079_vaginal_prolapse_repair	13	5	1	5	2	5	2	38.5	15.4	title_search_no_match
after_pilot	Cochrane_reviews/after_pilot/CD013729_dash_cvd.pdf	CD013729_dash_cvd	59	48	55	48	20	46	20	81.4	33.9	title_search_no_match
after_pilot	Cochrane_reviews/after_pilot/CD014606_digital_cf_infections.pdf	CD014606_digital_cf_infections	12	4	1	4	2	5	3	33.3	16.7	title_search_no_match
after_pilot	Cochrane_reviews/after_pilot/CD014861_home_iv_cancer_therapy.pdf	CD014861_home_iv_cancer_therapy	51	31	5	31	10	31	10	60.8	19.6	title_search_no_match
after_pilot	Cochrane_reviews/after_pilot/CD015148_steroid_carpal_tunnel.pdf	CD015148_steroid_carpal_tunnel	38	28	12	28	2	29	2	73.7	5.3	title_search_no_match;no_pubmed_queryable_identifier
after_pilot	Cochrane_reviews/after_pilot/CD015332_cbt_schizophrenia.pdf	CD015332_cbt_schizophrenia	3	3	3	3	1	5	3	100.0	33.3	title_search_no_match
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	13	13	0	13	0	13	0	100.0	0.0	.
first_pass	Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	CD007895_decongestants_bp	20	16	9	16	1	16	1	80.0	5.0	title_search_no_match
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	4	3	2	3	1	3	1	75.0	25.0	title_search_no_match
first_pass	Cochrane_reviews/first_pass/CD012178_lutein_preterm.pdf	CD012178_lutein_preterm	2	2	2	2	1	2	1	100.0	50.0	.
first_pass	Cochrane_reviews/first_pass/CD012214_metformin_hyperplasia.pdf	CD012214_metformin_hyperplasia	23	19	15	19	8	18	8	82.6	34.8	title_search_no_match
first_pass	Cochrane_reviews/first_pass/CD014762_nsaids_uti.pdf	CD014762_nsaids_uti	5	4	0	4	1	5	2	80.0	20.0	.
first_pass	Cochrane_reviews/first_pass/CD014811_loop_diuretics_hf.pdf	CD014811_loop_diuretics_hf	34	20	15	20	7	17	4	58.8	20.6	title_search_no_match
first_pass	Cochrane_reviews/first_pass/CD014960_antibiotics_leptospirosis.pdf	CD014960_antibiotics_leptospirosis	1	1	0	1	0	1	0	100.0	0.0	.
first_pass	Cochrane_reviews/first_pass/CD015040_rtms_ptsd.pdf	CD015040_rtms_ptsd	33	18	14	18	4	18	4	54.5	12.1	title_search_no_match
first_pass	Cochrane_reviews/first_pass/CD015751_lubricating_drops_lens.pdf	CD015751_lubricating_drops_lens	60	17	1	17	5	17	5	28.3	8.3	title_search_no_match;no_pubmed_queryable_identifier
second_pass	Cochrane_reviews/second_pass/CD004661_magnesium_preterm_neuro.pdf	CD004661_magnesium_preterm_neuro	6	3	0	3	1	4	2	50.0	16.7	no_pubmed_queryable_identifier;title_search_no_match
second_pass	Cochrane_reviews/second_pass/CD006586_drospirenone_pms.pdf	CD006586_drospirenone_pms	17	13	0	13	1	15	1	76.5	5.9	title_search_no_match
second_pass	Cochrane_reviews/second_pass/CD012664_calcium_vitd_bone.pdf	CD012664_calcium_vitd_bone	6	6	3	6	2	6	2	100.0	33.3	.
second_pass	Cochrane_reviews/second_pass/CD013476_aspirin_desensitisation.pdf	CD013476_aspirin_desensitisation	3	2	3	2	1	2	1	66.7	33.3	title_search_no_match
second_pass	Cochrane_reviews/second_pass/CD013595_daratumumab_ndmm.pdf	CD013595_daratumumab_ndmm	10	5	0	5	0	5	0	50.0	0.0	title_search_no_match
second_pass	Cochrane_reviews/second_pass/CD013765_af_ablation_drugs.pdf	CD013765_af_ablation_drugs	42	25	0	25	3	25	3	59.5	7.1	title_search_no_match
second_pass	Cochrane_reviews/second_pass/CD013823_b12_pregnancy.pdf	CD013823_b12_pregnancy	9	6	0	6	2	7	2	66.7	22.2	.
second_pass	Cochrane_reviews/second_pass/CD014803_omega3_depression_youth.pdf	CD014803_omega3_depression_youth	44	29	2	29	11	32	13	65.9	25.0	title_search_no_match
