review_group	review_pdf	review_id	study_label	registry_type	registry_id	registry_url	source	lookup_status	notes	reference_excerpt
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	ACTRN12621000247875 2021	ACTRN	ACTRN12621000247875	.	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	Assessing the efficacy of treatment with vitamin C, vitamin B1 and hydrocortisone in children admitted in intensive care unit with septic shock. Australian New Zealand Clinical Trials Registry 2021. [ANZCTR: ACTRN12621000247875]
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	CTRI/2021/11/038268 2021	registry	CTRI/2021/11/038268	.	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	To compare the results of two treatment protocol (standard treatment plus vitamin C, thiamine and hydrocortisone versus standard treatment plus hydrocortisone) used in surgical patients with septic shock (A/K/A Infection in the body presenting with low blood pressure. Chinese Clinical Trials Registry 2021. [CHICTR: CTRI/2021/11/038268]
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Fujii 2020	NCT	NCT03333278	https://clinicaltrials.gov/study/NCT03333278	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	Fujii T, Luethi N, Young PJ, Frei DR, Eastwood GM, French CJ, et al. Effect of vitamin C, hydrocortisone, and thiamine vs hydrocortisone alone on time alive and free of vasopressor support among patients with septic shock: the VITAMINS randomized clinical trial. JAMA 2020;323(5):423‐31. [DOI: 10.1001/jama.2019.22176] - DOI - PMC - PubMed NCT03333278. The vitamin C, hydrocortisone and thiamine in patients with septic shock trial (VITAMINS) [The vitamin C, hydrocortisone and thiamine in patients with septic shock trial (VITAMINS Trial) - a prospective, feasibility, pilot, multi-centre, randomise
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	NCT02602210 2015	NCT	NCT02602210	https://clinicaltrials.gov/study/NCT02602210	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	NCT02602210. Supplemental corticosteroids in cirrhotic hypotensive patients with suspicion of sepsis (SCOTCH). https://clinicaltrials.gov/ct2/show/NCT02602210 (first received 11 November 2015).
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	NCT03335124 2017	NCT	NCT03335124	https://clinicaltrials.gov/study/NCT03335124	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	NCT03335124. The effect of vitamin C, thiamine and hydrocortisone on clinical course and outcome in patients with severe sepsis and septic shock [A randomized, double blind, placebo-controlled study to investigate the effects of vitamin C, hydrocortisone and thiamine on the outcome of patients with severe sepsis and septic shock]. https://clinicaltrials.gov/ct2/show/NCT03335124 (first received 7 November 2017).
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	NCT03828929 2019	NCT	NCT03828929	https://clinicaltrials.gov/study/NCT03828929	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	Effect of IV vitamin C, thiamine, and steroids on mortality of septic shock. ClinicalTrials.gov 2019. [NCT: NCT03828929]
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	NCT04134403 2019	NCT	NCT04134403	https://clinicaltrials.gov/study/NCT04134403	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	Steroids, thiamine and ascorbic acid in septic shock. ClinicalTrials.gov 2019. [NCT: NCT04134403]
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Actrn12615000227594	ACTRN	Actrn12615000227594	.	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	Actrn12615000227594. Stepped Care Approach for Medial Tibiofemoral Osteoarthritis (STrEAMline)STrEAMline: the remission of symptoms in tibiofemoral osteoarthritis following an adaptive treatment strategy in overweight/obese participants. Actrn12615000227594 2015.
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Actrn12616000273482	ACTRN	Actrn12616000273482	.	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	Actrn12616000273482. Feasibility and potential benefits of high-intensity interval cycling for knee osteoarthritic patients: a randomised control feasibility trial? Is high-intensity interval cycling feasible and more beneficial than continuous cycling for knee osteoarthritic patients? Actrn12616000273482 2016. - PMC - PubMed
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Actrn12618001280291	ACTRN	Actrn12618001280291	.	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	Actrn12618001280291. The effect of a virtual reality-based therapy on functions in older adult with knee osteoarthritis. Actrn12618001280291 2018.
