review_group	review_pdf	review_id	study_label	pmid	pmcid	in_pmc	match_methods	title	journal	year	doi	pubmed_url	pmc_url
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Aboab 2008	18434902	.	no	direct_pubmed_link	Hydrocortisone effects on cardiovascular variability in septic shock: a spectral analysis approach	Critical Care Medicine	2008	.	https://pubmed.ncbi.nlm.nih.gov/18434902/	.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Agarwal 2022	35436823	.	no	direct_pubmed_link	Early initiation of low-dose hydrocortisone therapy for septic shock in geriatric patients: a randomized control trial	Journal of the Association of Physicians of India	2022	.	https://pubmed.ncbi.nlm.nih.gov/35436823/	.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Angus 2020	32876697	PMC7489418	yes	direct_pubmed_link	Effect of hydrocortisone on mortality and organ support in patients with severe COVID-19: the REMAP-CAP COVID-19 corticosteroid domain randomized clinical trial	JAMA	2020	10.1001/jama.2020.17022	https://pubmed.ncbi.nlm.nih.gov/32876697/	https://pmc.ncbi.nlm.nih.gov/articles/PMC7489418/
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Annane 2002	12186604	.	no	direct_pubmed_link	Effect of treatment with low doses of hydrocortisone and fludrocortisone on mortality in patients with septic shock	JAMA	2002	.	https://pubmed.ncbi.nlm.nih.gov/12186604/	.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Annane 2010	20103758	.	no	direct_pubmed_link	Corticosteroid treatment and intensive insulin therapy for septic shock in adults: a randomized controlled trial	JAMA	2010	.	https://pubmed.ncbi.nlm.nih.gov/20103758/	.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Annane 2018	29490185	.	no	direct_pubmed_link	Hydrocortisone plus fludrocortisone for adults with septic shock	New England Journal of Medicine	2018	.	https://pubmed.ncbi.nlm.nih.gov/29490185/	.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Arabi 2011	21059778	PMC3001503	yes	direct_pubmed_link	Low-dose hydrocortisone in patients with cirrhosis and septic shock: a randomized controlled trial	Canadian Medical Association Journal	2010	.	https://pubmed.ncbi.nlm.nih.gov/21059778/	https://pmc.ncbi.nlm.nih.gov/articles/PMC3001503/
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Birudaraju 2022	34516312	.	no	direct_pubmed_link	Solumedrol treatment for severe sepsis in humans with a blunted adrenocorticotropic hormone-cortisol response: a prospective randomized double-blind placebo-controlled pilot clinical trial	Journal of Intensive Care Medicine	2022	10.1177/08850666211038883	https://pubmed.ncbi.nlm.nih.gov/34516312/	.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Blum 2015	25608756	.	no	direct_pubmed_link	Adjunct prednisone therapy for patients with community-acquired pneumonia: a multicentre, double-blind, randomised, placebo-controlled trial	Lancet	2015	.	https://pubmed.ncbi.nlm.nih.gov/25608756/	.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Blum 2015	38082273	PMC10712075	yes	direct_pubmed_link	Adjunct prednisone in community-acquired pneumonia: 180-day outcome of a multicentre, double-blind, randomized, placebo-controlled trial	BMC Pulmonary Medicine	2023	10.1186/s12890-023-02794-w	https://pubmed.ncbi.nlm.nih.gov/38082273/	https://pmc.ncbi.nlm.nih.gov/articles/PMC10712075/
