review_group	review_pdf	review_id	study_label	registry_type	registry_id	registry_url	source	lookup_status	notes	reference_excerpt
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Chang 2020	NCT	NCT03258684	https://clinicaltrials.gov/study/NCT03258684	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	Chang P, Liao Y, Guan J, Guo Y, Zhao M, Hu J, et al. Combined treatment with hydrocortisone, vitamin c, and thiamine for sepsis and septic shock (HYVCTTSSS): a randomized controlled clinical trial. Chest 2020;158:174-82. [DOI: 10.1016/j.chest.2020.02.065] - DOI - PubMed NCT03258684. Hydrocortisone, vitamin C, and thiamine for the treatment of sepsis and septic shock (HYVCTTSSS) [Hydrocortisone, vitamin C, and thiamine for the treatment of sepsis and septic shock: a prospective study]. https://clinicaltrials.gov/ct2/show/NCT03258684 First received 23 August 2017.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Dequin 2023	NCT	NCT02517489	https://clinicaltrials.gov/study/NCT02517489	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	Dequin P-F, Meziani F, Quenot J-P, Kamel T, Ricard J-D, Badie J, et al. Hydrocortisone in severe community-acquired pneumonia. New England Journal of Medicine 2023;388(21):1931‐41. [DOI: 10.1056/NEJMoa2215145] - DOI - PubMed NCT02517489. Community-Acquired Pneumonia: Evaluation of Corticosteroids (CAPE COD). https://clinicaltrials.gov/ct2/show/NCT02517489 First received 7 August 2015.
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Iglesias 2020	NCT	NCT03422159	https://clinicaltrials.gov/study/NCT03422159	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	Iglesias J, Vassallo AV, Patel VV, Sullivan JB, Cavanaugh J, Elbaga Y. Outcomes of metabolic resuscitation using ascorbic acid, thiamine, and glucocorticoids in the early treatment of sepsis: the ORANGES trial. Chest 2020;158(1):164‐73. [DOI: 10.1016/j.chest.2020.02.049] - DOI - PubMed NCT03422159. Metabolic resuscitation using ascorbic acid, thiamine, and glucocorticoids in sepsis (ORANGES) [Outcomes of metabolic resuscitation using ascorbic acid, thiamine, and glucocorticoids in the early treatment of sepsis]. https://clinicaltrials.gov/ct2/show/NCT03422159 (first received 5 February 2018).
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Labib 2022	NCT	NCT04492280	https://clinicaltrials.gov/study/NCT04492280	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	Labib HA, Ali I, Hassan AI, Kamaly AM, Sherif S, Wahba SS, et al. Evaluation of the role of hydrocortisone either alone or combined with fludrocortisone in the outcome of septic shock in adults. Ain-Shams Journal of Anesthesiology 2022;14:60. [DOI: 10.1186/s42077-022-00259-6] - DOI NCT04492280. Evaluation of the role of hydrocortisone either alone or combined with fludrocortisone in the outcome of septic shock in adults. ClinicalTrials.gov 2020. [NCT: NCT04492280.]
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Moskowitz 2020	NCT	NCT03389555	https://clinicaltrials.gov/study/NCT03389555	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	Moskowitz A, Huang DT, Hou PC, Gong J, Doshi PB, Grossestreuer AV, et al. Effect of ascorbic acid, corticosteroids, and thiamine on organ injury in septic shock: the ACTS randomized clinical trial. JAMA 2020;324(7):642‐50. [DOI: 10.1001/jama.2020.11946] - DOI - PMC - PubMed NCT03389555. Ascorbic Acid, Corticosteroids, and Thiamine in Sepsis (ACTS) Trial [Ascorbic acid, hydrocortisone, and thiamine in sepsis and septic shock - a randomized, double-blind, placebo-controlled trial]. https://clinicaltrials.gov/ct2/show/NCT03389555 (first received 3 January 2018).
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	Sevransky 2021	NCT	NCT03509350	https://clinicaltrials.gov/study/NCT03509350	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	NCT03509350. Vitamin C, Thiamine, and Steroids in Sepsis (VICTAS) [A multi-center, randomized, placebo-controlled, double-blind, adaptive clinical trial of vitamin C, thiamine and steroids as combination therapy in patients with sepsis]. https://clinicaltrials.gov/ct2/show/NCT03509350 (first received 26 April 2018). Sevransky JE, Rothman RE, Hager DN, Bernard GR, Brown SM, Buchman TG, et al. Effect of vitamin C, thiamine, and hydrocortisone on ventilator- and vasopressor-free days in patients with sepsis: the VICTAS randomized clinical trial. JAMA 2021;325(8):742‐50. [DOI: 10.1001/jama.2020.24
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Allen 2018	NCT	NCT02312713	https://clinicaltrials.gov/study/NCT02312713	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	Allen K, Arbeeva L, Callahan LF, Golightly YM, Goode AP, Heiderscheit B, et al. Physical therapy vs. internet-based exercise training for patients with knee osteoarthritis: results of a randomized controlled trial. Arthritis and Rheumatology. Conference: American College of Rheumatology/Association of Rheumatology Health Professionals Annual Scientific Meeting, ACR/ARHP 2017;69:Supplement 10. Allen KD, Arbeeva L, Callahan LF, Golightly YM, Goode AP, Heiderscheit BC, et al. Physical therapy vs internet-based exercise training for patients with knee osteoarthritis: results of a randomized contro
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Bennell 2022b	ACTRN	ACTRN12618000930280	.	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	ACTRN12618000930280. Better Knee, Better Me: effectiveness of two scalable health care interventions supporting self-management for knee osteoarthritis; a randomised controlled trial. https://www.anzctr.org.au/Trial/Registration/TrialReview.aspx?id=375067&... (registered 1 June 2018). Actrn12620000012976. Comparing effects of an online exercise plus education program to online education only in people with knee osteoarthritis: randomised controlled trial: the COPE Trial. Actrn12620000012976 2020. Bennell KL, Schwartz S, Teo PL, Hawkins S, Mackenzie D, McManus F, et al. Effectiveness of an unsu
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Bennell 2022b	ACTRN	Actrn12620000012976	.	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	ACTRN12618000930280. Better Knee, Better Me: effectiveness of two scalable health care interventions supporting self-management for knee osteoarthritis; a randomised controlled trial. https://www.anzctr.org.au/Trial/Registration/TrialReview.aspx?id=375067&... (registered 1 June 2018). Actrn12620000012976. Comparing effects of an online exercise plus education program to online education only in people with knee osteoarthritis: randomised controlled trial: the COPE Trial. Actrn12620000012976 2020. Bennell KL, Schwartz S, Teo PL, Hawkins S, Mackenzie D, McManus F, et al. Effectiveness of an unsu
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	Cheung 2014	NCT	NCT01832155	https://clinicaltrials.gov/study/NCT01832155	cochrane_pubmed_html_reference_block	extracted_from_pubmed_html	.	Cheung C, Wyman JF, Resnick B, Savik K. Yoga for managing knee osteoarthritis in older women: a pilot randomized controlled trial. BMC Complementary and Alternative Medicine 2014;14:(no pagination). [DOI: 10.1186/1472-6882-14-160] - DOI - PMC - PubMed Cheung C, Wyman JF, Savik K. Adherence to a yoga program in older women with knee osteoarthritis. Journal of Aging and Physical Activity 2016;24(2):181-8. [DOI: 10.1123/japa.2015-0048] - DOI - PubMed NCT01832155. Yoga for managing knee osteoarthritis in older women: a feasibility studya pilot study testing a hatha yoga exercise program in older w
