review_group	review_pdf	review_id	included_study_blocks	study_blocks_with_explicit_pmid	study_blocks_with_doi	study_blocks_with_any_pmid	study_blocks_with_any_pmc	unique_pmids	unique_pmcids	percent_blocks_with_any_pmid	percent_blocks_with_any_pmc	lookup_errors
after_pilot	Cochrane_reviews/after_pilot/CD002243_corticosteroids_sepsis.pdf	CD002243_corticosteroids_sepsis	87	68	32	68	25	71	26	78.2	28.7	title_search_no_match
after_pilot	Cochrane_reviews/after_pilot/CD004376_exercise_knee_oa.pdf	CD004376_exercise_knee_oa	139	125	90	125	51	168	63	89.9	36.7	title_search_no_match
after_pilot	Cochrane_reviews/after_pilot/CD012079_vaginal_prolapse_repair.pdf	CD012079_vaginal_prolapse_repair	51	43	4	43	8	58	9	84.3	15.7	title_search_no_match
after_pilot	Cochrane_reviews/after_pilot/CD013729_dash_cvd.pdf	CD013729_dash_cvd	5	5	5	5	4	14	9	100.0	80.0	title_search_no_match
after_pilot	Cochrane_reviews/after_pilot/CD014606_digital_cf_infections.pdf	CD014606_digital_cf_infections	3	3	0	3	3	6	4	100.0	100.0	title_search_no_match
after_pilot	Cochrane_reviews/after_pilot/CD014861_home_iv_cancer_therapy.pdf	CD014861_home_iv_cancer_therapy	7	6	3	6	2	8	3	85.7	28.6	title_search_no_match
after_pilot	Cochrane_reviews/after_pilot/CD015148_steroid_carpal_tunnel.pdf	CD015148_steroid_carpal_tunnel	14	12	7	12	5	13	5	85.7	35.7	title_search_no_match;no_pubmed_queryable_identifier
after_pilot	Cochrane_reviews/after_pilot/CD015332_cbt_schizophrenia.pdf	CD015332_cbt_schizophrenia	4	4	4	4	3	9	5	100.0	75.0	title_search_no_match
first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	CD004508_early_feeding_gyn_surgery	7	6	0	6	0	6	0	85.7	0.0	title_search_no_match
first_pass	Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	CD007895_decongestants_bp	5	5	2	5	1	5	1	100.0	20.0	.
first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	CD010441_hyaluronidase_perineal	5	4	0	4	1	4	1	80.0	20.0	title_search_no_match
first_pass	Cochrane_reviews/first_pass/CD012178_lutein_preterm.pdf	CD012178_lutein_preterm	5	5	5	5	0	5	0	100.0	0.0	.
first_pass	Cochrane_reviews/first_pass/CD012214_metformin_hyperplasia.pdf	CD012214_metformin_hyperplasia	7	6	6	6	2	6	2	85.7	28.6	title_search_no_match
first_pass	Cochrane_reviews/first_pass/CD014762_nsaids_uti.pdf	CD014762_nsaids_uti	6	6	1	6	5	12	10	100.0	83.3	title_search_no_match
first_pass	Cochrane_reviews/first_pass/CD014811_loop_diuretics_hf.pdf	CD014811_loop_diuretics_hf	7	7	7	7	5	7	5	100.0	71.4	.
first_pass	Cochrane_reviews/first_pass/CD014960_antibiotics_leptospirosis.pdf	CD014960_antibiotics_leptospirosis	9	9	1	9	1	9	1	100.0	11.1	.
first_pass	Cochrane_reviews/first_pass/CD015040_rtms_ptsd.pdf	CD015040_rtms_ptsd	13	12	10	12	4	14	6	92.3	30.8	title_search_no_match
first_pass	Cochrane_reviews/first_pass/CD015751_lubricating_drops_lens.pdf	CD015751_lubricating_drops_lens	7	5	0	5	0	5	0	71.4	0.0	title_search_no_match
second_pass	Cochrane_reviews/second_pass/CD004661_magnesium_preterm_neuro.pdf	CD004661_magnesium_preterm_neuro	6	6	0	6	2	15	5	100.0	33.3	title_search_no_match
second_pass	Cochrane_reviews/second_pass/CD006586_drospirenone_pms.pdf	CD006586_drospirenone_pms	5	5	0	5	1	8	1	100.0	20.0	title_search_no_match
second_pass	Cochrane_reviews/second_pass/CD012664_calcium_vitd_bone.pdf	CD012664_calcium_vitd_bone	7	6	0	6	0	6	0	85.7	0.0	title_search_no_match
second_pass	Cochrane_reviews/second_pass/CD013476_aspirin_desensitisation.pdf	CD013476_aspirin_desensitisation	5	5	4	5	1	5	1	100.0	20.0	title_search_no_match
second_pass	Cochrane_reviews/second_pass/CD013595_daratumumab_ndmm.pdf	CD013595_daratumumab_ndmm	4	3	0	3	2	3	2	75.0	50.0	title_search_no_match
second_pass	Cochrane_reviews/second_pass/CD013765_af_ablation_drugs.pdf	CD013765_af_ablation_drugs	9	8	0	8	0	8	0	88.9	0.0	title_search_no_match
second_pass	Cochrane_reviews/second_pass/CD013823_b12_pregnancy.pdf	CD013823_b12_pregnancy	5	5	0	5	1	8	4	100.0	20.0	title_search_no_match
second_pass	Cochrane_reviews/second_pass/CD014803_omega3_depression_youth.pdf	CD014803_omega3_depression_youth	5	5	3	5	4	15	13	100.0	80.0	title_search_no_match
