review_id	review_group	review_pdf	outcome_section	section_order	outcome_order	outcome_name	outcome_text_raw	source_heading	outcome_role	outcome_role_note	matched_analysis_count	matched_analysis_ids	matched_analysis_outcomes	analysis_mapping_status	analysis_mapping_notes	extraction_status	extraction_notes	source_excerpt
CD004508_early_feeding_gyn_surgery	first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	Outcomes	1	1	postoperative ileus, as defined in the included studies	postoperative ileus, as defined in the included studies	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	1	1.1	Postoperative ileus	mapped_to_analysis_results	1.1:score=1.00:normalized_exact:planned_variant_1	itemized	fallback_no_named_subsections	We recorded the following outcomes if the information was available. Development of symptoms and signs of postoperative ileus (dichotomous data) •postoperative ileus, as defined in the included studies •nausea, vomiting, or nausea and vomiting, as reported in the included studies•cramping, abdominal pain, bloating, abdominal distension, need for postoperative nasogastric tube Time interval (continuous data) •time to the presence of bowel sounds, time to the first passage of flatus, time to the first passage of stool, time to the start of a regular diet, length of postoperative hospital stay Other major postoperative complications (dichotomous data) •infectious complications, wound complications, deep venous thrombosis, urinary tract infection, pneumonia
CD004508_early_feeding_gyn_surgery	first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	Outcomes	1	2	nausea, vomiting, or nausea and vomiting, as reported in the included studies	nausea, vomiting, or nausea and vomiting, as reported in the included studies	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	3	1.2; 1.3; 1.4	Nausea or vomiting, or both (random-effects model); Nausea (random-effects model); Vomiting	mapped_to_analysis_results	1.2:score=0.88:planned_keyword_subset:planned_variant_1; 1.3:score=0.92:normalized_substring:planned_variant_1; 1.4:score=0.92:normalized_substring:planned_variant_1	itemized	fallback_no_named_subsections	We recorded the following outcomes if the information was available. Development of symptoms and signs of postoperative ileus (dichotomous data) •postoperative ileus, as defined in the included studies •nausea, vomiting, or nausea and vomiting, as reported in the included studies•cramping, abdominal pain, bloating, abdominal distension, need for postoperative nasogastric tube Time interval (continuous data) •time to the presence of bowel sounds, time to the first passage of flatus, time to the first passage of stool, time to the start of a regular diet, length of postoperative hospital stay Other major postoperative complications (dichotomous data) •infectious complications, wound complications, deep venous thrombosis, urinary tract infection, pneumonia
CD004508_early_feeding_gyn_surgery	first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	Outcomes	1	3	cramping, abdominal pain, bloating, abdominal distension, need for postoperative nasogastric tube Time interval (continuous data)	cramping, abdominal pain, bloating, abdominal distension, need for postoperative nasogastric tube Time interval (continuous data)	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	1	1.5	Abdominal distension	mapped_to_analysis_results	1.5:score=0.92:normalized_substring:planned_variant_1	itemized	fallback_no_named_subsections	We recorded the following outcomes if the information was available. Development of symptoms and signs of postoperative ileus (dichotomous data) •postoperative ileus, as defined in the included studies •nausea, vomiting, or nausea and vomiting, as reported in the included studies•cramping, abdominal pain, bloating, abdominal distension, need for postoperative nasogastric tube Time interval (continuous data) •time to the presence of bowel sounds, time to the first passage of flatus, time to the first passage of stool, time to the start of a regular diet, length of postoperative hospital stay Other major postoperative complications (dichotomous data) •infectious complications, wound complications, deep venous thrombosis, urinary tract infection, pneumonia
CD004508_early_feeding_gyn_surgery	first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	Outcomes	1	4	time to the presence of bowel sounds, time to the first passage of flatus, time to the first passage of stool, time to the start of a regular diet, length of postoperative hospital stay Other major postoperative complications (dichotomous data)	time to the presence of bowel sounds, time to the first passage of flatus, time to the first passage of stool, time to the start of a regular diet, length of postoperative hospital stay Other major postoperative complications (dichotomous data)	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	4	1.7; 1.8; 1.9; 1.11	Time to the presence of bowel sounds (random-effects model); Time to the first passage of flatus; Time to the first passage of stool; Hospital stay (random-effects model)	mapped_to_analysis_results	1.7:score=0.92:normalized_substring:planned_variant_1; 1.8:score=0.92:normalized_substring:planned_variant_1; 1.9:score=0.92:normalized_substring:planned_variant_1; 1.11:score=0.92:normalized_substring:planned_variant_1	itemized	fallback_no_named_subsections	We recorded the following outcomes if the information was available. Development of symptoms and signs of postoperative ileus (dichotomous data) •postoperative ileus, as defined in the included studies •nausea, vomiting, or nausea and vomiting, as reported in the included studies•cramping, abdominal pain, bloating, abdominal distension, need for postoperative nasogastric tube Time interval (continuous data) •time to the presence of bowel sounds, time to the first passage of flatus, time to the first passage of stool, time to the start of a regular diet, length of postoperative hospital stay Other major postoperative complications (dichotomous data) •infectious complications, wound complications, deep venous thrombosis, urinary tract infection, pneumonia
CD004508_early_feeding_gyn_surgery	first_pass	Cochrane_reviews/first_pass/CD004508_early_feeding_gyn_surgery.pdf	Outcomes	1	5	infectious complications, wound complications, deep venous thrombosis, urinary tract infection, pneumonia	infectious complications, wound complications, deep venous thrombosis, urinary tract infection, pneumonia	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	3	1.13; 1.14; 1.15	Infectious complications; Wound complications; Pneumonia	mapped_to_analysis_results	1.13:score=0.92:normalized_substring:planned_variant_1; 1.14:score=0.92:normalized_substring:planned_variant_1; 1.15:score=0.92:normalized_substring:planned_variant_1	itemized	fallback_no_named_subsections	We recorded the following outcomes if the information was available. Development of symptoms and signs of postoperative ileus (dichotomous data) •postoperative ileus, as defined in the included studies •nausea, vomiting, or nausea and vomiting, as reported in the included studies•cramping, abdominal pain, bloating, abdominal distension, need for postoperative nasogastric tube Time interval (continuous data) •time to the presence of bowel sounds, time to the first passage of flatus, time to the first passage of stool, time to the start of a regular diet, length of postoperative hospital stay Other major postoperative complications (dichotomous data) •infectious complications, wound complications, deep venous thrombosis, urinary tract infection, pneumonia
CD007895_decongestants_bp	first_pass	Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	Primary outcomes	1	1	Systolic blood pressure (mmHg), measured as change-from- baseline	Systolic blood pressure (mmHg), measured as change-from- baseline	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	1	1.1	Systolic blood pressure, measured as change-from-baseline	mapped_to_analysis_results	1.1:score=1.00:normalized_exact:planned_variant_1	itemized	ok	•Systolic blood pressure (mmHg), measured as change-from- baseline •Diastolic blood pressure (mmHg), measured as change-from- baseline When a study reported blood pressure more than once in the one- to 12-week window, we used the data from the latest measurement to determine the long-term effects on blood pressure.
CD007895_decongestants_bp	first_pass	Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	Primary outcomes	1	2	Diastolic blood pressure (mmHg), measured as change-from- baseline When a study reported blood pressure more than once in the one- to 12-week window, we used the data from the latest measurement to determine the long-term effects on blood pressure	Diastolic blood pressure (mmHg), measured as change-from- baseline When a study reported blood pressure more than once in the one- to 12-week window, we used the data from the latest measurement to determine the long-term effects on blood pressure	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	1	1.2	Diastolic blood pressure, measured as change-from-baseline	mapped_to_analysis_results	1.2:score=0.92:normalized_substring:planned_variant_1	itemized	ok	•Systolic blood pressure (mmHg), measured as change-from- baseline •Diastolic blood pressure (mmHg), measured as change-from- baseline When a study reported blood pressure more than once in the one- to 12-week window, we used the data from the latest measurement to determine the long-term effects on blood pressure.
CD007895_decongestants_bp	first_pass	Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	Secondary outcomes	2	1	Heart rate (beats per minute), measured as change-from- baseline	Heart rate (beats per minute), measured as change-from- baseline	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	1	1.3	Heart rate, measured as change-from-baseline	mapped_to_analysis_results	1.3:score=0.73:token_or_sequence_similarity:planned_variant_1	itemized	ok	•Heart rate (beats per minute), measured as change-from- baseline •Withdrawals due to adverse effects
CD007895_decongestants_bp	first_pass	Cochrane_reviews/first_pass/CD007895_decongestants_bp.pdf	Secondary outcomes	2	2	Withdrawals due to adverse effects	Withdrawals due to adverse effects	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	1	1.4	Withdrawals due to adverse effects	mapped_to_analysis_results	1.4:score=1.00:normalized_exact:planned_variant_1	itemized	ok	•Heart rate (beats per minute), measured as change-from- baseline •Withdrawals due to adverse effects
CD010441_hyaluronidase_perineal	first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	Primary outcomes	1	1	Perineal trauma (tears, episiotomy or both)	Perineal trauma (tears, episiotomy or both)	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	0	.	.	no_mapped_analysis_result	No saved meta-analysis outcome label mapped to this planned outcome by the current heuristic.	itemized	ok	1.Perineal trauma (tears, episiotomy or both) •Defined as unexpected spontaneous perineal lacerations or surgical episiotomy 2.Episiotomy •Defined as surgical enlargement of the vaginal outlet during the last part of the second stage of labour 3.Perineal pain Hyaluronidase for reducing perineal trauma (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.8 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews •Assessed with an 11-point visual analogue scale (VAS) on day 1, day 5 and at follow-up 7 weeks after vaginal delivery
CD010441_hyaluronidase_perineal	first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	Primary outcomes	1	2	Defined as unexpected spontaneous perineal lacerations or surgical episiotomy	Defined as unexpected spontaneous perineal lacerations or surgical episiotomy	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	0	.	.	no_mapped_analysis_result	No saved meta-analysis outcome label mapped to this planned outcome by the current heuristic.	itemized	ok	1.Perineal trauma (tears, episiotomy or both) •Defined as unexpected spontaneous perineal lacerations or surgical episiotomy 2.Episiotomy •Defined as surgical enlargement of the vaginal outlet during the last part of the second stage of labour 3.Perineal pain Hyaluronidase for reducing perineal trauma (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.8 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews •Assessed with an 11-point visual analogue scale (VAS) on day 1, day 5 and at follow-up 7 weeks after vaginal delivery
CD010441_hyaluronidase_perineal	first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	Primary outcomes	1	3	Episiotomy	Episiotomy	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	4	1.1; 1.2; 2.1; 2.2	Incidence of perineal trauma (tears or episiotomy or both); Incidence of episiotomy	mapped_to_analysis_results	1.1:score=0.92:normalized_substring:planned_variant_1; 1.2:score=0.92:normalized_substring:planned_variant_1; 2.1:score=0.92:normalized_substring:planned_variant_1; 2.2:score=0.92:normalized_substring:planned_variant_1	itemized	ok	1.Perineal trauma (tears, episiotomy or both) •Defined as unexpected spontaneous perineal lacerations or surgical episiotomy 2.Episiotomy •Defined as surgical enlargement of the vaginal outlet during the last part of the second stage of labour 3.Perineal pain Hyaluronidase for reducing perineal trauma (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.8 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews •Assessed with an 11-point visual analogue scale (VAS) on day 1, day 5 and at follow-up 7 weeks after vaginal delivery
CD010441_hyaluronidase_perineal	first_pass	Cochrane_reviews/first_pass/CD010441_hyaluronidase_perineal.pdf	Primary outcomes	1	4	Defined as surgical enlargement of the vaginal outlet during the last part of the second stage of labour	Defined as surgical enlargement of the vaginal outlet during the last part of the second stage of labour	Types of outcome measures	planned_review_outcome	Planned/review-level outcome extracted from the PDF Types of outcome measures section; it may or may not appear in a saved meta-analysis result.	0	.	.	no_mapped_analysis_result	No saved meta-analysis outcome label mapped to this planned outcome by the current heuristic.	itemized	ok	1.Perineal trauma (tears, episiotomy or both) •Defined as unexpected spontaneous perineal lacerations or surgical episiotomy 2.Episiotomy •Defined as surgical enlargement of the vaginal outlet during the last part of the second stage of labour 3.Perineal pain Hyaluronidase for reducing perineal trauma (Review) Copyright © 2024 The Cochrane Collaboration. Published by John Wiley & Sons, Ltd.8 Cochrane LibraryTrusted evidence. Informed decisions. Better health. Cochrane Database of Systematic Reviews •Assessed with an 11-point visual analogue scale (VAS) on day 1, day 5 and at follow-up 7 weeks after vaginal delivery
