review_group,review_pdf,review_id,extracted_title,extracted_year,extracted_issue,extracted_doi,in_pubmed,pmid,pubmed_title,pubmed_journal,pubmed_year,pubmed_doi,pubmed_publication_types,title_similarity,lookup_method,candidate_pmids,in_pmc,pmcid,pubmed_url,pmc_url,lookup_status,lookup_errors
after_pilot,CD002243_corticosteroids_sepsis.pdf,CD002243,Corticosteroids for treating sepsis in children and adults,2025,6,10.1002/14651858.CD002243.pub5,yes,40470636,Corticosteroids for treating sepsis in children and adults.,The Cochrane database of systematic reviews,2025,10.1002/14651858.CD002243.pub5,Journal Article; Systematic Review; Meta-Analysis,1.000,doi,40470636,yes,PMC12138977,https://pubmed.ncbi.nlm.nih.gov/40470636/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12138977/,matched,
after_pilot,CD004376_exercise_knee_oa.pdf,CD004376,Exercise for osteoarthritis of the knee,2024,12,10.1002/14651858.CD004376.pub4,yes,39625083,Exercise for osteoarthritis of the knee.,The Cochrane database of systematic reviews,2024,10.1002/14651858.CD004376.pub4,Journal Article; Systematic Review,1.000,doi,39625083,yes,PMC11613324,https://pubmed.ncbi.nlm.nih.gov/39625083/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11613324/,matched,
after_pilot,CD012079_vaginal_prolapse_repair.pdf,CD012079,Transvaginal mesh or grafts or native tissue repair for vaginal prolapse,2024,3,10.1002/14651858.CD012079.pub2,yes,38477494,Transvaginal mesh or grafts or native tissue repair for vaginal prolapse.,The Cochrane database of systematic reviews,2024,10.1002/14651858.CD012079.pub2,Systematic Review; Journal Article,1.000,doi,38477494,yes,PMC10936147,https://pubmed.ncbi.nlm.nih.gov/38477494/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10936147/,matched,
after_pilot,CD013729_dash_cvd.pdf,CD013729,Dietary Approaches to Stop Hypertension (DASH) for the primary and secondary prevention of cardiovascular diseases,2025,5,10.1002/14651858.CD013729.pub2,yes,40326569,Dietary Approaches to Stop Hypertension (DASH) for the primary and secondary prevention of cardiovascular diseases.,The Cochrane database of systematic reviews,2025,10.1002/14651858.CD013729.pub2,Journal Article; Systematic Review; Meta-Analysis,1.000,doi,40326569,yes,PMC12053460,https://pubmed.ncbi.nlm.nih.gov/40326569/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12053460/,matched,
after_pilot,CD014606_digital_cf_infections.pdf,CD014606,Digital technology for early identification of exacerbations in people with cystic fibrosis,2023,4,10.1002/14651858.CD014606.pub2,yes,37057835,Digital technology for early identification of exacerbations in people with cystic fibrosis.,The Cochrane database of systematic reviews,2023,10.1002/14651858.CD014606.pub2,"Journal Article; Systematic Review; Research Support, Non-U.S. Gov't",1.000,doi,37057835,yes,PMC10103544,https://pubmed.ncbi.nlm.nih.gov/37057835/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10103544/,matched,
after_pilot,CD014861_home_iv_cancer_therapy.pdf,CD014861,Delivery of intravenous anti-cancer therapy at home versus in hospital or community settings for adults with cancer,2025,4,10.1002/14651858.CD014861.pub2,yes,40260850,Delivery of intravenous anti-cancer therapy at home versus in hospital or community settings for adults with cancer.,The Cochrane database of systematic reviews,2025,10.1002/14651858.CD014861.pub2,Comparative Study; Journal Article; Meta-Analysis; Systematic Review,1.000,doi,40260850,yes,PMC12012888,https://pubmed.ncbi.nlm.nih.gov/40260850/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12012888/,matched,
after_pilot,CD015148_steroid_carpal_tunnel.pdf,CD015148,Local corticosteroid injection versus placebo for carpal tunnel syndrome,2023,2,10.1002/14651858.CD015148,yes,36722795,Local corticosteroid injection versus placebo for carpal tunnel syndrome.,The Cochrane database of systematic reviews,2023,10.1002/14651858.CD015148,Journal Article; Systematic Review,1.000,doi,36722795,yes,PMC9891198,https://pubmed.ncbi.nlm.nih.gov/36722795/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9891198/,matched,
after_pilot,CD015332_cbt_schizophrenia.pdf,CD015332,Cognitive behavioural therapy without medication for schizophrenia,2024,2,10.1002/14651858.CD015332.pub2,yes,38323679,Cognitive behavioural therapy without medication for schizophrenia.,The Cochrane database of systematic reviews,2024,10.1002/14651858.CD015332.pub2,Journal Article; Systematic Review,1.000,doi,38323679,yes,PMC10848293,https://pubmed.ncbi.nlm.nih.gov/38323679/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10848293/,matched,
first_pass,CD004508_early_feeding_gyn_surgery.pdf,CD004508,Early versus delayed oral feeding after major gynaecologic surgery,2024,8,10.1002/14651858.CD004508.pub5,yes,39132743,Early versus delayed oral feeding after major gynaecologic surgery.,The Cochrane database of systematic reviews,2024,10.1002/14651858.CD004508.pub5,Systematic Review; Journal Article; Meta-Analysis,1.000,doi,39132743,yes,PMC11318081,https://pubmed.ncbi.nlm.nih.gov/39132743/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11318081/,matched,
first_pass,CD007895_decongestants_bp.pdf,CD007895,Effect of adrenergic agonist oral decongestants on blood pressure,2025,3,10.1002/14651858.CD007895.pub3,yes,40145549,Effect of adrenergic agonist oral decongestants on blood pressure.,The Cochrane database of systematic reviews,2025,10.1002/14651858.CD007895.pub3,Journal Article; Systematic Review; Meta-Analysis,1.000,doi,40145549,yes,PMC11948476,https://pubmed.ncbi.nlm.nih.gov/40145549/,https://pmc.ncbi.nlm.nih.gov/articles/PMC11948476/,matched,
