Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes,Bias arising from the randomization process (judgement),Bias arising from the randomization process (support),Bias due to deviations from intended interventions (judgement),Bias due to deviations from intended interventions (support),Bias due to missing outcome data (judgement),Bias due to missing outcome data (support),Bias in measurement of the outcome (judgement),Bias in measurement of the outcome (support),Bias in selection of the reported result (judgement),Bias in selection of the reported result (support),Overall bias (judgement),Overall bias (support)
1,1,Cumulative live birth rate from fresh and frozen transfers,,,SUBGROUP_AND_OVERALL,Clua 2022,2022/1/10,,,,,49,65,,,41,69,,,4.133365155654454,2.091463414634146,0.9966696242412676,4.388835686733278,,Low risk,<p>Randomisation and allocation concealment were properly performed. And no differences were found between the analysed groups.</p>,Low risk,"<p>Participants, carers, and those delivering the interventions were probably aware of the assigned groups, as blinding was not feasible. Although potentially deviations from the intended interventions were identified (the number of embryos transferred was lower in blastocyst group: 1.1 blastocyst vs 1.4 cleavage), it doesn´t seem to affect the outcome as blastocyst group still had better results. No other deviations or differences were reported that could plausibly have influenced the outcomes. The analysis was conducted according to the intention-to-treat (ITT) principle.</p>",Low risk,<p>All the randomized women had data to analyse</p>,Low risk,"<p>Method of measuring the outcome was appropriate, was not different between groups and it is an objective outcome that is unlikely to be influenced by the knowledge of the assigned intervention.</p>",Low risk,<p>The protocol was registered in ClinicalTrials.gov: &nbsp;NCT03088735</p>,Low risk,<p>There is lowrisk of bias..</p>
1,1,Cumulative live birth rate from fresh and frozen transfers,,,SUBGROUP_AND_OVERALL,Cornelisse 2024,2024,,,,,355,603,,,350,599,,,60.97053284978299,1.0183755760368665,0.8094613063241957,1.2812086331561563,,Low risk,<p>Randomisation and allocation concealment were properly performed. And no differences were found between the analysed groups.</p>,Some concerns,"<p>Participants, carers, and those delivering the interventions were probably aware of the assigned groups, as blinding was not feasible. In addition, potentially meaningful deviations from the intended interventions were identified: the proportion of embryos cryopreserved using slow-freezing was higher in the cleavage-stage group compared to the blastocyst-stage group (8.5% vs 0.2%), which could potentially impact the outcome. It is unclear whether this difference had a clinically relevant impact on the outcome.</p>",Low risk,<p>All the randomized women had data to analyze</p>,Low risk,"<p>Method of measuring the outcome was appropriate, was not different between groups and it is an objective outcome that is unlikely to be influenced by the knowledge of the assigned intervention.</p>",Low risk,<p>The protocol was registered in &nbsp;WHO’s ICTRP Search Portal under NTR7034</p>,Some concerns,<p>There are some concerns of risk of bias due to deviations from the intended interventions.</p>
1,1,Cumulative live birth rate from fresh and frozen transfers,,,SUBGROUP_AND_OVERALL,Ma 2024,2024/9/5,,,,,372,497,,,328,495,,,34.89610199456255,1.515219512195122,1.1506096518786113,1.9953684261107159,,Low risk,<p>Randomization and allocation concealment were properly performed. And no differences were found between the analysed groups.</p>,Low risk,"<p>Participants, carers, and those delivering the interventions were probably aware of the assigned groups, as blinding was not feasible. However, no clinically meaningful deviations from the intended interventions were identified. Specifically, the number of embryos transferred was similar between groups (both similar in single and double embryo transfers ), indicating that treatment protocols were followed as intended. No other deviations or differences were reported that could plausibly have influenced the outcomes. The analysis was conducted according to the intention-to-treat (ITT) principle.</p>",Low risk,<p>Almost all the randomized women had data to analyse</p>,Low risk,"<p>Method of measuring the outcome was appropriate, was not different between groups and it is an objective outcome that is unlikely to be influenced by the knowledge of the assigned intervention.</p>",Low risk,<p>The protocol was registered in ClinicalTrials.gov: &nbsp;NCT03152643</p>,Low risk,<p>There is no risk of bias.</p>
1,2,Cumulative live birth rate: grouped by average number of embryo transfers,Average less than 2 embryo transfers (both in blastocyst and cleavage groups),1,SUBGROUP_AND_OVERALL,Clua 2022,2022/1/10,,,,,49,65,,,41,69,,,10.590370449450196,2.091463414634146,0.9966696242412676,4.388835686733278,,Low risk,<p>Randomisation and allocation concealment were properly performed. And no differences were found between the analysed groups.</p>,Low risk,"<p>Participants, carers, and those delivering the interventions were probably aware of the assigned groups, as blinding was not feasible. Although potentially deviations from the intended interventions were identified (the number of embryos transferred was lower in blastocyst group: 1.1 blastocyst vs 1.4 cleavage), it doesn´t seem to affect the outcome as blastocyst group still had better results. No other deviations or differences were reported that could plausibly have influenced the outcomes. The analysis was conducted according to the intention-to-treat (ITT) principle.Participants, carers and people delivering the intervention were probably aware of their assigned intervention.</p>",Low risk,<p>All the randomized women had data to analyse</p>,Low risk,"<p>Method of measuring the outcome was appropriate, was not different between groups and it is an objective outcome that is unlikely to be influenced by the knowledge of the assigned intervention.</p>",Low risk,<p>The protocol was registered in ClinicalTrials.gov: &nbsp;NCT03088735</p>,Low risk,<p>There is no risk of bias.</p>
1,2,Cumulative live birth rate: grouped by average number of embryo transfers,Average less than 2 embryo transfers (both in blastocyst and cleavage groups),1,SUBGROUP_AND_OVERALL,Ma 2024,2024/9/5,,,,,372,497,,,328,495,,,89.4096295505498,1.515219512195122,1.1506096518786113,1.9953684261107159,,Low risk,<p>Randomization and allocation concealment were properly performed. And no differences were found between the analysed groups.</p>,Low risk,"<p>Participants, carers, and those delivering the interventions were probably aware of the assigned groups, as blinding was not feasible. However, no clinically meaningful deviations from the intended interventions were identified. Specifically, the number of embryos transferred was similar between groups (both similar in single and double embryo transfers ), indicating that treatment protocols were followed as intended. No other deviations or differences were reported that could plausibly have influenced the outcomes. The analysis was conducted according to the intention-to-treat (ITT) principle.</p>",Low risk,<p>Almost all the randomised women had data to analyse</p>,Low risk,"<p>Method of measuring the outcome was appropriate, was not different between groups and it is an objective outcome that is unlikely to be influenced by the knowledge of the assigned intervention.</p>",Low risk,<p>The protocol was registered in ClinicalTrials.gov: &nbsp;NCT03152643</p>,Low risk,<p>There is no risk of bias.</p>
1,2,Cumulative live birth rate: grouped by average number of embryo transfers,Average 2 or more embryo transfers (both in blastocyst and cleavage groups),2,SUBGROUP_AND_OVERALL,Cornelisse 2024,2024,,,,,355,603,,,350,599,,,100,1.0183755760368665,0.8094613063241957,1.2812086331561563,,Low risk,<p>Randomisation and allocation concealment were properly performed. And no differences were found between the analysed groups.</p>,Some concerns,"<p>Participants, carers, and those delivering the interventions were probably aware of the assigned groups, as blinding was not feasible. In addition, potentially meaningful deviations from the intended interventions were identified: the proportion of embryos cryopreserved using slow-freezing was higher in the cleavage-stage group compared to the blastocyst-stage group (8.5% vs 0.2%), which could potentially impact the outcome. It is unclear whether this difference had a clinically relevant impact on the outcome.</p>",Low risk,<p>All the randomized women had data to analyze</p>,Low risk,"<p>Method of measuring the outcome was appropriate, was not different between groups and it is an objective outcome that is unlikely to be influenced by the knowledge of the assigned intervention.</p>",Low risk,<p>The protocol was registered in &nbsp;WHO’s ICTRP Search Portal under NTR7034</p>,Some concerns,<p>There are some concerns of risk of bias due to deviations from the intended interventions.</p>
2,1,Live birth following fresh transfer,,,SUBGROUP_AND_OVERALL,Brugnon 2010,2010,,,,,22,55,,,21,52,,,2.847661081590219,0.9841269841269841,0.4542002234307056,2.1323325505466904,,Some concerns,<p>Sequence generated but there was no information about concealment. No table of patients' baseline characteristics reported</p>,Some concerns,"<p>Participants, carers, and those delivering the interventions were probably aware of the assigned groups, as blinding was not feasible. However, no clinically meaningful deviations from the intended interventions were identified. Specifically, the number of embryos transferred was similar between groups (single embryo transfer), indicating that treatment protocols were followed as intended. It is unclear if the analysis was conducted according to the intention-to-treat (ITT) principle.</p>",Some concerns,"<p>The study reported outcome data only as proportions, without providing the absolute number of participants contributing to the analysis in each group. As a result, it was not possible to assess the extent of missing outcome data or whether outcome data were available for all randomized participants. There was no information on exclusions or losses to follow-up.</p>",Low risk,"<p>Method of measuring the outcome was probably appropriate, was not different between groups and it is an objective outcome that is unlikely to be influenced by the knowledge of the assigned intervention.</p>",Some concerns,<p>No protocol registration was found.</p>,Some concerns,"<p>Some concerns of bias due to deviation from the intended interventions, missing outcome data, and selection of the reported result.</p>"
2,1,Live birth following fresh transfer,,,SUBGROUP_AND_OVERALL,Clua 2022,2022/1/10,,,,,37,65,,,23,69,,,2.113099328145192,2.642857142857143,1.3109547319775552,5.327944365412768,,Low risk,<p>Randomisation and allocation concealment were properly performed. And no differences were found between the analysed groups.</p>,Low risk,"<p>Participants, carers, and those delivering the interventions were probably aware of the assigned groups, as blinding was not feasible. Although potentially deviations from the intended interventions were identified (the number of embryos transferred was lower in blastocyst group: 1.1 blastocyst vs 1.4 cleavage), it doesn´t seem to affect the outcome as blastocyst group still had better results. No other deviations or differences were reported that could plausibly have influenced the outcomes. The analysis was conducted according to the intention-to-treat (ITT) principle.Participants, carers and people delivering the intervention were probably aware of their assigned intervention.</p>",Low risk,<p>All the randomized women had data to analyze</p>,Low risk,"<p>Method of measuring the outcome was appropriate, was not different between groups and it is an objective outcome that is unlikely to be influenced by the knowledge of the assigned intervention.</p>",Low risk,<p>The protocol was registered in ClinicalTrials.gov: &nbsp;kNCT03088735</p>,Low risk,<p>There is no risk of bias due.</p>
2,1,Live birth following fresh transfer,,,SUBGROUP_AND_OVERALL,Cornelisse 2024,2024,,,,,223,603,,,177,599,,,24.603179675540908,1.3991376746952127,1.0993626281993616,1.7806556112952863,,Low risk,<p>Randomisation and allocation concealment were properly performed. And no differences were found between the analysed groups.</p>,Low risk,"<p>Participants, carers, and those delivering the interventions were probably aware of the assigned groups, as blinding was not feasible. However, no clinically meaningful deviations from the intended interventions were identified. Specifically, the number of embryos transferred was similar between groups (similar single and double embryo transfers), indicating that treatment protocols were followed as intended. No other deviations or differences were reported that could plausibly have influenced the outcomes. The analysis was conducted according to the intention-to-treat (ITT) principle.</p>",Low risk,<p>All the randomized women had data to analyze</p>,Low risk,"<p>Method of measuring the outcome was appropriate, was not different between groups and it is an objective outcome that is unlikely to be influenced by the knowledge of the assigned intervention.</p>",Low risk,<p>The protocol was registered in &nbsp;WHO’s ICTRP Search Portal under NTR7034</p>,Low risk,<p>There is no risk of bias due.</p>
2,1,Live birth following fresh transfer,,,SUBGROUP_AND_OVERALL,Devreker 2000,2000,,,,,3,11,,,1,12,,,0.15293292464026773,4.125,0.35970426505050973,47.30448497075968,,Some concerns,<p>No information available to know if the allocation sequence was random or the allocation sequence was concealed. And no information about baseline differences between groups.</p>,High risk,"<p>Participants, carers and people delivering the intervention were probably aware of their assigned intervention. There was evidencesuggesting deviation from the intended protocols. All randomised women were analysed.</p>",Low risk,<p>No lost to follow up</p>,Low risk,"<p>Method of measuring the outcome was not described. However, it is unlikely that it was not different between groups and it is an objective outcome that is unlikely to be influenced by the knowledge of the assigned intervention.</p>",Some concerns,<p>No protocol registration was found.</p>,High risk,<p>There is high risk of bias due to deviations from the intended interventions and there are some concerns of risk of bias due to the randomisation process and selection of reported results.</p>
2,1,Live birth following fresh transfer,,,SUBGROUP_AND_OVERALL,Elgindy 2011,2011,,,,,52,100,,,35,100,,,3.6933301300624657,2.011904761904762,1.1399247704326718,3.550901669974837,,Low risk,<p>Randomisation and allocation concealment were properly performed. No baseline differences were found between the analysed groups.</p>,Low risk,"<p>Participants, carers, and those delivering the interventions were probably aware of the assigned groups, as blinding was not feasible. Although potentially deviations from the intended interventions were identified (the number of embryos transferred was lower in blastocyst group: 1.97 blastocyst vs 2.8 cleavage), it doesn´t seem to affect the outcome as blastocyst group still had better results. No other deviations or differences were reported that could plausibly have influenced the outcomes. The analysis was conducted according to the intention-to-treat (ITT) principle.</p>",Low risk,<p>All randomised women were analysed</p>,Low risk,<p>Knowledge of the assigned intervention is unlikely to influence this objective outcome assessment.</p>,Some concerns,<p>No protocol registration was found.</p>,Some concerns,<p>There some concerns of risk of bias due to the selection of reported results.</p>
2,1,Live birth following fresh transfer,,,SUBGROUP_AND_OVERALL,Emiliani 2003,2003,,,,,33,82,,,41,89,,,5.165622550331031,0.7884519661523146,0.4296647287161857,1.4468409003152891,,Some concerns,<p>Concealment was not stated. Only minor differences in age</p>,Low risk,"<p>Participants, carers, and those delivering the interventions were probably aware of the assigned groups, as blinding was not feasible. However, no clinically meaningful deviations from the intended interventions were identified. Specifically, the number of embryos transferred was similar between groups (mean 2.1 vs 1.9), indicating that treatment protocols were followed as intended. No other deviations or differences were reported that could plausibly have influenced the outcomes. The analysis was conducted according to the intention-to-treat (ITT) principle.</p>",Low risk,<p>All women randomised were analysed</p>,Low risk,<p>Not reported but inappropriate methods are unlikely. It is an objective outcome that is unlikely to be influenced by the knowledge of the assigned intervention</p>,Some concerns,<p>No protocol registration was found.</p>,Some concerns,<p>There some concerns of risk of bias due to the randomisation process and selection of reported results.</p>
2,1,Live birth following fresh transfer,,,SUBGROUP_AND_OVERALL,Fernandez-Shaw 2015,2015,,,,,25,60,,,11,60,,,1.4106469246766362,3.1818181818181817,1.3856476655079193,7.306306786464181,,Some concerns,<p>No statement about allocation concealment.</p>,Low risk,"<p>No effort for blindness is described. Considering the nature of the intervention, it is very unlikely that participants and carers and people delivering the intervention were not aware of their assigned intervention.</p>",Low risk,<p>All women randomised were analysed</p>,Low risk,"<p>Method of measuring the outcome was probably appropriate, in both groups and it is an objective outcome that is unlikely to be influenced by the knowledge of the assigned intervention.</p>",Some concerns,<p>No protocol registration was found.</p>,Some concerns,<p>There some concerns of risk of bias due to the randomisation process and selection of reported results.</p>
2,1,Live birth following fresh transfer,,,SUBGROUP_AND_OVERALL,Frattarelli 2003,,,,,,15,29,,,8,28,,,0.8639368725292317,2.6785714285714284,0.8945696134866786,8.020331553622599,,Low risk,<p>Randomization was accomplished using a computer-generated randomization table. The sequences of randomization were concealed until intervention was assigned. The groups were balanced. Concealment method was not described.</p>,Low risk,"<p>Participants, carers, and those delivering the interventions were probably aware of the assigned groups, as blinding was not feasible. Although potentially deviations from the intended interventions were identified (the number of embryos transferred was lower in blastocyst group: 2.04 blastocyst vs 2.96 cleavage), it doesn´t seem to affect the outcome as blastocyst group still had better results. No other deviations or differences were reported that could plausibly have influenced the outcomes. The analysis was conducted according to the intention-to-treat (ITT) principle</p>",Low risk,<p>All women randomised were analysed</p>,Low risk,"<p>Method of measuring the outcome was probably appropriate, no different between groups and it is an objective outcome that is unlikely to be influenced by the knowledge of the assigned intervention.</p>",Some concerns,<p>No protocol registration was found.</p>,Some concerns,<p>Some concerns due to bias in selection of the reported result and due to deviations from the intended protocol.</p>
