Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Sort studies by,Graph label (left),Graph label (right),Graph scale,Show risk of bias,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Cumulative live birth rate from fresh and frozen transfers,Cumulative live birth following fresh and frozen embryo transfers,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours cleavage stage,Favours blastocyst stage,14.17,true,776,1165,719,1163,1.236109381562596,1.0419512886853886,1.4664470592621195,,,,,,6.771120719976102,2,0.03385878184087099,70.46279216231343,2.4313362379255077,,0.015043246985909664,,,,,analysis:453254082147695148
1,2,Cumulative live birth rate: grouped by average number of embryo transfers,Cumulative live birth following fresh and frozen embryo transfers,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,false,true,false,false,Wald,95%,STUDY,Favours cleavage stage,Favours blastocyst stage,14.17,true,,,,,,,,,,,,,,,,,,,,6.150229925034753,1,0.013139574906637308,83.74044528108679,analysis:453908880327220075
2,1,Live birth following fresh transfer,Live birth rate following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours cleavage stage,Favours blastocyst stage,96.9291196760438,true,947,2391,772,2396,1.3854264553595184,1.2289395603565383,1.5618395933589961,,,,,,35.62817942250793,18,0.007871131585080793,49.47819312757645,5.331081239532959,,9.762972871463904e-8,,,,,analysis:396509213417745188
2,2,Live birth following fresh transfer: grouped by number of embryos transferred,Live birth rate following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours cleavage stage,Favours blastocyst stage,76.92911967604381,true,947,2391,772,2396,1.3854264553595181,1.228939560356538,1.561839593358996,,,,,,35.62817942250793,18,0.007871131585080793,49.47819312757645,5.331081239532956,,9.762972871464047e-8,1.4415252168064066,2,0.48638127184777935,0,analysis:418367869980648957
2,3,Live birth following fresh transfer: grouped by prognosis,Live birth rate following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,false,true,false,false,Wald,95%,STUDY,Favours cleavage stage,Favours blastocyst stage,76.92911967604381,true,,,,,,,,,,,,,,,,,,,,1.2136340363677425,2,0.5450833667178003,0,analysis:418368122990766022
2,4,Live birth following fresh transfer: grouped by day of randomisation,Live birth rate following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,false,true,false,false,Wald,95%,STUDY,Favours cleavage stage,Favours blastocyst stage,76.92911967604381,true,,,,,,,,,,,,,,,,,,,,5.788261366502999,3,0.12237887819588877,48.17096516475271,analysis:418368241160301004
3,1,Cumulative preterm birth rate (&lt; 37 weeks),Cumulative preterm birth following fresh and frozen embryo transfers,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,29.402977755848397,true,64,1100,38,1094,1.7168784215676063,1.1388901660280704,2.5881964761576697,,,,,,0.001461171624551574,1,0.9695080736733503,0,2.5809883690409,,0.009851790089038363,,,,,analysis:452235610148864663
3,2,Cumulative early preterm birth rate (&lt; 32 weeks),Cumulative preterm birth following fresh and frozen embryo transfers,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,29.402977755848397,true,8,1100,8,1094,0.994794721654767,0.37199515954640316,2.6602941270496276,,,,,,0.25698365070674595,1,0.6122000807576454,0,0.010398765078671058,,0.9917031354210106,,,,,analysis:452235657629958811
3,3,Cumulative moderate to late preterm birth rate (32 to 37 weeks),Cumulative preterm birth following fresh and frozen embryo transfers,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,false,false,false,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,29.402977755848397,true,,,,,,,,,,,,,,,,,,,,,,,,analysis:453178765415150029
3,4,Cumulative preterm birth rate per live birth (&lt; 37 weeks),Cumulative preterm birth following fresh and frozen embryo transfers,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,29.402977755848397,true,64,727,38,678,1.6312579380981167,1.076279536311392,2.472408301776195,,,,,,0.11753509341522012,1,0.7317234624674358,0,2.306436076928094,,0.021086278081521605,,,,,analysis:453178863241261571
4,1,Clinical pregnancy rate,Clinical pregnancy following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours cleavage stage,Favours blastocyst stage,9.730260234668899,true,1892,4185,1636,4204,1.3133736956911746,1.201743949893977,1.4353727053801075,,,,,,72.55738320731301,35,0.00019676457961936844,51.76231769550314,6.014999182829116,,1.798876075997788e-9,,,,,analysis:396509213544623000
4,2,Clinical pregnancy rate: grouped by number of embryos transferred,Clinical pregnancy following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours cleavage stage,Favours blastocyst stage,9.730260234668899,true,1733,3816,1532,3883,1.287870512389981,1.1739086309582014,1.4128956998380644,,,,,,63.424923931223965,33,0.001127153192172159,47.96998095609199,5.351808457246165,,8.707954641524175e-8,3.6165274673174563,2,0.16393859744036554,44.698332362356105,analysis:418398634851596229
4,3,Clinical pregnancy rate: grouped by prognosis,Clinical pregnancy following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours cleavage stage,Favours blastocyst stage,9.730260234668899,true,1892,4185,1636,4204,1.3133736956911743,1.2017439498939768,1.4353727053801073,,,,,,72.55738320731301,35,0.00019676457961936844,51.76231769550314,6.014999182829112,,1.7988760759978274e-9,1.208716591010107,2,0.5464252158970538,0,analysis:418398788570479239
4,4,Clinical pregnancy rate: grouped by day of randomisation,Clinical pregnancy following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours cleavage stage,Favours blastocyst stage,9.730260234668899,true,1892,4185,1636,4204,1.3133736956911743,1.2017439498939768,1.4353727053801073,,,,,,72.557383207313,35,0.00019676457961581573,51.762317695503135,6.014999182829113,,1.7988760759978144e-9,4.697642017367604,3,0.19532423711394953,36.13817338765426,analysis:418398879596051435
5,1,Multiple pregnancy,Multiple pregnancy following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,4.295252861366694,true,231,3380,209,3396,1.1091404080188527,0.9095614903852652,1.3525115758574513,,,,,,31.876205033522623,25,0.16162544466412498,21.571592434831125,1.0234173710292305,,0.30611056386937274,,,,,analysis:396509213674646548
5,2,Multiple pregnancy: grouped by number of embryos transferred,Multiple pregnancy following fresh transfer,Custom input,#N/A,Dichotomous,true,,,,,,,Blastocyst stage,Cleavage stage,MH,Odds Ratio,,Fixed effect,#N/A,false,true,true,true,false,false,Wald,95%,STUDY,Favours blastocyst stage,Favours cleavage stage,4.295252861366694,true,231,3380,213,3396,1.0856741873487419,0.8912717849306269,1.3224792493202235,,,,,,32.24232380163715,25,0.15111965688757745,22.462164471127263,0.8165513574401099,,0.41418487034610163,10.108305561404775,2,0.006382793917993235,80.21429024033128,analysis:418376094122390224
