Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
1,2,Average less than 2 embryo transfers (both in blastocyst and cleavage groups),1,421,562,369,564,99.99999999999999,1.5762458761557832,1.2180048430708998,2.0398531879675685,,,,0.6383361122878659,1,0.42431420013225807,0,3.4591295363648786,,0.0005419242070894005,subgroup:453908880372308846
1,2,Average 2 or more embryo transfers (both in blastocyst and cleavage groups),2,355,603,350,599,100,1.0183755760368665,0.8094613063241957,1.2812086331561563,,,,0,0,1,0,0.1554413167027339,,0.876473414017288,subgroup:453908880402717552
2,2,Single embryo transfer,1,334,727,259,723,29.875758997388502,1.5382223678235478,1.2423021756825838,1.9046316582135994,,,,1.4875453724165553,2,0.4753174040554754,0,3.9502460563974093,,0.00007807089165997454,subgroup:418367915683882672
2,2,Equal number of embryo transfers (excluding single embryo transfers),2,494,1328,418,1340,57.05837226191136,1.3056983223829701,1.1115075527820402,1.5338160364331892,,,,22.38340423232939,9,0.00774013426527731,59.79163890092784,3.24676700448535,,0.0011672390368028481,subgroup:418367923974186673
2,2,More cleavage-stage than blastocyst embryos transferred,3,119,336,95,333,13.065868740700145,1.384222068131186,0.9935265167708756,1.9285552036687683,,,,10.28805683659331,5,0.06747285191393004,51.399957451482614,1.9215810555260768,,0.0546584942448323,subgroup:418367905627252398
2,3,Good prognostic factors,1,826,2044,664,2038,100,1.412997711873448,1.2415872041124747,1.608072737175803,,,,25.47584017439077,12,0.012722198679960495,52.89654858149553,5.2394887052045815,,1.6102210084525184e-7,subgroup:418368139923433590
2,3,Poor prognostic factors,2,6,34,4,43,100,2.0496688741721854,0.5275062163334884,7.964157319227343,,,,0.5088748185341008,1,0.47562640325185424,0,1.0363601520120522,,0.30003416798195226,subgroup:418368145858635895
2,3,Unselected group,3,115,313,104,315,100,1.1917963707728247,0.8577035087344806,1.6560251589538304,,,,8.396574746386973,3,0.0384888017268189,64.27114519178319,1.045416472374159,,0.2958305418978807,subgroup:418368152973748344
2,4,Randomisation at start of cycle,1,229,664,207,677,100,1.1940654105154402,0.9477086547058376,1.504462576668104,,,,13.149439322090885,6,0.04072330686121828,54.370678072029435,1.504408726687881,,0.13247615866889892,subgroup:418368249806858876
2,4,Randomised on day of OPU and day 1 after OPU,2,355,1009,295,999,100,1.29591537394344,1.0735698195371346,1.5643106073408723,,,,14.319798732110968,6,0.026260897564722274,58.09996975344707,2.6991562210470943,,0.0069515535820493905,subgroup:418368254914734717
2,4,Randomised day 2 to 3 post-OPU,3,346,677,258,679,100,1.7042773853325517,1.372662481063077,2.1160055339361223,,,,1.822141079634498,2,0.40209358391966277,0,4.828978793110583,,0.0000013723502116002358,subgroup:418368259621005950
2,4,Day of randomisation unstated,4,17,41,12,41,100,1.713053097345133,0.6678679262706844,4.393909033347397,,,,0.6131783003073771,1,0.4335938159332402,0,1.1200306322377938,,0.2627007269285867,subgroup:418368299536624255
4,2,Single embryo transfer,1,617,1142,502,1091,27.956058267222065,1.4261265046237224,1.2020520323102402,1.691970690554399,,,,8.063195957012057,5,0.15278712124590976,37.989848855752875,4.070116609583734,,0.000046989611692783584,subgroup:418398687944145192
4,2,Equal number of embryo transfers (excluding single embryo transfers),2,847,2014,738,2050,52.874926338202435,1.2873147037354162,1.1333033967808042,1.4622555188316644,,,,28.674801398148457,16,0.026223420744557302,44.201880327467144,3.884781250091101,,0.00010242206490611824,subgroup:418398644235565350
4,2,More cleavage stage than blastocyst embryos transferred,3,269,660,292,742,19.16901539457553,1.0877713338950714,0.8723718595282213,1.3563556205077072,,,,23.12356403113195,10,0.01029957948719229,56.754071359688766,0.7472393210619879,,0.4549191186095317,subgroup:418398651596044583
4,3,Good prognostic factors,1,1469,3150,1224,3063,73.58274669707755,1.3390871496386993,1.2079357379433455,1.4844783029439588,,,,45.03167892161021,22,0.0026293952005297383,51.14550350588319,5.552121027065853,,2.8222408105963346e-8,subgroup:418398797454801896
4,3,Poor prognostic factors,2,28,91,22,104,1.6730270684053323,1.616616011604614,0.8422438259022386,3.102958132316139,,,,1.5917808934263695,2,0.45117947780492484,0,1.4438794718446988,,0.14877288198636085,subgroup:418398804270545897
4,3,Unselected group,3,395,944,390,1037,24.74422623451712,1.2164056535872851,1.0140816659704854,1.4590962086500978,,,,24.729294255896455,9,0.003285694050279453,63.60591650182641,2.110620915559262,,0.034804908439099086,subgroup:418398816538098666
4,4,Randomised start of cycle,1,378,935,346,958,22.77128961396818,1.2096143278276963,1.0003117208150862,1.4627108646630813,,,,13.929549261935762,8,0.08362036804073525,42.56813447753832,1.9631792416055422,,0.04962535052182254,subgroup:418398889549397324
4,4,Randomised on day of OPU or day 1,2,773,1785,671,1751,43.19550692264088,1.2352987446910395,1.0768972462983615,1.4169996198620418,,,,25.705348765139192,14,0.028210005875747624,45.536626917949576,3.018064680541101,,0.0025439460165691593,subgroup:418398899756498253
4,4,Randomised on day 2 to 3,3,595,1159,461,1108,25.633830547772956,1.5325382607398195,1.2943355893242692,1.814578491083288,,,,10.684037531076738,6,0.09864648890199601,43.84145523124796,4.953347366544895,,7.294758214813006e-7,subgroup:418398939884977486
4,4,Day of randomisation unstated,4,146,306,158,387,8.399372915617981,1.3273264491689316,0.978141937503626,1.8011654905215364,,,,17.644157290680955,4,0.0014481875699131619,77.32960586271432,1.8180680982261108,,0.06905372518474448,subgroup:418399008329203023
5,2,Single embryo transfer,1,20,972,13,971,6.947996351894884,1.5303815421539966,0.7645816356326538,3.0632015672567108,,,,2.1534220500749437,2,0.34071450329089925,7.124569476271699,1.2018241869309263,,0.2294316742768635,subgroup:418376212430861258
5,2,Equal number of embryos transferred (excluding single embryo transfers),2,174,1986,145,2023,65.94385001307577,1.249509506901963,0.9880361018773682,1.5801791097226192,,,,16.41690437143216,15,0.3548979283726944,8.630764603208528,1.8594891041567008,,0.06295784226056417,subgroup:418376104058958777
5,2,More cleavage stage than blastocyst embryos transferred,3,37,422,55,402,27.108153635029364,0.573143640068824,0.36599268590215195,0.8975415214695421,,,,5.362960581794787,6,0.4981721589493623,0,2.4323233854138397,,0.015002306060271054,subgroup:418376137224369082
5,3,Good prognostic factors,1,175,2738,158,2734,74.29639630888522,1.0950797624826465,0.8714368307556563,1.376117744712692,,,,28.581961881834598,18,0.053733635618550823,37.023217389986144,0.7792800988638764,,0.4358147418759456,subgroup:418376423743829483
5,3,Poor prognostic factors,2,2,23,3,31,1.2314788405689086,0.8888888888888887,0.136108123322405,5.805116090819391,,,,1.7018217326767213e-32,0,0,100,0.12302036855045785,,0.9020909687290528,subgroup:418376431673685484
5,3,Unselected,3,54,619,52,631,24.472124850545868,1.0670218059449637,0.7148679236048452,1.5926515888708355,,,,3.568032139468647,5,0.6131195849951835,0,0.31744433380056514,,0.7509064723515377,subgroup:418376440058099181
5,4,Randomised start of cycle,1,68,899,71,939,33.337756530312745,0.991975614788067,0.6994289889064308,1.4068842383451803,,,,4.478001098626034,7,0.7233647133287284,0,0.04519003867060072,,0.9639558341274127,subgroup:418376563261847266
5,4,Randomised on day of OPU or day 1,2,76,1552,79,1543,37.79775036665524,0.9537092355829191,0.6846776944232373,1.3284517860660805,,,,7.146064332037577,10,0.7115874388497057,0,0.28030275272500815,,0.7792452393712286,subgroup:418376571662513891
5,4,Randomised on day 2 to 3,3,84,847,49,827,21.486474809532375,1.7627217808611015,1.2025798987777006,2.58376851291151,,,,7.289059004143701,4,0.12137881843970377,45.12323198747506,2.9054724922061026,,0.0036669907991101593,subgroup:418376601354516196
5,4,Day of randomisation unstated,4,3,88,14,87,7.378018293499642,0.20745487255159592,0.061819754261894275,0.6961775351463545,,,,0.39603387208121077,1,0.5291450698818778,0,2.54624252515745,,0.010888950694358648,subgroup:418376624263542501
