Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding (performance bias and detection bias): participants,Domain (support): Blinding (performance bias and detection bias): participants,Domain (judgement): Blinding (performance bias and detection bias): those delivering intervention,Domain (support): Blinding (performance bias and detection bias): those delivering intervention,Domain (judgement): Blinding (performance bias and detection bias): outcome assessors,Domain (support): Blinding (performance bias and detection bias): outcome assessors,Domain (judgement): Incomplete outcome data (attrition bias): All outcomes,Domain (support): Incomplete outcome data (attrition bias): All outcomes,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Abdelbasset 2019,Unclear risk,"<p>""The 46 patients were randomly classified into 2 groups"" - doesn't say how.</p>",Unclear risk,<p>Not described</p>,High risk,<p>No indication of blinding of participants</p>,High risk,<p>No indication of blinding of those who were delivering the intervention</p>,Low risk,"<p>""Patients underwent Kuppuswamy’s scale and the PHQ-9 before<br>
 starting the study, after 6 weeks and finally after 12 weeks after completing the study by the previously psychiatrist who was blinded regarding the group to which each individual was appointed.""</p>",Low risk,<p>No missing data reported in the study - reported all participants randomised were assessed at all time points</p>,Unclear risk,<p>No protocol</p>,Unclear risk,<p>Control group received advice which included 'being active'</p>
Abdollahi 2017,Unclear risk,"<p>No specific method mentioned: randomly assigned using a permuted block</p>
<p>randomization process</p>",Unclear risk,<p>Not described</p>,High risk,<p>Not described</p>,High risk,<p>Not described</p>,Unclear risk,<p>Not described</p>,High risk,"<p>Out of 35 in both groups, 10 dropped out of intervention group and six out-of-control</p>",Unclear risk,<p>No protocol</p>,Unclear risk,<p>No other source of bias identified</p>
Bademli 2023,Low risk,<p>simple randomization method using the website http://www.randomizer.org/form.htm.</p>,Unclear risk,<p>not described</p>,High risk,<p>Not reported</p>,High risk,<p>Not reported</p>,Unclear risk,<p>Not reported</p>,Low risk,<p>No outcome data was lost - all participants randomised completed trial and were analysed</p>,Unclear risk,<p>Protocol cited but unable to find on trial registries</p>,Low risk,<p>No additional issues</p>
Barclay 2014,Unclear risk,<p>Not stated</p>,Unclear risk,<p>Not stated</p>,High risk,<p>Not stated</p>,High risk,<p>Not stated</p>,Unclear risk,<p>Not stated</p>,Low risk,<p>No participants dropped out after randomisation.</p>,Low risk,"<p>From the study report, it appears that all the prespecified outcome measures have been reported. Authors report protocol on clinicaltrials.gov</p>",Unclear risk,<p>Unclear</p>
Belvederi Murri 2015,Low risk,<p>Computer-generated list of blocks of 4</p>,Unclear risk,<p>Method not described</p>,High risk,<p>There is no blinding of participants. but unclear what influence this had on bias</p>,High risk,<p>There was no blinding of the coordinator. but unclear what influence this had on bias</p>,Low risk,<p>“while keeping the Clinical assessor unaware of participant allocation”</p>,Low risk,<p>Analysis was carried out in the intention-to-treat population using the last observation carried out</p>,Low risk,<p>Prespecified outcomes reported in results</p>,Unclear risk,<p>Differences between Intervention and Control Group members</p>
Blumenthal 1999,Unclear risk,<p>The method of randomisation is not described in the paper</p>,Low risk,"<p>This was categorised as inadequate in the first version of this review, published in the <i>BMJ</i>, after Debbie Lawlor had contacted authors to obtain data on allocation concealment. Further information from the author has enabled us to change this to low risk</p>",High risk,<p>Participants were aware of the treatment group to which they were allocated</p>,High risk,<p>Those delivering the interventions were aware of treatment group. It is not clear whether this would have introduced bias.</p>,Low risk,<p>Used HAM-D as an outcome measure. This is rated by clinicians. Every effort was made to ensure that clinical raters were unaware of participants' treatments groups after allocation</p>,Low risk,"<p>Although not all participants completed the interventions, the authors used last observation carried forward to impute missing values</p>",Low risk,"<p>From the study report, it appears that all the prespecified outcome measures have been reported,</p>",Unclear risk,<p>Unclear</p>
Blumenthal 2007,Low risk,"<p>Conditional randomisation, stratified by age, gender and depression severity</p>",Low risk,<p>Central allocation by a computer</p>,High risk,<p>Participants were aware of whether they received exercise or not. It is unclear whether this introduced bias</p>,High risk,<p>Those personnel delivering exercise were aware of group allocation. It is unclear whether this introduced bias</p>,Low risk,<p>The outcome assessors were unaware of treatment allocation</p>,Low risk,<p>Imputed missing outcome assessment results by last observation carried forward</p>,Low risk,"<p>From the study report, it appears that all the prespecified outcome measures have been reported. Authors report protocol on clinicaltrials.gov</p>",Unclear risk,<p>Unclear</p>
Blumenthal 2012a,Low risk,<p>Computer-based randomisation</p>,Low risk,<p>Allocation through distribution of sealed envelopes</p>,High risk,<p>Not possible to blind participants receiving exercise; unclear effect on bias</p>,High risk,<p>No detail given</p>,Low risk,<p>Telephone surveys (HAMD) by psychologists blinded to arm of trial</p>,Low risk,<p>95 out of 101 completed protocol and outcome assessment</p>,Low risk,<p>Prespecified outcomes reported in results. There is a study protocol</p>,Unclear risk,<p>Unclear</p>
Bonnet 2005,Unclear risk,<p>Method of randomisation not described</p>,Unclear risk,<p>Method of randomisation not described</p>,High risk,"<p>Participants were not blind to treatment allocation, but it is unclear whether this introduced bias</p>",High risk,<p>Those delivering the intervention were not blinded; the effect of this on bias is unclear</p>,High risk,"<p>The primary outcome was the BDI, which is a self report measure</p>",High risk,<p>4/11 dropped out (2/5 in the exercise and CBT; 2/6 in the CBT only group)</p>,Unclear risk,"<p>On the basis of the report, all the prespecified outcomes have been reported. No protocol</p>",Unclear risk,<p>Unclear</p>
Bose 2015,Unclear risk,<p>No specific method of randomisation described</p>,Unclear risk,<p>Not described</p>,High risk,<p>Not described</p>,High risk,<p>Not described</p>,Low risk,"<p>Data collectors were</p>
<p>Blind to treatment status</p>",High risk,<p>No explanation of why participants excluded from control and intervention group</p>,Unclear risk,<p>No protocol given</p>,Unclear risk,"<p>No other source of bias identified</p>
<p>Unclear</p>"
