Study,Year,Data source,ID: CRS,ID: CTG,ID: DOI,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Abdelbasset 2019,2019,PUB,26698074,,,<p>RCT</p>,"<p>Age of 40 to 60 years &nbsp;(Mean age: Intervention (53.4 years (SD 6.3), Control 52.9 years (SD 7.8); women 24%) and medically diagnosed with class II-III of CHF according to the criteria committee of the New York Heart Association (NYHA) who exhibited a left ventricular (LV) ejection fraction &lt;40% and were clinically stable at least 30 days. All patients were diagnosed with mild (score 5-9) to moderate (score 10-19) depression based on validated Patient Health Questionnaire-9 (PHQ-9)</p>","<p>Aerobic exercise: a 5-10 minutes warm up, 30 minutes of moderate aerobic exercise (treadmill walking exercise) with constant intensity at 60% to 70% of maximum heart rate, 5-10 minutes cool down.</p>
<p>Control group: received only patient recommendations given by psychosocial unit to do home program protocol, including being active, staying with helpful or supportive people, doing fun work each day, relaxing, and setting simple goals for 12 weeks.</p>",<p>Patient Health Questionnaire-9 (PHQ-9).</p>,
Abdollahi 2017,2017,PUB,26698076,,,<p>RCT</p>,"<p>Clinical: population was recruited from hospital two psychology clinics in Tehran, Iran</p>
<p>Mean age: 49.67</p>
<p>47.1 % women</p>
<p>N = 70</p>","<p>1. Cardiovascular exercise + CBT: Flexibility , clapping and walking three times a week + once a week lasting 90 minutes within group (n=35)</p>
<p>2.CBT: once a week lasting 90 minutes within group (n=35)</p>","<p>1. Beck depression inventory-II</p>
<p>2. Beck Scale for Suicidal Ideation</p>
<p>3. Barthel index of activities of daily living</p>","<p>Analysis not intention-to-treat</p>
<p>BDI-II self-rated depression score</p>"
Bademli 2023,2023,PUB,26698078,,,<p>RCT</p>,"<p>Caregivers of patients with schizophrenia were recruited from the Community and Mental Health Center. Being literate and over the age of 18 (Mean age: Intervention 46.24 (SD 5.37), Control 45.14 (SD 6.14); Women 59.7%), being the primary caregiver responsible for the care and treatment of a patient diagnosed with schizophrenia at least 1 year prior to the study for a period of more than 3 months, and having at least ≥10 points from the Beck Depression Inventory</p>","<p>Aerobic exercise (Group): 10 minutes of warm-up activities, 20 minutes of rhythmic exercises (3-6 metabolic equivalent), 10 minutes of cool-down exercises - 12 sessions over 12 weeks.</p>
<p>Control: no change in normal routine for 12 weeks.</p>",<p>Beck depression inventory</p>,
Barclay 2014,2014,PUB,26698080,,,<p>RCT</p>,<p>General advertisement and patient referral from Central Health's Occupational Health practice<br>Age 18 – 65 years<br>100% women<br>N = 11</p>,"<p>1. Anaerobic and strength exercises 2 - 3 a week for six weeks + Treatment as normal</p>
<p>2. Control (Treatment as normal)</p>","<p>1. Beck Depression Inventory-II</p>
<p>2. Serotonin, catecholamines (epinephrine, norepinephrine, and dopamine)</p>
<p>3. Mean EEG alpha frequency data in the pre-frontal cortex</p>",<p>Randomisation method not stated</p>
Belvederi Murri 2015,2015,PUB,26698082,,,<p>RCT</p>,"<p>Sedentary adults aged 65-85 years with major depressive disorder</p>
<p>Recruitment took place in the context of a regional liaison programme between the mental health and primary care departments in the region of Emilia Romagna, Italy (Bologna East, Bologna West, Parma and Modena-Correggio).</p>
<p>71% women</p>
<p>N=121</p>","<p>1. Sertraline only arm participants were prescribed Sertraline with a slow titration scheme to reach the standard dosage of 50 mg within 2 weeks for duration 24 weeks</p>
<p>2. Sertraline plus non-progressive exercise arm received sertraline as in the sertraline-only group. In addition they were prescribed attendance at three supervised group exercise sessions per week (60 min duration) for 24 weeks in groups of three to six participants.</p>
<p>3. Sertraline plus progressive aerobic exercise received sertraline as in the sertraline-only study arm. The exercises were mainly based on the use of exercise bicycles and the programme increased over 24 weeks</p>","<p>1. Hamilton Rating Scale for Depression (HRSD) score</p>
<p>2. Global improvement of depression (CGI)</p>
<p>3 .Changes in aerobic capacity VO2max peak, ml/kg per min: mean.</p>","<p>Reported limited negative side effects of exercise</p>
<p>Intention-to-treat analysis</p>"
Blumenthal 1999,1999,PUB,3422931,,,"<p>RCT, parallel groups</p>","<p>Community volunteers recruited via media. Eligible if had DSM-IV major depressive disorder<br>
 Mean age 70 (range 61 to 88)<br>
 63% women<br>
 N = 156<br></p>","<p>1. Group walking or jogging 3 times per week (n = 53 randomised)<br>
 2. Sertraline (SSRI) at standard dose (n = 48 randomised)<br>
 3. Combined walking or jogging and sertraline (n = 55 randomised)</p>
<p>Duration of interventions: 16 weeks<br>
 Exercise intensity was 70% to 85% of target heart rate</p>","<p>1. Clinical diagnosis of depression using DSM-IV<br>
 2. Hamilton Rating Scale for Depression<br>
 3. Beck Depression Inventory</p>","<p>Analysis intention-to-treat, using last observation carried forward for missing data.<br>
 Review authors used group 2 and group 3 in the meta-analysis<br>
 Outcome assessor blind</p>"
Blumenthal 2007,2007,PUB,3422936,NCT00331305,,<p>RCT</p>,"<p>People with major depression recruited through television, radio and newspaper. Mean age 52 (SD 8), 76% women, N = 202</p>","<p>1. Home-based aerobic exercise (same 'exercise prescription' as the supervised aerobic group, but performed it on their own (n = 53)<br>
 2. Supervised group aerobic exercise (walking and jogging) (n = 51)<br>
 3. Sertraline (n = 49)<br>
 4. Placebo (n = 49)<br>
 Intervention 16 weeks</p>","<p>Primary endpoint was remission (no MDD) and a HAM score of &lt; 8, and also a continuous severity score on the HAM-D</p>","<p>Analysis intention-to-treat using last observation carried forward<br>
 Blinded outcome assessment</p>"
Blumenthal 2012a,2013,PUB,3422939,NCT00302068,,<p>RCT</p>,<p>35 years or older with documented coronary artery disease and depressive symptoms (n=101)</p>,"<p>1. Exercise (group walking, running or jogging on treadmill (n = 37; 65% men)</p>
<p>2. Sertraline (n = 40; 63% men)</p>
<p>3. Placebo (n = 24; 83% men)</p>",<p>Depression as diagnosed by DSM-IV and severity of depression as rated on HAM-D; heart disease biomarkers</p>,
Bonnet 2005,2005,PUB,3422942,,,<p>RCT</p>,"<p>University counselling service<br>
 Mean age 23.3 years<br>
 82% women<br>
 N = 11</p>","<p>1. CBT plus exercise (n = 5)<br>
 2. CBT alone (n = 6)</p>
<p>Exercise was walking on a treadmill for 20 minutes, twice a week for 6 weeks</p>
<p>Cognitive therapy: met counsellors once a week for 9 weeks</p>","<p>1. DSM-IV MDD, dysthymia or depressive disorder<br>
 2. Above cut-off depression on BDI and CES-D</p>","<p>Self report<br>
 Randomisation method not stated<br>
 7/11 randomised participants completed the interventions<br>
 Data provided for each participant. Mean and SD calculated by us carrying forward baseline data for those who dropped out</p>"
Bose 2015,2015,PUB,26698093,,,<p>RCT</p>,"<p>Pregnant women within the second trimester with depression aged 17–40</p>
<p>Mean age: not described</p>
<p>100 % women</p>
<p>N = 60</p>","<p>1. Exercise group: walking, stretching and cycling 4 sessions a week for 40–60 min/session.</p>
<p>2. Control group: Patient handout</p>",<p>Physical health questionnaire-9</p>,"<p>Randomisation method not stated</p>
<p>Analysis not intention-to-treat</p>"
Brenes 2007,2007,PUB,3422944,,,<p>RCT</p>,"<p>Community-dwelling and nursing home people over 65 with mild depression, recruited through newsletters, newspaper advertisements, distributing flyers at local nursing homes and public presentations</p>
<p>Mean age 73.5 (SD 7.8) in exercise, 76.4 (6.4) in medication and 73.9 (5.8) in control group</p>
<p>62% women</p>
<p>N = 37</p>","<p>1. Faculty-based group aerobic and resistance training for 60 minutes 3 days a week for 16 weeks (n = 14)</p>
<p>2. Once daily sertraline titrated to response (evaluated at weeks 2, 6, 10 and 14) (n = 11)</p>
<p>3. Control group: contacted at weeks 2, 6, 10, 14 to discuss general health status (n = 12)</p>",<p>HAM-D</p>,"<p>Method of randomisation not stated, states intention-to-treat analysis, however data unclear on how many participants dropped out of each group</p>"
Brush 2022,2022,PUB,26698095,,,<p>RCT</p>,"<p>Eligible participants were adults with a current depression diagnosis who reported no regular exercise (i.e. energy expenditure &lt;35 kcal/kg/day or exercise performed &lt;3 days/week for &lt;20 min/session over the previous month), no contraindications to exercise, and no vision impairments. Individuals of all depressive symptom severity were included. Mean age: Intervention: 20.26 years (SD 2.84), Control: 20.19 years (SD 1.78); Women: 74.24%.</p>","<p>Aerobic exercise: Participants performed 45 min of steady-state moderate intensity exercise on a treadmill or cycle ergometer at an intensity corresponding to 40–65% to their HR reserve which was determined from the baseline cardiorespiratory fitness assessment (24 sessions)</p>
<p>Comparator consisted of 30–45 min of stretching major muscle groups. These exercises were performed while sitting and standing. Each stretch was held for 20 s in sets of 3 with a 40 s rest period between each stretch.</p>",<p>Beck Depression Inventory-II</p>,
Buschert 2019,2019,PUB,26698097,,,<p>RCT</p>,"<p>Hospital inpatients with unipolar depression</p>
<p>Mean age 47.37</p>
<p>63% women</p>
<p>N = 38</p>","<p>1. Aerobic exercise:30 mins of endurance exercise in supervised groups, 2-3 times a week, for 3-4 weeks.</p>
<p>2. Control group: occupational therapy 30min sessions of occupational or art therapy, 2-3 times per week in groups, led by therapist</p>","<p>1. Beck Depression Inventory I-II</p>
<p>2. Tonornto HAMD-7</p>","<p>Self report</p>
<p>Analysis not intention-to-treat</p>"
Cheung 2018,2018,PUB,28758877,,,<p>RCT</p>,"<p>Adults aged 18-65 years attending psychiatric outpatient clinics in Hong Kong, referred by psychiatrist, if had Hamilton Depression Rating Scale 14 or higher (Mean age 47.8 years, 79.4% female)</p>","<p>1. Aerobic exercise (individual, supervised, 1/week 60 minute sessions (warm up; jogging/brisk walking on treadmill, cross trainer, cycling stationary bicycle) with personal trainder; at least 2 sessions 30 minutes aerobic exercise on own (Total 36 sessions over 12 weeks)); 2. Control (no instruction to increase or restrict physcial activity)</p>",<p>Hamilton Rating Scale for Depression (17 item)</p>,
