Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Pain,Cochrane SMT vs. sham SMT/ placebo&nbsp;,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Sham SMT/placebo,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021736056602856
1,2,Functional status,Cochrane SMT vs. sham SMT/ placebo&nbsp;,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Sham SMT/placebo,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021736068399370
1,3,Perceived recovery,Cochrane SMT vs. sham SMT/ placebo&nbsp;,Custom input,"#N/A",Dichotomous,true,,,,,,,SMT,Sham SMT/placebo,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021736076525864
1,4,Health-related quality of life,Cochrane SMT vs. sham SMT/ placebo&nbsp;,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Sham SMT/placebo,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021736080720175
1,5,Return to work,Cochrane SMT vs. sham SMT/ placebo&nbsp;,Custom input,"#N/A",Dichotomous,true,,,,,,,SMT,Sham SMT/placebo,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021736085963064
2,1,Pain,Cochrane SMT vs. no treatment,Custom input,"#N/A",Continuous,false,,,,,,,SMT,No treatment,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021630160125267
2,2,Functional Status,Cochrane SMT vs. no treatment,Custom input,"#N/A",Continuous,false,,,,,,,SMT,No treatment,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021630181096799
2,3,Health-related Quality-of-life,Cochrane SMT vs. no treatment,Custom input,"#N/A",Continuous,false,,,,,,,SMT,No treatment,IV,Mean Difference,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,0.0,0,1.0,0.0,analysis:438021630194728305
3,1,Pain,Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021724199828991
3,2,Functional status,Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021724223422051
3,3,Perceived recovery,Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Dichotomous,true,,,,,,,SMT,other conservative interventions,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021724244131529
3,4,Health-related Quality of Life,Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021724266413813
3,5,Return to work,Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Dichotomous,true,,,,,,,SMT,other conservative interventions,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021724255141601
4,1,Pain,Cochrane SMT as adjuvant therapy,Custom input,"#N/A",Continuous,false,,,,,,,SMT+ another intervention,Intervention alone,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021699469950364
4,2,Functional status,Cochrane SMT as adjuvant therapy,Custom input,"#N/A",Continuous,false,,,,,,,SMT+ another intervention,Intervention alone,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021699479649723
4,3,Perceived recovery,Cochrane SMT as adjuvant therapy,Custom input,"#N/A",Dichotomous,true,,,,,,,SMT+ another intervention,Intervention alone,MH,Risk Ratio,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021699487251926
4,4,Health-related quality of life,Cochrane SMT as adjuvant therapy,Custom input,"#N/A",Continuous,false,,,,,,,SMT+ another intervention&nbsp;,Intervention alone,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021699497213424
5,1,Pain,Cochrane SMT vs. SMT,Custom input,"#N/A",Continuous,false,,,,,,,Manipulation,Mobilization,IV,Mean Difference,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021743354691920
5,2,Functional Status,Cochrane SMT vs. SMT,Custom input,"#N/A",Continuous,false,,,,,,,Manipulation,Mobilization,IV,Std. Mean Difference,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021743358886232
5,3,Perceived recovery,Cochrane SMT vs. SMT,Custom input,"#N/A",Dichotomous,true,,,,,,,Manipulation,Mobilization,MH,Risk Ratio,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021743363342691
5,4,Health-related Quality of life,Cochrane SMT vs. SMT,Custom input,"#N/A",Continuous,false,,,,,,,Manipulation,Mobilization,IV,Std. Mean Difference,,Random effect,DL,false,false,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:438021743364653414
6,1,Pain,Subgroup analysis: duration of low back pain - Cochrane SMT vs. sham SMT/ placebo,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Sham SMT/placebo,IV,Mean Difference,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,0.854759,1,0.35521,0.0,analysis:443890546863849372
6,2,Functional status,Subgroup analysis: duration of low back pain - Cochrane SMT vs. sham SMT/ placebo,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Sham SMT/placebo,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:443890546876432315
7,1,Pain,Subgroup analysis: duration of low back pain - Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:443893760039676356
7,2,Pain,Subgroup analysis: duration of low back pain - Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444113767118169526
7,3,Pain,Subgroup analysis: duration of low back pain - Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444113767724770936
7,4,Pain,Subgroup analysis: duration of low back pain - Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444113768929322810
7,5,Functional status,Subgroup analysis: duration of low back pain - Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:443893760078211620
7,6,Functional status,Subgroup analysis: duration of low back pain - Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444113767161947670
7,7,Functional status,Subgroup analysis: duration of low back pain - Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444113768988567450
8,1,Pain,Subgroup analysis: duration of low back pain - Cochrane SMT as adjuvant therapy&nbsp;,Custom input,"#N/A",Continuous,false,,,,,,,SMT+ another intervention,Intervention alone,IV,Mean Difference,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,2.284596,1,0.130664,56.228581,analysis:444048030774487075
9,1,Pain,Subgroup analysis: multi-modal treatment Cochrane SMT vs. sham SMT/ placebo&nbsp;,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Sham SMT/placebo,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444208071867096429
9,2,Functional status,Subgroup analysis: multi-modal treatment Cochrane SMT vs. sham SMT/ placebo&nbsp;,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Sham SMT/placebo,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444208071887019407
10,1,Pain,Subgroup analysis: multi-modal treatment Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444208131486768997
10,2,Pain,Subgroup analysis: multi-modal treatment Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444273344839804791
10,3,Pain,Subgroup analysis: multi-modal treatment Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444273348174014479
10,4,Pain,Subgroup analysis: multi-modal treatment Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444273359831296321
10,5,Functional status,Subgroup analysis: multi-modal treatment Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444208131533168581
10,6,Functional status,Subgroup analysis: multi-modal treatment Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444273369491565018
10,7,Functional status,Subgroup analysis: multi-modal treatment Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444273372061100581
11,1,Pain,Subgroup analysis: multi-modal treatment Cochrane SMT as adjuvant therapy,Custom input,"#N/A",Continuous,false,,,,,,,SMT+ another intervention,Intervention alone,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444208105268960890
12,1,Pain,Subgroup analysis: country Cochrane SMT vs. sham SMT/ placebo&nbsp;,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Sham SMT/placebo,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444208151526629538
12,2,Functional status,Subgroup analysis: country Cochrane SMT vs. sham SMT/ placebo&nbsp;,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Sham SMT/placebo,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444208151544979655
13,1,Pain,Subgroup analysis: country Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444208158437794052
13,2,Pain,Subgroup analysis: country Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444208411479892586
13,3,Pain,Subgroup analysis: country Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444208413269287626
13,4,Pain,Subgroup analysis: country Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444208415015428906
13,5,Functional status,Subgroup analysis: country Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444208158487863652
13,6,Functional status,Subgroup analysis: country Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444208776748985008
13,7,Functional status,Subgroup analysis: country Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,other conservative interventions,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444208419320095702
14,1,Pain,Subgroup analysis: country Cochrane SMT as adjuvant therapy,Custom input,"#N/A",Continuous,false,,,,,,,SMT+ another intervention,Intervention alone,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444208155773886695
15,1,Pain,Subgroup analysis: type of technique (mob vs. manip) Cochrane SMT vs. sham SMT/ placebo&nbsp;,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Sham SMT/placebo,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444362409140296608
15,2,Functional status,Subgroup analysis: type of technique (mob vs. manip) Cochrane SMT vs. sham SMT/ placebo&nbsp;,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Sham SMT/placebo,IV,Std. Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444362409158122434
16,1,Pain,Subgroup analysis: type of technique (mob vs. manip) Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444633879082373161
16,2,Pain,Subgroup analysis: type of technique (mob vs. manip) Cochrane SMT vs. other conservative interventions,Custom input,"#N/A",Continuous,false,,,,,,,SMT,Other conservative interventions,IV,Mean Difference,,Random effect,DL,false,true,false,false,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,,,,,analysis:444633898182971701
