Study,Outcome,Data type,Effect measure,Arm,Reference arm,Sample size,Cases,Mean,SD,SE,Variance,CI level,CI start,CI end,Exp mean,Exp CI start,Exp CI end,t-test,z-test,P value,Covariance method,Covariance,Other arm 1,Other arm 2,Correlation arm 1,Correlation arm 2,Correlation,Other mean,Other SE,Other variance,Other CI level,Other CI start,Other CI end,Other exp mean,Other exp CI start,Other exp CI end,Other t-test,Other z-test,Other P value,Footnotes
Hansen 2023,All-cause mortality mortality prior to discharge,Arm level,,Control,,807,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen 2023,All-cause mortality mortality prior to discharge,Arm level,,Intervention,,772,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen 2023,Chronic lung disease oxygen supplementation at 36 weeks' postmenstrual age),Arm level,,Control,,807,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen 2023,Chronic lung disease oxygen supplementation at 36 weeks' postmenstrual age),Arm level,,Intervention,,772,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen 2023,Cystic periventricular leukomalacia (diagnosed by cranial ultrasound) prior to discharge,Arm level,,Control,,807,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen 2023,Cystic periventricular leukomalacia (diagnosed by cranial ultrasound) prior to discharge,Arm level,,Intervention,,772,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen 2023,Intraventricular haemorrhage grade III or IV prior to discharge,Arm level,,Control,,807,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen 2023,Intraventricular haemorrhage grade III or IV prior to discharge,Arm level,,Intervention,,772,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen 2023,Major brain injury diagnosed by brain ultrasound or MRI prior to discharge,Arm level,,Control,,807,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen 2023,Major brain injury diagnosed by brain ultrasound or MRI prior to discharge,Arm level,,Intervention,,772,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen 2023,Proven necrotising enterocolitis (Bell's stage II or III) any time point,Arm level,,Control,,807,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen 2023,Proven necrotising enterocolitis (Bell's stage II or III) any time point,Arm level,,Intervention,,772,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen 2023,Retinopathy of prematurity severe (stage equal or above III) any time point,Arm level,,Control,,807,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen 2023,Retinopathy of prematurity severe (stage equal or above III) any time point,Arm level,,Intervention,,772,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen 2023,Severe adverse reactions as reported by study authors prior to discharge,Arm level,,Control,,807,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hansen 2023,Severe adverse reactions as reported by study authors prior to discharge,Arm level,,Intervention,,772,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyttel-Sorensen 2015,All-cause mortality 2 years of corrected age,Arm level,,Control,,80,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyttel-Sorensen 2015,All-cause mortality 2 years of corrected age,Arm level,,Intervention,,86,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyttel-Sorensen 2015,All-cause mortality mortality prior to discharge,Arm level,,Control,,80,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyttel-Sorensen 2015,All-cause mortality mortality prior to discharge,Arm level,,Intervention,,86,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyttel-Sorensen 2015,Chronic lung disease oxygen supplementation at 36 weeks' postmenstrual age),Arm level,,Control,,80,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyttel-Sorensen 2015,Chronic lung disease oxygen supplementation at 36 weeks' postmenstrual age),Arm level,,Intervention,,86,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyttel-Sorensen 2015,Intraventricular haemorrhage grade III or IV prior to discharge,Arm level,,Control,,80,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyttel-Sorensen 2015,Intraventricular haemorrhage grade III or IV prior to discharge,Arm level,,Intervention,,86,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
