Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
1,1,Survival of implant,,,SUBGROUP_AND_OVERALL,Boonen 2013,2013,,,,,0,82,,,2,81,,,14.831388,0.19759,0.009633,4.052886,
1,1,Survival of implant,,,SUBGROUP_AND_OVERALL,Hampton 2022,2022,,,,,0,38,,,1,39,,,13.469199,0.34188,0.014359,8.139895,
1,1,Survival of implant,,,SUBGROUP_AND_OVERALL,Kosse 2017,2017,,,,,0,21,,,0,21,,,,,,,
1,1,Survival of implant,,,SUBGROUP_AND_OVERALL,Kotela 2014,2014,,,,,0,49,,,0,46,,,,,,,
1,1,Survival of implant,,,SUBGROUP_AND_OVERALL,Sariali 2019,2019,,,,,0,40,,,2,40,,,14.986167,0.2,0.009904,4.038646,
1,1,Survival of implant,,,SUBGROUP_AND_OVERALL,Sun 2020,2020,,,,,0,40,,,0,40,,,,,,,
1,1,Survival of implant,,,SUBGROUP_AND_OVERALL,Teeter 2019,2019,,,,,1,25,,,0,25,,,13.605891,3.0,0.128029,70.296335,
1,1,Survival of implant,,,SUBGROUP_AND_OVERALL,Turgeon 2019,2019,,,,,2,25,,,1,29,,,24.717884,2.32,0.223458,24.086866,
1,1,Survival of implant,,,SUBGROUP_AND_OVERALL,Woolson 2014,2014,,,,,1,22,,,1,26,,,18.389471,1.181818,0.078396,17.815855,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Abane 2015,2015,,,37.9,7.7,,70,38.2,8.2,,70,,,5.732065,-0.037512,-0.368836,0.293813,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Abdel 2014,2014,,,61.0,12.0,,20,61.0,13.0,,20,,,3.243059,0.0,-0.619795,0.619795,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Attard 2019,2019,,,36.67,7.7,,9,40.87,8.2,,23,,,2.385013,-0.507345,-1.289309,0.274619,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Boonen 2013,2013,,,15.2,8.7,,82,15.1,8.5,,81,,,5.991889,0.011572,-0.295469,0.318613,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Calliess 2017,2017,,,13.0,16.0,,100,26.0,11.0,,100,,,6.148818,-0.943273,-1.235755,-0.650791,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Cucchi 2019,2019,,,7.17,10.5,,12,12.8,8.73,,10,,,2.080692,-0.555886,-1.414449,0.302678,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Giannotti 2019,2019,,,85.2,6.2,,20,87.2,5.9,,20,,,3.214627,-0.323911,-0.948198,0.300376,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Hampton 2022,2022,,,38.5,7.7,,40,37.7,8.2,,42,,,4.705754,0.099555,-0.333739,0.532849,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Huijbregts 2016,2016,,,40.0,7.7,,66,38.0,8.2,,60,,,5.5244,0.250305,-0.100714,0.601324,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Kosse 2017,2017,,,80.0,12.0,,21,85.0,13.0,,21,,,3.298033,-0.392139,-1.003379,0.2191,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Kotela 2014,2014,,,17.1,15.3,,52,16.3,14.7,,40,,,4.905981,0.052737,-0.359539,0.465012,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Maus 2018,2018,,,67.1,23.2,,59,72.5,23.5,,66,,,5.510482,-0.229762,-0.582112,0.122589,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Pfitzner 2014,2014,,,24.0,18.4,,30,26.0,13.8,,30,,,4.063241,-0.121378,-0.627937,0.385181,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Pietsch 2014,2014,,,86.0,12.0,,40,86.0,13.0,,40,,,4.65943,0.0,-0.438261,0.438261,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Randelli 2019,2019,,,12.31,10.45,,32,10.28,8.42,,30,,,4.120782,0.210492,-0.289068,0.710052,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Stolarczyk 2018,2018,,,69.3,15.8,,29,68.2,16.3,,29,,,3.995981,0.067606,-0.447264,0.582475,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Tammachote 2018,2018,,,5.0,6.0,,51,4.0,6.0,,51,,,5.137076,0.165414,-0.223407,0.554234,
1,2,Function,Function,1,SUBGROUP_AND_OVERALL,Teeter 2019,2019,,,81.6,16.8,,25,82.7,13.6,,25,,,3.690581,-0.07084,-0.625391,0.48371,
