Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Heterogeneity estimator,Tau² CI,Subgroup estimates,Overall estimates,Test for subgroup differences,Prediction interval,Swap event and non-event,CI method,CI/PI level,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,PI start,PI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Survival of implant,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Dichotomous,true,,,,,,,PSG,Conventional,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,4,342,7,347,0.788169,0.246234,2.522842,,,0.0,,,3.500381,5,0.62333,0.0,0.401018,,0.688407,,,,,analysis:421246050872196903
1,2,Function,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Continuous,false,,,,,,,PSG,Conventional,IV,Std. Mean Difference,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,22.741319,15,0.089789,34.040764,analysis:421246050872196907
1,3,Radiographic lower limb alignment measured by outliers in FTCA,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Dichotomous,true,,,,,,,PSG,Conventional,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,234,1204,266,1208,0.862567,0.678931,1.095873,,,0.172931,,,50.915614,26,0.002441,48.935115,1.210414,,0.22612,,,,,analysis:421246050872196936
1,4,Pain,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Continuous,false,,,,,,,PSG,Conventional,IV,Std. Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,357,,358,-0.086916,-0.234097,0.060265,,,0.0,,,7.470562,9,0.588249,0.0,1.157436,,0.247094,0.0,0,1.0,0.0,analysis:421246050872197012
1,5,Total adverse events,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Dichotomous,true,,,,,,,PSG,Conventional,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,61,579,60,590,0.969271,0.677604,1.386482,,,0.019748,,,11.545803,11,0.398733,4.727287,0.170884,,0.864315,,,,,analysis:421246050872197018
1,6,Re-operation rate,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Dichotomous,true,,,,,,,PSG,Conventional,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,16,419,21,424,0.870031,0.450645,1.67971,,,0.0,,,6.346821,8,0.608444,0.0,0.414806,,0.678284,,,,,analysis:421246050872197028
1,7,Quality of life,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Continuous,false,,,,,,,PSG,Conventional,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,109,,103,0.161082,-2.514894,2.837057,,,0.0,,,0.95854,2,0.619235,0.0,0.117981,,0.906083,0.0,0,1.0,0.0,analysis:421246050872197035
1,8,Operative time,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Continuous,false,,,,,,,PSG,Con,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,1007,,1026,-2.793733,-5.663433,0.075967,,,45.414601,,,568.660622,24,0.0,95.779557,1.90808,,0.056381,,,,,analysis:421246050872197050
1,9,Blood loss,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Continuous,false,,,,,,,PSG,CON,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,589,,600,-66.46998,-93.29583,-39.644131,,,1529.547227,,,64.405944,13,0.0,79.815528,4.856464,,1.0E-6,,,,,analysis:421246050876129221
1,10,Haematocrit,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Continuous,false,,,,,,,PSG,CON,IV,Std. Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,103,,108,-0.881637,-1.630239,-0.133036,,,0.471496,,,17.865819,3,4.69E-4,83.208159,2.308274,,0.020984,,,,,analysis:421246050876129224
1,11,Transfusion requirement,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Dichotomous,true,,,,,,,PSG,CON,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,37,246,54,256,0.704421,0.498565,0.995274,,,0.0,,,1.200484,5,0.944831,0.0,1.986827,,0.046942,,,,,analysis:421246050876129228
1,12,Range of motion flexion,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Continuous,false,,,,,,,PSG,CON,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,288,,298,-0.416494,-2.065088,1.2321,,,0.182712,,,7.211863,7,0.407159,2.937698,0.495157,,0.620489,0.0,0,1.0,0.0,analysis:421246050876129235
1,13,Range of motion extension,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Continuous,false,,,,,,,PSG,CON,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,126,,132,0.259251,-0.283886,0.802389,,,0.0,,,1.675938,2,0.432588,0.0,0.935534,,0.349513,,,,,analysis:421246050876129241
1,14,Length of stay,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Continuous,false,,,,,,,PSG,CON,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,516,,546,-0.234073,-0.463304,-0.004841,,,0.042112,,,16.010483,12,0.190757,25.049105,2.001358,,0.045354,0.0,0,1.0,0.0,analysis:421246050876129246
1,15,Incision length,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Continuous,false,,,,,,,PSG,CON,IV,Std. Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,50,,46,,,,,,,,,,,,,,,,,,,,analysis:421246050876129245
1,16,Radiographic outliers in femur coronal alignment,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Dichotomous,true,,,,,,,PSG,Conventional,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,80,750,109,745,0.772275,0.531216,1.122724,,,0.190934,,,24.555712,16,0.07805,34.842045,1.353608,,0.175861,,,,,analysis:421246050872196956
1,17,Radiographic outliers in tibia coronal alignment,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Dichotomous,true,,,,,,,PSG,Conventional,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,80,750,56,745,1.29375,0.836017,2.002098,,,0.20064,,,21.100005,15,0.133664,28.90997,1.156024,,0.247671,,,,,analysis:421246050872196972
1,18,Radiographic outliers in femur sagittal alignment,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Dichotomous,true,,,,,,,PSG,Conventional,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,191,534,191,541,1.027505,0.834737,1.26479,,,0.037695,,,15.534957,10,0.113741,35.629047,0.255958,,0.797983,,,,,analysis:421246050872197039
1,19,Radiographic outliers in tibia sagittal alignment,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Dichotomous,true,,,,,,,PSG,Conventional,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,157,619,131,614,1.170292,0.815147,1.680167,,,0.238044,,,33.545889,13,0.00141,61.247114,0.85226,,0.39407,,,,,analysis:421246050872196990
1,20,Radiographic outliers in femur rotation,Patient-specific cutting guides versus conventional instrumentation,Custom input,"#N/A",Dichotomous,true,,,,,,,PSG,Conventional,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,55,468,90,454,0.634238,0.405362,0.992343,,,0.209701,,,16.270913,9,0.061435,44.68657,1.99362,,0.046194,,,,,analysis:421246050872197004
2,1,Functional outcome measure,Patient-specific cutting guides versus computer-assisted navigation,Custom input,"#N/A",Continuous,false,,,,,,,PSG,NAV,IV,Mean Difference,,Random effect,DL,false,true,false,true,false,false,Wald,95%,,,,,,,,,,,,,,,,,,,,0.585199,1,0.444282,0.0,analysis:421246050880323797
2,2,Radiographic lower limb alignment measured by outliers in FTCA,Patient-specific cutting guides versus computer-assisted navigation,Custom input,"#N/A",Dichotomous,true,,,,,,,PSG,NAV,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,28,135,13,135,2.043735,0.865804,4.824245,,,0.256793,,,3.589964,2,0.166131,44.289134,1.631134,,0.102862,,,,,analysis:421246050880323804
2,3,Operative time,Patient-specific cutting guides versus computer-assisted navigation,Custom input,"#N/A",Continuous,false,,,,,,,PSG,NAV,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,60,,60,-21.540753,-27.926302,-15.155204,,,0.0,,,0.926582,1,0.335753,0.0,6.611663,,0.0,,,,,analysis:421246050880323827
2,4,Range of motion,Patient-specific cutting guides versus computer-assisted navigation,Custom input,"#N/A",Continuous,false,,,,,,,PSG,NAV,IV,Mean Difference,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,,60,,60,0.825654,-4.101086,5.752394,,,,,,1.499616,1,0.220731,33.316243,0.328463,,0.742562,,,,,analysis:421246050880323807
2,5,Range of motion flexion,Patient-specific cutting guides versus computer-assisted navigation,Custom input,"#N/A",Continuous,false,,,,,,,PSG,NAV,IV,Mean Difference,,Random effect,DL,false,true,true,true,false,false,Wald,95%,,60,,60,1.116953,-5.049947,7.283853,,,6.823167,,,1.499616,1,0.220731,33.316243,0.35499,,0.722597,,,,,analysis:421246050880323833
2,6,Incision length,Patient-specific cutting guides versus computer-assisted navigation,Custom input,"#N/A",Continuous,false,,,,,,,PSG,CON,IV,Mean Difference,,Fixed effect,"#N/A",false,true,true,true,false,false,Wald,95%,,30,,30,,,,,,,,,,,,,,,,,,,,analysis:421246050880323837
2,7,Radiographic outliers in femur coronal alignment,Patient-specific cutting guides versus computer-assisted navigation,Custom input,"#N/A",Dichotomous,true,,,,,,,PSG,NAV,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,4,63,4,70,1.093869,0.301931,3.962987,,,0.0,,,0.464726,1,0.495424,0.0,0.136606,,0.891342,,,,,analysis:421246050880323810
2,8,Radiographic outliers in tibia coronal alignment,Patient-specific cutting guides versus computer-assisted navigation,Custom input,"#N/A",Dichotomous,true,,,,,,,PSG,NAV,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,5,63,3,70,1.785179,0.422211,7.548033,,,0.0,,,0.373652,1,0.541021,0.0,0.787808,,0.430809,,,,,analysis:421246050880323813
2,9,Radiographic outliers in femur sagittal alignment,Patient-specific cutting guides versus computer-assisted navigation,Custom input,"#N/A",Dichotomous,true,,,,,,,PSG,NAV,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,8,63,2,70,3.191238,0.573151,17.768436,,,0.338314,,,1.233696,1,0.26669,18.942745,1.324601,,0.185303,,,,,analysis:421246050880323816
2,10,Radiographic outliers in tibia sagittal alignment,Patient-specific cutting guides versus computer-assisted navigation,Custom input,"#N/A",Dichotomous,true,,,,,,,PSG,NAV,MH,Risk Ratio,,Random effect,DL,false,true,true,true,false,false,Wald,95%,12,63,4,70,2.962021,0.904235,9.702748,,,0.093394,,,1.120922,1,0.28972,10.787717,1.793681,,0.072864,,,,,analysis:421246050880323819
