Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
1,2,Function,1,,952,,961,100.0,-0.111801,-0.25495,0.031348,0.064485,,,50.474046,22,5.06E-4,56.413242,1.530756,,0.12583,subgroup:438632475032773756
1,2,KSS knee scores (short-term),2,,430,,440,100.0,-0.094492,-0.258916,0.069933,0.025327,,,15.898799,11,0.14493,30.812383,1.126354,,0.260016,subgroup:421397072690304378
1,2,KSS function scores (short-term),3,,481,,485,100.0,-0.086136,-0.239528,0.067256,0.019806,,,15.238337,11,0.171844,27.813647,1.100603,,0.271069,subgroup:421397072690304382
1,2,KSS knee scores (intermediate term),4,,38,,39,100.0,0.014237,-0.432524,0.460998,0.0,,,0.0,0,1.0,0.0,0.062457,,0.950199,subgroup:436927464286443683
1,2,KSS function scores (intermediate term),5,,83,,80,100.0,0.009807,-0.29728,0.316893,0.0,,,0.0,0,1.0,0.0,0.062591,,0.950092,subgroup:436325988765409975
1,2,Oxford Knee Score (short-term),6,,297,,306,100.0,0.041138,-0.119611,0.201887,0.0,,,3.582435,5,0.610953,0.0,0.501583,,0.615961,subgroup:437517682497135478
1,2,Oxford Knee change score (short-term),7,,69,,69,100.0,0.016928,-0.348182,0.382037,0.014009,,,2.293763,2,0.317626,12.807043,0.09087,,0.927596,subgroup:421246050872196916
1,2,Oxford Knee Score (intermediate-term),8,,121,,119,100.0,0.019324,-0.41457,0.453218,0.061417,,,2.594734,1,0.107219,61.460402,0.087289,,0.930442,subgroup:436325988765409977
1,2,WOMAC (short-term),9,,426,,414,100.0,-0.194071,-0.518169,0.130027,0.1506,,,31.493412,6,2.0E-5,80.948397,1.173631,,0.240543,subgroup:421397072690304388
1,2,WOMAC (intermediate-term),10,,83,,80,100.0,-0.351761,-0.661269,-0.042253,0.0,,,0.0,0,1.0,0.0,2.227533,,0.025912,subgroup:436325988765409979
1,2,KOOS total,11,,31,,31,100.0,-0.100511,-0.598678,0.397656,0.0,,,0.0,0,1.0,0.0,0.395444,,0.692515,subgroup:421246050872196919
1,2,KOOS pain,12,,64,,70,100.0,0.349383,-0.008714,0.70748,0.004955,,,1.06879,1,0.301219,6.436235,1.91227,,0.055842,subgroup:437517682497397631
1,2,KOOS symptoms,13,,64,,70,100.0,0.179158,-0.160967,0.519284,0.0,,,0.459292,1,0.497955,0.0,1.032394,,0.301888,subgroup:437517682497397633
1,2,KOOS ADL,14,,64,,70,100.0,0.265431,-0.075599,0.60646,0.0,,,0.548184,1,0.459061,0.0,1.525481,,0.127139,subgroup:437517682497397635
1,2,KOOS sports,15,,64,,70,100.0,0.172248,-0.16765,0.512145,0.0,,,0.193187,1,0.660278,0.0,0.993238,,0.320594,subgroup:437517682497397637
1,2,KOOS QOL,16,,64,,70,100.0,0.33038,-0.011713,0.672473,0.0,,,0.868108,1,0.35148,0.0,1.892857,,0.058377,subgroup:437517682497397639
1,4,VAS early,1,,357,,358,100.0,-0.086916,-0.234097,0.060265,0.0,,,7.470562,9,0.588249,0.0,1.157436,,0.247094,subgroup:436325988765672125
1,7,SF12 - M,1,,109,,103,100.0,0.161082,-2.514894,2.837057,0.0,,,0.95854,2,0.619235,0.0,0.117981,,0.906083,subgroup:436325988769342163
1,12,New Subgroup,1,,288,,298,100.0,-0.416494,-2.065088,1.2321,0.182712,,,7.211863,7,0.407159,2.937698,0.495157,,0.620489,subgroup:436325988770390751
1,14,Length of stay,2,,516,,546,100.0,-0.234073,-0.463304,-0.004841,0.042112,,,16.010483,12,0.190757,25.049105,2.001358,,0.045354,subgroup:437517682499494809
2,1,KSS FUNCTIONAL,1,,60,,60,100.0,5.00051,-1.309663,11.310683,0.0,,,0.013531,1,0.907397,0.0,1.553178,,0.120381,subgroup:421246050880323798
2,1,KSS Knee,2,,60,,60,100.0,2.24918,-0.892905,5.391266,0.0,,,0.073307,1,0.786582,0.0,1.402989,,0.16062,subgroup:421397072714945928
3,4,MRI,1,158,781,173,787,100.0,0.931881,0.771799,1.125167,,,,34.808774,16,0.004221,54.034577,0.733628,,0.463176,subgroup:421246050876129289
3,5,CT,1,24,227,44,233,100.0,0.576919,0.368292,0.903725,,,,8.617213,7,0.281319,18.767242,2.402023,,0.016305,subgroup:421246050876129304
3,6,MRI,1,35,469,28,459,100.0,1.228246,0.77501,1.946543,,,,12.338281,8,0.136737,35.161148,0.875077,,0.381532,subgroup:421246050876129332
3,7,MRI,1,132,348,134,353,100.0,1.009361,0.847825,1.201676,,,,14.192245,6,0.027561,57.723391,0.104717,,0.916601,subgroup:421246050876129349
3,8,MRI,1,104,378,91,368,100.0,1.134171,0.895462,1.436515,,,,20.28185,7,0.004992,65.486384,1.044201,,0.296392,subgroup:421246050876129366
3,9,MRI,1,27,232,30,216,100.0,0.799558,0.505119,1.265628,,,,7.658459,4,0.104922,47.770173,0.95465,,0.339755,subgroup:421246050876129381
