Study,Year,Data source,ID: CRS,ID: CTG,ID: Australian New Zealand Clinical Trials Registry number,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Abou El Fadl 2021,2021,PUB,28428560,NCT03700957,,"<p><b>Study design</b>: Open label randomized parallel-arm clinical trial</p><p><b>Country</b>: Egypt</p><p><b>Setting</b>: Neonatal intensive care unit of Ain Shams University Children's Hospital, Cairo</p><p><b>Study dates</b>: October 2018 to November 2019</p>","<p><b>Total number</b>: 67</p><p><b>Inclusion criteria</b>: Preterm infants &nbsp;≤32 weeks gestational age at birth, weight &nbsp;≤1500 g and clinically stable</p><p><b>Exclusion criteria</b>: Bleeding disorders, receiving anticoagulants, persistent vomiting, gastrointestinal malformations and maternal use of omega-3 supplements</p>",<p><b>Control group description</b>: Standard neonatal feeding</p><p><b>Intervention group's description</b>: 100 mg/day docosahexaenoic acid (vegetarian liquid DHA supplement by Hearts and Minds Pure Health) for 14 days</p>,"<p><b>Primary outcomes</b>: Necrotizing enterocolitis</p><p><b>Secondary outcomes</b>: Length of stay, adverse effects, mortality</p>",<p><b>Funding source: </b>Did not receive any specific grant from funding agencies</p><p><b>Declarations of interest</b> : No conflicts of interests</p><p><b>Contact with authors</b>: None</p>
Baack 2016,2016,PUB,28428563,NCT01908907,,"<p><b>Study design</b>: Double-blinded, randomized, placebo-controlled trial</p><p><b>Country</b>: USA</p><p><b>Setting</b>: Boekelheide NICU at Sanford Health in Sioux Falls, South Dakota</p><p><b>Study dates: </b>October 2012 and March 2014</p>","<p><b>Total number</b>: 60 preterm infants</p><p><b>Inclusion criteria</b>: Preterm infants 24–34 weeks gestational age</p><p><b>Exclusion criteria</b>:Preteem infants who were non-viable, or those with multiple, severe congenital anomalies; term infants born to diabetic mothers or were SGA</p>","<p><b>Control group description</b>: Placebo (Medium Chain Triglyceride—MCT® oil, Nestle Health Science, Florham Park, NJ) (n = 29 preterm infants); Term infants for comparison</p><p><b>Intervention group's description: </b>50 mg/day (0.18 ml) of DHA liquid from algal source (Pure Encapsulations, Sudberg, MA) (n = 31):&nbsp;</p><p><b>Duration: </b>Until discharge or 37 6/7 weeks post menstrual age, whichever came first</p>","<p><b>Primary outcomes</b>: Feasibility, tolerability and dosing efficacy of enteral DHA; fatty acid profile</p><p><b>Secondary outcomes</b>: Days to achieve full enteral feedings, growth velocity, adverse events, central line-associated bloodstream infections, mortality.</p>","<p><b>Funding source</b>: (quote:) ""Funding for this study was provided by a Sanford Health Seed Grant, a Gerber Foundation Pediatric Nutrition Grant (PN12-005-1372-3069), and Sanford Research. Dr. Baack also receives support from the Eunice Kennedy Shriver National Institute of Child Health &amp; Human Development of the National Institutes of Health (K08HD078504) and an NIH Center of Biomedical Research Excellence (COBRE) grant (P20 GM103620-01A1). Further information about this trial and ongoing efforts may be found at ClinicalTrials.gov<b> </b>(NCT01908907).""</p><p><b>Declarations of interest</b>: (quote:) ""Dr. William S. Harris who serves as a senior mentor to Dr. Baack, is the Founder and President of OmegaQuant, LLC. Funding sponsors had no role in study design, implementation, data collection, analyses, interpretation or publication""</p><p><b>Contact with authors</b>: Received clarification regarding the intervention enteral lipid preparation</p>"
Bernabe-Garcia 2019,,PUB,28428565,NCT02683317,,"<p><b>Study design</b>: Randomized double-blind parallel-group clinical trial</p><p><b>Country</b>: Mexico</p><p><b>Setting</b>: Instituto Mexicano del Seguro Social (IMSS), in Mexico City</p><p><b>Study dates</b>: February 2016 to January 2018</p>","<p><b>Total number</b>: 136</p><p><b>Inclusion criteria</b>: Preterm neonates with birth weight &lt;1500 g but ≥1000 g and a functional gastrointestinal tract</p><p><b>Exclusion criteria: </b>Congenital malformations, need for major surgery, intraventricular hemorrhage grade &gt; 2, or whose mother was taking ω-3 supplements</p>","<p><b>Control group description</b>: Sham oil (high oleic sunflower oil prepared by PROGELA SA, Mexico City, Mexico)</p><p><b>Intervention group's description: </b>75 mg of DHA/kg baseline body weight, DHA-rich algal oil diluted in high oleic sunflower oil as a vehicle (life’s DHA, DSM Nutritional Products Inc., Parsippany, NJ, USA)</p><p><b>Duration:</b> 14 days</p>","<p><b>Primary outcomes</b>: Incidence and severity of retinopathy of prematurity</p><p><b>Secondary outcomes: </b>Duration of hospital stay, fatty acid profile, bleeding events, intraventricular hemorrhage, gastric bleeding, vomiting, mortality.</p>","<p><b>Funding:</b> (quote:) ""Research grants Salud-2015-2-261765 from the Consejo Nacional de Ciencia y Tecnologıa and FIS/IMSS/PROT/G15/1462 from the Instituto Mexicano del Seguro Social (both to Dr. M. Bernabe-García). ""</p><p><b>Declarations of interest</b> : No conflicts of interest</p><p><b>Contact with authors</b>: The lead author confirmed that Bernabe Garcia 2019 and 2021 were 2 different populations of subjects in an email communication.</p>"
Bernabe-García 2021,2021,PUB,28428567,NCT01745510,,<p><b>Study design</b>: Randomized double-blind parallel-group clinical trial</p><p><b>Country</b>: Mexico</p><p><b>Setting</b>: Instituto Mexicano del Seguro Social (IMSS) in México</p><p>City</p><p><b>Study dates: </b>October 2012 and October 2017</p>,"<p><b>Total number</b>:214</p><p><b>Inclusion criteria</b>: Preterm newborn infants with birthweight 1000-1500g, with an expected functional gastrointestinal tract</p><p><b>Exclusion criteria</b>: Congenital malformations, a need for major surgery, or periventricular intraventricular hemorrhage grade II were excluded. Infants born to mothers taking n-3 fatty acid supplements or had taken them during pregnancy</p>","<p><b>Control group description</b>: Sham oil (control group; high-oleic sunflower oil; PROGELA SA, México City, Mexico)Algal oil in sunflower oil vs. sunflower oil</p><p></p><p><b>Intervention group's description</b>: 75 mg of DHA/kg of body weight (DHAgroup) from a DHA-rich algal oil diluted in high-oleic sunflower oil as a vehicle (Neuromins® for Kids life’s DHA®; DSM Nutritional Products Inc., Parsippany, NJ, USA)</p><p>Duration: 14 days</p>","<p><b>Primary outcomes</b>: Necrotizing enterocolitis</p><p><b>Secondary outcomes</b>:Fatty acid profile, adverse events included a platelet count &lt; 80,000 mm3 (collected from routine biochemical analysis), bleeding events such as periventricular/intraventricular hemorrhage grade II, pulmonary and gastric bleeding, and death.</p>","<p><b>Funding source: </b>(quote:) ""This research was funded by Consejo Nacional de Ciencia y Tecnología (CONACYT), México, grant number Salud-2011-01-161643, in support of the research work (to M.B.-G.).""</p><p><b>Declarations of interest</b>: (quote:) ""P.C.C. acts as a consultant to BASF AS, Smartfish, DSM, Cargill, Danone/Nutricia, and Fresenius-Kabi. All other authors declare no conflicts of interest. The funders had no role in the design of the study; in the collection, analyses, or interpretation of data; in the writing of the manuscript; or in the decision to publish the results.""</p><p><b>Contact with authors: </b>The lead author confirmed that Bernabe Garcia 2019 and 2021 were two different populations of subjects in an email communication.</p>"
Collins 2017,2017,PUB,28428569,,ACTRN12612000503820,"<p><b>Study design</b>: Randomized double-blinded control trial</p><p><b>Country</b>: Australia, New Zealand, and Singapore</p><p><b>Setting</b>: - Neonatal intensive care units in 13 hospitals across Australia, New Zealand, and Singapore</p><p><b>Study dates</b>: -June 18, 2012, to September 30, 2015</p>","<p><b>Total number</b>: 1273</p><p><b>Inclusion criteria</b>: Infants born before 29 weeks of gestation who had commenced enteral feeding in the previous 3 days</p><p><b>Exclusion criteria</b>: A major congenital or chromosomal abnormality, were participating in another trial of fatty-acid supplementation, or were receiving intravenous lipids containing fish oil or if the mother was taking supplements containing DHA.</p>","<p><b>Control group description</b>: Soy emulsion 0.5 ml/kg (0.5ml contained 55 mg of linoleic acid, 5.7 mg alpha-linolenic acid, 4.8 mg vitamin C, 0.01 mg vitamin E)</p><p><b>Intervention group's description</b>: 0.5 ml/kg of microencapsulated aqueous emulsion of fractionated tuna oil (contained 60 mg of DHA, 4 mg of eicosapentaenoic acid, 4.6 mg of vitamin C, and 0.05 mg of vitamin E)</p>","<p><b>Primary outcomes</b>: Incidence of bronchopulmonary dysplasia, death</p><p><b>Secondary outcomes</b>: Composite of bronchopulmonary dysplasia or death, retinopathy of prematurity, intraventricular hemorrhage, sepsis, necrotizing enterocolitis, and death before 36 weeks of postmenstrual age and during the first hospitalization, length of hospital stay, feeding tolerance (number of days to reach full enteral feeding and number of days on which one or more feedings were stopped), central line-associated bloodstream infection, mortality, and growth.</p>","<p><b>Funding source: </b>(quote:) ""Supported by a grant (1022112) from the NHMRC, by the M.S. McLeod Research Fund, Women’s and Children’s Hospital Research Foundation (M.S. McLeod Research Fellowship to Dr. Collins), and by NHMRC Fellowships (Principal Research Fellowship 1061704 to Dr. Makrides, Practitioner Fellowship 1059111 to Dr. Davis, Early Career Research Fellowship 1111134 to Dr. Thio, and Senior Principal Research Fellowship 1046207 to Dr. Gibson).""</p><p><b>Declarations of interest</b> : The company Clover Corporation, Australia provided the emulsions for a dose-response pilot study (Australian New Zealand Clinical Trials Registry: ACTRN1261000038207) to determine the effect of higher-dose docosahexaenoic acid on erythrocyte phospholipid levels in preterm infants were manufactured and donated by Clover Corporation. The company had no role in the study design or conduct; in the data collection, management, analysis, or interpretation; or in the preparation, review, or approval of the manuscript.</p><p><b>Contact with authors</b>: None</p>"
Frost 2021,2021,PUB,28428571,NCT03192839,,<p><b>Study design</b>: Randomized double-blind placebo-controlled trial</p><p><b>Country</b>: USA</p><p><b>Setting</b>: Neonatal intensive care units (NICUs) at NorthShore University Health System and Rush University Medical Center</p><p><b>Study dates</b>: 2017 to 2018</p>,"<p><b>Total number</b>: 30</p><p><b>Inclusion criteria</b>: Very low birth weight infants (&lt; 1500g birth weight)</p><p><b>Exclusion criteria</b>: Metabolic disorder, having a congenital gastrointestinal anomaly, being deemed inappropriate for the study by the treating physician, or being in another investigational therapy.</p>",<p><b>Control group description</b>: Sunflower Oil&nbsp;</p><p><b>Intervention groups description</b>: LCPUFA-120 (40 mg/kg/day DHA and 80 mg/kg/day ARA) OR LCPUFA-360 (120 mg/kg/day DHA and 240 mg/kg/day ARA)</p>,"<p><b>Primary outcomes</b>: Blood LCPUFA levels at 2 weeks</p><p><b>Secondary outcomes</b>: Blood LCPUFA levels at 8 weeks, days to reach full enteral feeds, feeding intolerance,the incidence of necrotizing enterocolitis and bronchopulmonary dysplasia, cholestasis, length of stay, sepsis, duration of IV lipid emulsion, mortality</p>","<p><b>Funding source: </b>(quote:) ""Mead Johnson Nutrition provided the enteral supplement used in this study as well as the placebo, and funding for carrying out the study. They additionally provided salary support for B.F. and A.P. and salary support for the research coordinators at each study site. There has been no study sponsorship involvement in any of the following areas: (1) study design; (2) the collection, analysis, and interpretation of data; (3) the decision to submit the paper for publication. The study sponsor contributed to editing of the final draft of the manuscript. B.F. and M.C. have both worked as paid consultants for Mead Johnson Nutrition. At the time of the study, C.B. and T.C. worked for Mead Johnson Nutrition.""</p><p><b>Declarations of interest:</b> &nbsp;Mead Johnson Nutrition (quote:)""additionally provided salary support for B.F. and A.P. and salary support for the research coordinators at each study site."" (Quote:) ""B.F. and M.C. have both worked as paid consultants for Mead Johnson Nutrition. At the time of the study, C.B. and T.C. worked for Mead Johnson Nutrition.""""</p><p><b>Contact with authors</b>: None</p>"
Hellstrom 2021,2021,PUB,28428573,https://clinicaltrials.gov/study/NCT0320158,,"<p><b>Study design</b>: Randomized clinical trial (single-blind trial — only the evaluators were blinded).</p><p><b>Country</b>: Sweden</p><p><b>Setting</b>: NICU</p><p><b>Study dates</b>: December 15, 2016, to August 7, 2019</p>","<p><b>Total number</b>: 206</p><p><b>Inclusion criteria</b>: Infants born before 28 weeks' gestation</p><p><b>Exclusion criteria</b>: Detectable clinical gross malformation, known or suspected chromosomal abnormality, genetic disorder, or syndrome, clinically significant neuropathy, nephropathy, retinopathy, or other micro- or macrovascular disease requiring treatment or any other condition or therapy that might pose a risk to the subject or interfere with compliance or interfere with interpretation of results.&nbsp;</p>","<p><b>Control group description</b>: No supplementation (n=105)</p><p><b>Intervention group's description</b>: AA 100 + DHA 50 (n=101) Fungal oil +Algal oil&nbsp;(Formulaid, DSM Nutritional Products Inc)</p><p>&nbsp;</p>","<p><b>Primary outcomes</b>: The incidence of severe ROP (ie, ROP stage 3 and/or type 1 ROP) according to the international ROP classification</p><p><b>Secondary outcomes</b>: Levels of serum phospholipid fatty acids, BPD, IVH, PDA, NEC, measures of safety and tolerance including cholestasis, death, and growth measured up to 40 weeks’ PMA</p>","<p><b>Funding source: </b>Grants 2015-00810 and 2016-01131 from the Swedish Medical Research Council; Grants from the Gothenburg Medical Society, De Blindas V.nner, government grants ALFGBG-71971 and ALFGBG-812951, and TheWallenberg Clinical Scholars. DSM Nutritional Products Inc provided the AA and DHA supplement Formulaid at no cost.</p><p><b>Declarations of interest</b> : (quote:) ""Drs A. Hellstrom and Hansen-Pupp reported receiving grants from the Swedish Medical Research Council during the conduct of the study.""</p><p><b>Contact with authors</b>: None</p>"
NCT01674478,2018,UNPUB,28428575,NCT01674478,,"<p><b>Study design</b>: Randomized parallel assignment open-labelled clinical trial</p><p><b>Country</b>: USA</p><p><b>Setting</b>: NICU at Wake Forest University Health Science, Winston-Salem, North Carolina, United Sates</p><p><b>Study dates</b>: Unclear(Registered in 2012, results published in 2018)</p>","<p><b>Total number</b>: 18</p><p><b>Inclusion criteria</b>: Infants ≤ 2 months old with birth weight ≤1250g</p><ol><li data-list-item-id=""e8e0e0f78ff06df5060d2fddb9dee002a"">Admitted for surgical intervention for NEC or small intestine perforation and then to have a jejunostomy or ileostomy;</li><li data-list-item-id=""e965560d03f05c9a8d6d76629b7c42a18"">Who are expected to need full or partial PN for at least 21&nbsp;days from the day of ostomy placement; and</li><li data-list-item-id=""e41befbafcd1be7f48a59ab6bf3a2ce6d"">Who have received enteral feedings ≤ 4 days since ostomy placement.</li></ol><p><b>Exclusion criteria</b>: infant with birth weight &gt; 1250g;</p><ol><li data-list-item-id=""e5a023d9cc8de67ac8fcb0e44d8e8c156"">Infant with colostomy;</li><li data-list-item-id=""e7259fea435bb69007cf6354a5f690de0"">Infants with enterostomy but<ol><li data-list-item-id=""e4b4d6a5f6fd1d45771962dc30722332b"">Unable to obtain written informed consent;</li><li data-list-item-id=""e3bbb3a5c0676df15ce7f6752cf1474dc"">Presence of congenital liver, renal, or metabolic diseases or syndromes or perinatal asphyxia;</li><li data-list-item-id=""ebab4e38b366ecc870f79e3ed93d75856"">Ostomy caused by surgical treatment for a condition other than NEC or small intestine perforation; and</li><li data-list-item-id=""eca1331d57b724bb4ef15292e9c835dc2"">Unable to initiate enteral feeding for more than 28 days since ostomy placement.</li></ol></li></ol>",<p><b>Control group description</b>: Microlipid alone</p><p><b>Intervention group description: </b>Microlipid with fish oil</p>,"<p><b>Primary outcomes</b>: The serum biomarkers of inflammatory cytokines and oxidative stress</p><p><b>Secondary outcomes</b>:The enteral calorie intake before reanastomosis and weight gain (g/day) after reanastomosis, mortality</p>","<p>The results were published on Clinicaltrials.gov, but not published in a peer-reviewed journal.</p><p><b>Funding source: </b>None</p><p><b>Declarations of interest</b> : None declared</p><p><b>Contact with authors: </b>Upon contact over email, the author confirmed the study was not published in a peer-reviewed journal.</p>"
Robinson 2016,,PUB,28428577,NCT01955044,,"<p><b>Study design</b>: Randomized controlled trial</p><p><b>Country</b>: USA</p><p><b>Setting</b>: NICU at NorthShore University Health System, Northwestern University, and Lurie Children’s Hospital</p><p><b>Study dates</b>: October 2013 to March 2015</p>","<p><b>Total number</b>: 30</p><p><b>Inclusion criteria</b>: Premature infants &lt; 34 weeks and birth weight &lt; 1000 g</p><p><b>Exclusion criteria</b>: metabolic disorders, gastrointestinal anomalies, or being deemed inappropriate for study enrollment</p>",<p><b>Control group description</b>: 100% high oleic sunflower oil&nbsp;</p><p><b>Intervention group's description</b>:  AA 240 mg/mL + DHA 120 mg/ml (DSM Nutritional Products) given as low dose: DHA 20 mg/kg/day with 40 mg/kg/day AA OR high dose: DHA 60 mg/kg/day with 120 mg/kg/day AA</p>,"<p><b>Primary outcomes</b>: Red blood cell DHA levels at 2 wk after randomization.&nbsp;</p><p><b>Secondary outcomes</b>: all other LCPUFA levels at 2 and 8 wk, or at time of discharge, neonatal morbidities, sepsis, cholestasis, mortality, time to full feeds, length of hospital stay, nutritional data.</p>","<p><b>Funding source: </b>(quote:) ""Mead Johnson Nutrition provided the supplements used in this trial as well as funding to support trial implementation including salary support for D.T.R &nbsp;and B.F. There has been no study sponsorship involvement in any of the following areas: (i) study design; (ii) the collection, analysis, and interpretation of data; (iii) the writing of the report; and (iv) the decision to submit the paper for publication. The first draft was written by D.T.R and B.F., and no authors received an honorarium, grant, or any form of payment for the production of this manuscript. This trial was registered prior to first enrollment at ClinicalTrials.gov, registration number NCT01955044.""</p><p><b>Declarations of interest</b> : Mead Johnson Nutrition provided (quote:) ""salary support for D.T.R and B.F."" (Quote:) ""no authors received an honorarium, grant, or any form of payment for the production of this manuscript.""</p><p><b>Contact with authors</b>: Email correspondence regarding a numerical error in the table.</p>"
Wendel 2023,2023,PUB,28428579,Nutrition Therapy in the Immature Infant (ImNuT); NCT03555019,,<p><b>Study design</b>: Double-blind randomized controlled trial</p><p><b>Country</b>: Norway</p><p><b>Setting</b>:NICU at Oslo University Hospital</p><p><b>Study dates</b>: April 2018 to January 2021</p>,"<p><b>Total number</b>: 121</p><p><b>Inclusion criteria</b>: Infant with gestational age &lt; 29 weeks</p><p><b>Exclusion criteria</b>: Infants with congenital malformations, chromosomal abnormalities or critical illness with short life expectancy</p>","<p><b>Control group description</b>: MCT oil ™, Nutricia</p><p><b>Intervention group's description</b>: AA (fungal oil) and DHA (algal oil) in a 2:1 ratio (Formulaid ™, DSM Nutritional Products Inc.)</p>","<p><b>Primary outcomes</b>:&nbsp;</p><p>Wendel 2023: Respiratory outcomes from birth up to 40 weeks post menstrual age, including number of days requiring respiratory support, mean oxygen demand (FiO2) during respiratory support, and use of postnatal steroids. Lung function.</p><p>Rossholt 2023: Growth (body weight, length, head circumference at 3 months' corrected age): Type of milk feeding</p><p><b>Secondary outcomes</b>:&nbsp;</p><p>Wendel 2023: retinopathy of prematurity, necrotizing enterocolitis, intraventricular hemorrhage, patent ductus arteriosus requiring treatment,&nbsp; late onset sepsis (infections), and mortiality.</p>","<p><b>Funding source</b>: (quote:) ""The study was sponsored by funds from the Research Council of Norway, with additional contribution from the public foundations the South-Eastern Norway Regional Health Authority (Helse SørØst RHF) and Barnestiftelsen, Oslo University Hospital. DSM Nutritional Products Inc. sponsored the investigational nutrition product, Formulaid™. This was an investigator-initiated study. The DSM Nutritional Products Inc. had no role in the design or conduct of the study""</p><p><b>Declarations of interest</b> : No conflicts of interest declared</p><p><b>Contact with authors</b>: None</p>"
