Analysis number,Analysis name,Test number,Test name,Subgroup by,Subgroup item,Subgroup,Study,TP,FP,FN,TN,Sensitivity,Sens CI start,Sens CI end,Specificity,Spec CI start,Spec CI end
1,LSM by VCTE (CSPH) any cut-off,1,"LSM by VCTE (CSPH) ""any cut-off""",None,,,Augustin 2015,17,1,9,13,0.653846,0.443328,0.827856,0.928571,0.661316,0.998193
1,LSM by VCTE (CSPH) any cut-off,1,"LSM by VCTE (CSPH) ""any cut-off""",None,,,Banini 2022,9,33,7,93,0.5625,0.298777,0.802466,0.738095,0.652302,0.81236
1,LSM by VCTE (CSPH) any cut-off,1,"LSM by VCTE (CSPH) ""any cut-off""",None,,,Bureau 2008,68,5,8,69,0.894737,0.803083,0.953447,0.932432,0.849321,0.977699
1,LSM by VCTE (CSPH) any cut-off,1,"LSM by VCTE (CSPH) ""any cut-off""",None,,,Colecchia 2012,30,1,35,34,0.461538,0.337021,0.589675,0.971429,0.850828,0.999277
1,LSM by VCTE (CSPH) any cut-off,1,"LSM by VCTE (CSPH) ""any cut-off""",None,,,Dajti 2022,30,7,30,128,0.5,0.368062,0.631938,0.948148,0.896083,0.978902
1,LSM by VCTE (CSPH) any cut-off,1,"LSM by VCTE (CSPH) ""any cut-off""",None,,,Gomez-Escolar 2013,40,1,4,6,0.909091,0.783314,0.974671,0.857143,0.421277,0.99639
1,LSM by VCTE (CSPH) any cut-off,1,"LSM by VCTE (CSPH) ""any cut-off""",None,,,Grgurević 2016,10,1,1,8,0.909091,0.58722,0.997701,0.888889,0.517503,0.997191
1,LSM by VCTE (CSPH) any cut-off,1,"LSM by VCTE (CSPH) ""any cut-off""",None,,,Grgurević 2022,31,5,9,31,0.775,0.615488,0.891603,0.861111,0.705025,0.953322
1,LSM by VCTE (CSPH) any cut-off,1,"LSM by VCTE (CSPH) ""any cut-off""",None,,,He 2022,45,0,5,51,0.9,0.781865,0.966725,1.0,0.930223,1.0
1,LSM by VCTE (CSPH) any cut-off,1,"LSM by VCTE (CSPH) ""any cut-off""",None,,,Hong 2013,30,6,6,17,0.833333,0.671884,0.93628,0.73913,0.515948,0.897714
1,LSM by VCTE (CSPH) any cut-off,1,"LSM by VCTE (CSPH) ""any cut-off""",None,,,Jachs 2022,119,11,69,103,0.632979,0.559752,0.701939,0.903509,0.833907,0.950841
