Analysis number,Analysis name,Test number,Test name,Subgroup by,Subgroup item,Subgroup,Model,Lambda,Theta,beta,Var(accuracy),Var(threshold),E(logitSe),E(logitSp),Var(logitSe),Var(logitSp),Cov(logits),Corr(logits),SE(E(logitSe)),SE(E(logitSp)),Cov(Es),Studies,Summary point,Summary curve,Confidence reg,Conf reg level,Prediction reg,Pred reg level,ID
1,LSM by VCTE (CSPH) any cut-off,1,"LSM by VCTE (CSPH) ""any cut-off""",None,,,HSROC,3.2758,-0.4796,-0.1519,1.0162,0.4475,,,,,,,0.1877,0.1877,-0.0068,29,false,true,false,0.95,false,0.95,test:443873385154920886
2,LSM by VCTE (CSPH) cut-off 11.4-14.4 kPa,2,LSM by VCTE (CSPH) cut-off 11.4-14.4 kPa,None,,,Bivariate,,,,,,3.548,0.5377,3.8489,2.2846,-2.2165,,0.94425,0.60049,-0.32843,7,true,false,true,0.95,true,0.95,test:443917932222388372
3,LSM by VCTE (CSPH) cut-off 15-18 kPa,3,LSM by VCTE (CSPH) cut-off 15-18 kPa,None,,,Bivariate,,,,,,2.1797,1.3864,0.1239,0.1869,0.004342,,0.1977,0.20263,2.0E-4,9,true,false,true,0.95,true,0.95,test:444136021294902676
4,LSM by VCTE (CSPH) cut-off 20-23 kPa,4,LSM by VCTE (CSPH) cut-off 20-23 kPa,None,,,Bivariate,,,,,,1.3271,1.7569,0.1371,0.4522,0.1382,,0.1579,0.2603,0.012,11,true,false,true,0.95,true,0.95,test:444136032758197655
5,LSM by VCTE (CSPH) cut-off 25-28 kPa,5,LSM by VCTE (CSPH) cut-off 25-28 kPa,None,,,Bivariate,,,,,,0.434,2.8529,0.2088,0.7397,0.1902,,0.1662,0.3593,0.0182,12,true,false,true,0.95,true,0.95,test:444136037493304730
6,LSM by VCTE (CSPH) cut-off 25 kPa,6,LSM by VCTE (CSPH) cut-off 25 kPa,None,,,Bivariate,,,,,,0.5007,2.7617,0.2471,0.9313,0.3027,,0.19456,0.42802,0.0353,9,true,false,true,0.95,true,0.95,test:444533831039431271
7,"LSM by VCTE (SPH) ""any cut-off""",7,"LSM by VCTE (SPH) ""any cut-off""",None,,,HSROC,2.6136,0.1655,0.5419,0.1163,0.3612,,,,,,,0.21472,0.35772,-0.04351,8,false,true,false,0.95,false,0.95,test:442574396242358331
8,LSM by VCTE (SPH) cut-off 16-18 kPa,8,LSM by VCTE (SPH) cut-off 16-18 kPa,None,,,HSROC,2.8487,-0.1578,-1.4749,1.022,0.0,,,,,,,0.72895,0.30336,0.0839,3,true,false,true,0.95,true,0.95,test:444136044987739551
9,LSM by VCTE (SPH) cut-off 20-22 kPa,9,LSM by VCTE (SPH) cut-off 20-22 kPa,None,,,HSROC,2.6228,0.2192,0.07833,0.242,7.0E-5,,,,,,,0.23387,0.25581,0.01992,3,true,false,true,0.95,true,0.95,test:444136092904517028
10,LSM by VCTE (SPH) cut-off 24-26 kPa,10,LSM by VCTE (SPH) cut-off 24-26 kPa,None,,,HSROC,2.6245,-0.06832,0.675,0.5,0.4809,,,,,,,0.36239,0.64793,-0.16053,3,true,false,true,0.95,true,0.95,test:444136095666728359
11,"SSM by VCTE (CSPH) ""any cut-off""",11,"SSM by VCTE (CSPH) ""any cut-off""",None,,,HSROC,3.5417,-0.3661,-0.4503,0.04491,0.5349,,,,,,,0.44895,0.34389,-0.09103,6,false,true,false,0.95,false,0.95,test:442574423346475079
12,SSM by VCTE (CSPH) cut-off 40-44 kPa,12,SSM by VCTE (CSPH) cut-off 40-44 kPa,None,,,HSROC,3.7616,-0.6352,-1.2348,0.0,0.3275,,,,,,,0.65216,0.34075,-0.09324,4,true,false,true,0.95,true,0.95,test:444136100095651242
13,SSM by VCTE (CSPH) cut-off 46-50 kPa,13,SSM by VCTE (CSPH) cut-off 46-50 kPa,None,,,Bivariate,,,,,,1.0259,2.3013,0.3606,0.1065,-0.1266,,0.34682,0.35283,-0.03233,4,true,false,true,0.95,true,0.95,test:444136103843524013
14,"SSM by VCTE (SPH) ""any cut-off""",14,"SSM by VCTE (SPH) ""any cut-off""",None,,,HSROC,5.28,-2.1048,-2.2199,0.0,0.02122,,,,,,,0.30047,0.23105,-0.00489,4,false,true,false,0.95,false,0.95,test:442574429130682443
