Study,Domain (judgement): Was a consecutive or random sample of patients enrolled?,Domain (judgement): Were the index test results interpreted without knowledge of the results of the reference standard?: LSM by VCTE,Domain (judgement): Were the index test results interpreted without knowledge of the results of the reference standard?: SSM by VCTE,Domain (judgement): Were the index test results interpreted without knowledge of the results of the reference standard?: LSM by pSWE,Domain (judgement): Were the index test results interpreted without knowledge of the results of the reference standard?: SSM by pSWE,Domain (judgement): Were the index test results interpreted without knowledge of the results of the reference standard?: LSM by 2D-SWE,Domain (judgement): Were the index test results interpreted without knowledge of the results of the reference standard?: SSM by 2D-SWE,Domain (judgement): Were the index test results interpreted without knowledge of the results of the reference standard?: LSM by MRE,Domain (judgement): Were the index test results interpreted without knowledge of the results of the reference standard?: SSM by MRE,Domain (judgement): Were the index test results interpreted without knowledge of the results of the reference standard?: LSM + SSM combination (VCTE),Domain (judgement): Were the index test results interpreted without knowledge of the results of the reference standard?: LSM + SSM combination (2D-SWE),Domain (judgement): Is the reference standard likely to correctly classify the target condition?,Domain (judgement): Was there an appropriate interval between index test and reference standard?,"Domain (judgement): If a threshold was used, was it pre-specified?: LSM by VCTE","Domain (judgement): If a threshold was used, was it pre-specified?: SSM by VCTE","Domain (judgement): If a threshold was used, was it pre-specified?: LSM by pSWE","Domain (judgement): If a threshold was used, was it pre-specified?: SSM by pSWE","Domain (judgement): If a threshold was used, was it pre-specified?: LSM by 2D-SWE","Domain (judgement): If a threshold was used, was it pre-specified?: SSM by 2D-SWE","Domain (judgement): If a threshold was used, was it pre-specified?: LSM by MRE","Domain (judgement): If a threshold was used, was it pre-specified?: SSM by MRE","Domain (judgement): If a threshold was used, was it pre-specified?: LSM + SSM combination (VCTE)","Domain (judgement): If a threshold was used, was it pre-specified?: LSM + SSM combination (2D-SWE)",Domain (judgement): Were the reference standard results interpreted without knowledge of the results of the index tests?,Domain (judgement): Did all patients receive the same reference standard?,Domain (judgement): Did the study avoid inappropriate exclusions?,Domain (judgement): Could the conduct or interpretation of the index test have introduced bias?: LSM by VCTE,Domain (judgement): Could the conduct or interpretation of the index test have introduced bias?: SSM by VCTE,Domain (judgement): Could the conduct or interpretation of the index test have introduced bias?: LSM by pSWE,Domain (judgement): Could the conduct or interpretation of the index test have introduced bias?: SSM by pSWE,Domain (judgement): Could the conduct or interpretation of the index test have introduced bias?: LSM by 2D-SWE,Domain (judgement): Could the conduct or interpretation of the index test have introduced bias?: SSM by 2D-SWE,Domain (judgement): Could the conduct or interpretation of the index test have introduced bias?: LSM by MRE,Domain (judgement): Could the conduct or interpretation of the index test have introduced bias?: SSM by MRE,Domain (judgement): Could the conduct or interpretation of the index test have introduced bias?: LSM + SSM combination (VCTE),Domain (judgement): Could the conduct or interpretation of the index test have introduced bias?: LSM + SSM combination (2D-SWE),"Domain (judgement): Could the reference standard, its conduct, or its interpretation have introduced bias?",Domain (judgement): Were all patients included in the analysis?,Domain (judgement): Could the selection of patients have introduced bias?,"Domain (judgement): Are there concerns that the index test, its conduct, or interpretation differ from the review question?: LSM by VCTE","Domain (judgement): Are there concerns that the index test, its conduct, or interpretation differ from the review question?: SSM by VCTE","Domain (judgement): Are there concerns that the index test, its conduct, or interpretation differ from the review question?: LSM by pSWE","Domain (judgement): Are there concerns that the index test, its conduct, or interpretation differ from the review question?: SSM by pSWE","Domain (judgement): Are there concerns that the index test, its conduct, or interpretation differ from the review question?: LSM by 2D-SWE","Domain (judgement): Are there concerns that the index test, its conduct, or interpretation differ from the review question?: SSM by 2D-SWE","Domain (judgement): Are there concerns that the index test, its conduct, or interpretation differ from the review question?: LSM by MRE","Domain (judgement): Are there concerns that the index test, its conduct, or interpretation differ from the review question?: SSM by MRE","Domain (judgement): Are there concerns that the index test, its conduct, or interpretation differ from the review question?: LSM + SSM combination (VCTE)","Domain (judgement): Are there concerns that the index test, its conduct, or interpretation differ from the review question?: LSM + SSM combination (2D-SWE)",Domain (judgement): Are there concerns that the target condition as defined by the reference standard does not match the question?,Domain (judgement): Could the patient flow have introduced bias?,Domain (judgement): Are there concerns that the included patients and setting do not match the review question?
Attia 2015,Yes,,,Yes,Yes,,,,,,,Yes,Yes,,,No,No,,,,,,,Yes,Yes,Yes,,,High risk,High risk,,,,,,,Low risk,No,Low risk,,,Low concern,Low concern,,,,,,,Low concern,High risk,High concern
Augustin 2015,Yes,Unclear,,,,,,,,,,Yes,No,Yes,,,,,,,,,,Unclear,Yes,Yes,Unclear risk,,,,,,,,,,Unclear risk,No,Low risk,Low concern,,,,,,,,,,Low concern,High risk,Low concern
Banini 2022,Yes,Yes,,,,,,,,,,Yes,Unclear,No,,,,,,,,,,Yes,Yes,No,High risk,,,,,,,,,,Low risk,Yes,High risk,Low concern,,,,,,,,,,Low concern,Unclear risk,High concern
Borghi 2012,Yes,,,,Yes,,,,,,,Yes,Unclear,,,,No,,,,,,,Yes,Yes,Unclear,,,,High risk,,,,,,,Low risk,Yes,Unclear risk,,,,Low concern,,,,,,,Low concern,Unclear risk,Unclear concern
Bureau 2008,Yes,Yes,,,,,,,,,,Yes,Yes,No,,,,,,,,,,Yes,Yes,Yes,High risk,,,,,,,,,,Low risk,Yes,Low risk,Low concern,,,,,,,,,,Low concern,Low risk,High concern
Chandan 2012,Yes,Unclear,,,,,,,,,,Yes,Unclear,No,,,,,,,,,,Unclear,Yes,Unclear,High risk,,,,,,,,,,Unclear risk,Unclear,Unclear risk,Low concern,,,,,,,,,,Low concern,Unclear risk,Unclear concern
Colecchia 2012,Yes,Yes,Yes,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,Yes,Yes,No,Low risk,Low risk,,,,,,,,,Low risk,Yes,High risk,Low concern,Low concern,,,,,,,,,Low concern,Low risk,High concern
Corina 2018,Yes,,,,,Unclear,,,,,,Yes,Unclear,,,,,No,,,,,,Unclear,Yes,Unclear,,,,,High risk,,,,,,Unclear risk,Unclear,Unclear risk,,,,,Low concern,,,,,,Low concern,Unclear risk,Unclear concern
Dajti 2022,Yes,Unclear,,,,,,,,,,Yes,No,Yes,,,,,,,,,,Unclear,Yes,Unclear,Unclear risk,,,,,,,,,,Unclear risk,Yes,Unclear risk,Low concern,,,,,,,,,,Low concern,High risk,Unclear concern
Gomez-Escolar 2013,Unclear,Unclear,,,,,,,,,,Yes,Unclear,No,,,,,,,,,,Unclear,Yes,Unclear,High risk,,,,,,,,,,Unclear risk,No,Unclear risk,Low concern,,,,,,,,,,Low concern,High risk,Unclear concern
Grgurević 2016,Yes,Unclear,Unclear,,,Unclear,Unclear,,,,,Yes,Unclear,No,No,,,No,No,,,,,Unclear,Yes,Unclear,High risk,High risk,,,High risk,High risk,,,,,Unclear risk,Yes,Unclear risk,Low concern,Low concern,,,Low concern,Low concern,,,,,Low concern,Unclear risk,Unclear concern
Grgurević 2022,Yes,Unclear,Unclear,,,Unclear,Unclear,,,,,Yes,Yes,No,No,,,No,No,,,,,Unclear,Yes,Yes,High risk,High risk,,,High risk,High risk,,,,,Unclear risk,Yes,Low risk,Low concern,Low concern,,,Low concern,Low concern,,,,,Low concern,Low risk,Low concern
He 2022,Yes,Unclear,,,,,,,,Unclear,,Yes,Unclear,Yes,,,,,,,,Yes,,Unclear,Yes,Unclear,Unclear risk,,,,,,,,Unclear risk,,Unclear risk,Unclear,Unclear risk,Low concern,,,,,,,,Low concern,,Low concern,Unclear risk,Unclear concern
Hirooka 2022,Yes,,,,,Unclear,Unclear,,,,,Yes,Yes,No,No,,,No,No,,,,,Unclear,Yes,No,High risk,High risk,,,High risk,High risk,,,,,Unclear risk,No,High risk,Low concern,Low concern,,,Low concern,Low concern,,,,,Low concern,High risk,High concern
Hong 2013,Yes,Unclear,,,,,,,,,,Yes,Unclear,No,,,,,,,,,,Unclear,Yes,Yes,High risk,,,,,,,,,,Unclear risk,Yes,Low risk,Low concern,,,,,,,,,,Low concern,Unclear risk,Low concern
Jachs 2022,Yes,Yes,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,Yes,Yes,Low risk,,,,,,,,,,Low risk,Yes,Low risk,Low concern,,,,,,,,,,Low concern,Low risk,Low concern
Jachs 2023,Yes,Unclear,,,,,Unclear,,,,,Yes,No,Yes,,,,,Yes,,,,,Unclear,Yes,No,Unclear risk,,,,,Unclear risk,,,,,Unclear risk,Yes,High risk,Low concern,,,,,Low concern,,,,,Low concern,High risk,High concern
Jansen 2017,Yes,,,,,Unclear,Unclear,,,,Unclear,Yes,Yes,,,,,No,No,,,,No,Yes,Yes,No,,,,,High risk,High risk,,,,High risk,Low risk,No,High risk,,,,,Low concern,Low concern,,,,Low concern,Low concern,High risk,High concern
Jindal 2022,Yes,Unclear,,,,,,,,,,Yes,Unclear,Yes,,,,,,,,,,Unclear,Yes,Yes,Unclear risk,,,,,,,,,,Unclear risk,Yes,Low risk,Low concern,,,,,,,,,,Low concern,Unclear risk,Low concern
