Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Adusumalli 2023,2023,PUB,25735837,<p>Design: Parallel Cluster-RCT</p>,"<p>Country: USA&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: 3426&nbsp;<br>N patients: 835,277</p>",<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention 1: A&amp;F + peer benchmarking</p>,<p>Clinical behaviour category: Prescribing</p>,
Aghdassi 2020,2020,PUB,25735839,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Germany&nbsp;<br>Setting: Hospital inpatient&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: NR</p>,"<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: A&amp;F quarterly, plus education and dispensers</p>",<p>Clinical behaviour category: Other</p>,
Aghlmandi 2023,2023,PUB,25735841,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Switzerland&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: 158&nbsp;<br>N patients: 4131</p>,<p>Number of arms: 4&nbsp;<br>Description of groups: Control : no intervention; Intervention 1: clinical nudge (prescribing choice prompt + monthly peer comparison feedback report); Intervention 2: patient nudge (text messages to remind patients to discuss the statin during their GP consultation); Intervention 3: combined conditions in arm 2 and arm 3</p>,<p>Clinical behaviour category: Prescribing</p>,
Andrade 2022,2022,PUB,25735843,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Australia&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: 2552&nbsp;<br>N patients: 3271</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Intervention 1: A&amp;F + educational materials in DIGITAL format; Intervention 2: A&amp;F + educational materials in POSTAL letter format</p>,<p>Clinical behaviour category: Prescribing</p>,
Ashworth 2021,2021,PUB,25735845,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Canada&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: 296&nbsp;<br>N patients: NR</p>,<p>Number of arms: 4&nbsp;<br>Description of groups: Intervention 1: A&amp;F one time with patient-level information; Intervention 2: A&amp;F + letter from regulatory college; Intervention 3: A&amp;F + letter and phone call from pharmacist at regulatory college; Intervention 4: A&amp;F + letter and phone call from physician at regulatory college&nbsp;</p>,<p>Clinical behaviour category: Prescribing</p>,
Carney 2023,2023,PUB,25735847,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Canada&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: 4833&nbsp;<br>N patients: NR</p>,"<p>Number of arms: 2&nbsp;<br>Description of groups: Intervention 1: A&amp;F including a description of a common clinical encounter, E. coli resistance rate, prescribing benchmarking bar chart, and development process of the A&amp;F; Intervention 2: same intervention but with one-year delay</p>",<p>Clinical behaviour category: Prescribing</p>,
Catho 2022,2022,PUB,25735849,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Switzerland&nbsp;<br>Setting: Hospital inpatient&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: NR</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Control: receiving: A&amp;F + teaching sessions + benchmarking; Intervention: A&amp;F + decision-support (for type and duration of treatment) + self-guided re-evaluation of initial prescription</p>,<p>Clinical behaviour category: Prescribing</p>,
Chang 2020,2020,PUB,25735851,<p>Design: Cross-over</p>,<p>Country: China&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: 164&nbsp;<br>N patients: NR</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: A&amp;F every 10 days on antibiotic prescribing</p>,<p>Clinical behaviour category: Prescribing</p>,
Chappell 2021,2021,PUB,25735853,<p>Design: Parallel Cluster-RCT</p>,<p>Country: New Zealand&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: 1260&nbsp;<br>N patients: NR</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: A&amp;F letter with social norm info</p>,<p>Clinical behaviour category: Prescribing</p>,
Chidwick 2022,2022,PUB,25735855,<p>Design: Parallel Cluster-RCT</p>,<p>Country: Australia&nbsp;<br>Setting: Primary care&nbsp;<br>N health professionals: NR&nbsp;<br>N patients: 4935</p>,<p>Number of arms: 2&nbsp;<br>Description of groups: Control: no intervention; Intervention: A&amp;F and one-hour facilitated discussion</p>,<p>Clinical behaviour category: Prescribing</p>,
