Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Allison 2005,2005,PUB,25735117,<p>Design: parallel cluster-RCT</p>,<p>Country: USA</p><p>Setting: primary care</p><p>Speciality: GP/family/internal medicine</p><p>N health professionals: 209</p><p>N patients: NR</p>,<p>Number of arms: 2</p><p>Description of groups: Control: traditional continuing medical education + delayed access to multicomponent continuing medical education (intervention); Intervention: feedback on chlamydia screening rates for the physician's office</p>,"<p>Clinical behaviour category: screening, prescribing</p><p>Format of Audit &amp; Feedback: written</p><p>Source: administrative/billing data</p><p>Frequency: once</p><p>Instructions for improvement: general</p>",<p>&nbsp;</p>
Althabe 2008,2008,PUB,25735119,<p>Design: parallelCluster-RCT</p>,"<p>Country: Argentina, Uruguay</p><p>Setting: hospital inpatient</p><p>Speciality: obstetrics</p><p>N health professionals: 490</p><p>N patients: 5466</p>",<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: monthly A&amp;F reports</p>,"<p>Clinical behaviour category: prescribing, treatment decision/action</p><p>Format of Audit &amp; Feedback: written</p><p>Source: computerised search of charts</p><p>Frequency: monthly</p><p>Instructions for improvement: not reported</p>",<p>&nbsp;</p>
Althabe 2019,2019,PUB,25735121,<p>Design: parallel cluster-RCT</p>,"<p>Country: Congo/Zambia</p><p>Setting: obstetrics and gynaecology clinic or ward</p><p>Speciality: obstetrics</p><p>N health professionals: NR</p><p>N patients: 35,350</p>",<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: monthly A&amp;F reports</p>,"<p>Clinical behaviour category: screening, prescribing</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: manual chart review</p><p>Frequency: monthly</p><p>Instructions for improvement: general</p>",<p>&nbsp;</p>
Amanyire 2016,2016,PUB,25735123,<p>Design: step wedge</p>,"<p>Country: Uganda</p><p>Setting: primary care</p><p>Speciality: GP/infectious disease</p><p>N health professionals: NR</p><p>N patients: 12,024</p>",<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: CME only</p>,<p>Clinical behaviour category: prescribing</p><p>Format of Audit &amp; Feedback: verbal (didactic)</p><p>Source: computerised search of charts</p><p>Frequency: bi-annually</p><p>Instructions for improvement: not reported</p>,<p>&nbsp;</p>
Anderson 1994,1994,PUB,25735125,<p>Design: parallel cluster-RCT</p>,<p>Country: USA</p><p>Setting: hospital inpatient</p><p>Speciality: internal medicine</p><p>N health professionals: 646</p><p>N patients: 3158</p>,<p>Number of arms: 3</p><p>Description of groups: Control: no intervention; Intervention 1: group A&amp;F (during lecture) + education; Intervention 2: group A&amp;F (during lecture) + individual A&amp;F + education + quality assurance</p>,<p>Clinical behaviour category: prescribing</p><p>Format of Audit &amp; Feedback: verbal (didactic)</p><p>Source: manual chart review</p><p>Frequency: monthly/variable</p><p>Instructions for improvement: general</p>,<p>&nbsp;</p>
Aspy 2008,2008,PUB,25735127,<p>Design: parallel cluster-RCT</p>,<p>Country: USA</p><p>Setting: community care</p><p>Speciality: GP/family</p><p>N health professionals: 16</p><p>N patients: 1366</p>,<p>Number of arms: 2</p><p>Description of groups: Control: no intervention; Intervention: A&amp;F + academic detailing +practice facilitator + IT support</p>,<p>Clinical behaviour category: testing/exams</p><p>Format of Audit &amp; Feedback: not reported/not applicable</p><p>Source: manual chart review</p><p>Frequency: once</p><p>Instructions for improvement: general</p>,<p>&nbsp;</p>
Avery 2012,2012,PUB,25735129,<p>Design: parallel cluster-RCT</p>,"<p>Country: UK</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: NR</p><p>N patients: 480,942</p>",<p>Number of arms: 2</p><p>Description of groups: Intervention 1: simple computerised feedback + brief educational materials; Intervention 2: pharmacist-led intervention + simple feedback</p>,<p>Clinical behaviour category: prescribing</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: computerised search of charts</p><p>Frequency: once/variable</p><p>Instructions for improvement: co-developed plans</p>,<p>&nbsp;</p>
Awad 2006,2006,PUB,25735131,<p>Design: parallel cluster-RCT</p>,<p>Country: Sudan</p><p>Setting: primary care</p><p>Speciality: GP/family</p><p>N health professionals: NR</p><p>N patients: NR</p>,<p>Number of arms: 4</p><p>Description of groups: Control: no intervention; Intervention 1: A&amp;F + written recommendations for improvements + reminder two weeks later; Intervention 2: A&amp;F + written recommendations for improvements + reminder two weeks later + 4-hour seminar; Intervention 3: A&amp;F + written recommendations for improvements + reminder two weeks later + academic detailing  </p>,<p>Clinical behaviour category: prescribing</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: manual chart review</p><p>Frequency: monthly</p><p>Instructions for improvement: specific</p>,
Ayieko 2011,2011,PUB,25735133,<p>Design: parallel cluster-RCT</p>,<p>Country: Kenya</p><p>Setting: hospital inpatient</p><p>Speciality: internal medicine</p><p>N health professionals: NR</p><p>N patients: NR</p>,<p>Number of arms: 2</p><p>Description of groups: Intervention 1: evidence-based guidelines + training + job aides + local facilitation + supervision + face-to-face feedback; Intervention 2: evidence-based guidelines + didactic training + job aides + written feedback</p>,"<p>Clinical behaviour category: screening, prescribing, counselling, immunisation</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: manual chart review</p><p>Frequency: semi-annually</p><p>Instructions for improvement: general</p>",
Ayieko 2019,2019,PUB,25735135,<p>Design: parallel cluster-RCT</p>,<p>Country: Kenya</p><p>Setting: hospital inpatient</p><p>Speciality: internal medicine</p><p>N health professionals: NR</p><p>N patients: 2299</p>,<p>Number of arms: 2</p><p>Description of groups: Intervention 1: enhanced A&amp;F + standard A&amp;F + pneumonia guidelines + network support + half-day training on new guidelines; Intervention 2: standard A&amp;F + pneumonia guidelines + network support + half-day training on new guidelines</p>,<p>Clinical behaviour category: diagnosis</p><p>Format of Audit &amp; Feedback: both written and verbal</p><p>Source: manual chart review</p><p>Frequency: monthly/bi-monthly</p><p>Instructions for improvement: specific</p>,<p>&nbsp;</p>
