Study,Year,Data source,ID: CRS,ID: DOI,Char: Reason for exclusion
ACTRN12614000430639,2014,PUB,28776694,,<p>Ineligible study design: a non-randomised trial of the acceptance and feasibility of iron replacement advice for female blood donors.</p>
ACTRN12614001078640,2014,PUB,28776696,,<p>Ineligible study design: a non-randomised single-arm pilot study of iron supplementation in female blood donors.</p>
Aramburu 1991,1991,PUB,2917160,,<p>This study is no longer available.</p>
Baart 2020,2020,PUB,28776698,,"<p>Ineligible intervention: not iron supplementation, focus on donation interval, and advice regarding nutrition.</p>"
Bier-Ulrich 2003,2003,PUB,2917162,,<p>Ineligible population: trial of iron supplementation in donors undergoing regular plasmapheresis.</p>
Blagoevska 2005,2005,PUB,2917164,,<p>This randomised trial of both blood donors and non-donors was published in abstract form in 2005. No further publications have been identified and attempts to contact the authors have been unsuccessful.</p>
Borch-Iohnsen 1989,1989,PUB,2917166,,"<p>Ineligible population: a study of women (non-donors) of child-bearing age with low serum ferritin levels, randomised to receive 1 of 3 iron supplementation preparations.</p>"
Brittenham 2011,2011,PUB,2917168,,<p>Ineligible study design: a commentary on iron deficiency in blood donors.</p>
Brugnara 1993,1993,PUB,2917170,,<p>Ineligible study design: a cohort study of erythropoietin in male autologous blood donors.</p>
Bryant 2012b,2012,PUB,2917172,,"<p>Ineligible study design: a non-randomised, comparative study of ferrous sulphate or ferrous gluconate in deferred versus non-deferred blood donors.</p>"
Chansky 2017,2017,PUB,28776700,https://dx.doi.org/10.1111/trf.13981,"<p>Ineligible study design: a non-randomised study of a subset of the STRIDE trial (Mast 2016) compared with a control group, investigating pica in frequent blood donors.</p>"
Chiamchanya 2013,2013,PUB,2917175,,<p>Ineligible intervention: a randomised study of different doses of vitamin C with separate identical doses of iron supplementation.</p>
Eder 2017,2017,PUB,28776702,https://dx.doi.org/10.1111/trf.13881,<p>Ineligible study design: a non-randomised stratified group study of the effect of iron balance on platelet counts.</p>
Fontana 2014b,2014,PUB,28776704,https://dx.doi.org/10.1111/vox.12155,"<p>Ineligible study design: a non-randomised stratified group study of a subset of data from a randomised trial, to investigate whether non-anaemic blood donors with low iron stores have iron deficiency symptoms.</p>"
France 2021,2021,PUB,28776706,,<p>Ineligible intervention: received information about how to mitigate risk of iron depletion.</p>
Ghaith 1970,1970,PUB,28776708,,<p>Ineligible study design: a non-randomised trial (case-control study; article written in French).</p>
Gordeuk 1986,1986,PUB,2917177,,<p>Ineligible study design: a single-arm safety study of incremental doses of elemental carbonyl iron in blood donors.</p>
Hasan 2022,2022,PUB,28776710,,<p>Ineligible intervention: use of a mobile phone app; both groups received the same iron supplementation.</p>
Hoppe 2003,2003,PUB,28776712,,"<p>Ineligible study design: non-RCT assessing the impact of food fortified with reduced iron, ferrous sulphate or no iron, over a short period of follow-up (6 hours).</p>"
Hoppe 2006,2006,PUB,2917179,,<p>Ineligible study design: a randomised study of hourly iron absorption rates after receiving 2 types of iron-fortified rolls in regular blood donors. Each donor received a number of different iron preparations over 5 days.</p>
