Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Birgegard 2010,2010,PUB,2917091,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: Sweden</p>
<p><i>Study setting</i>: single blood donation unit</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 60<br>
 Treatment arm 2: 60</p>
<p><i>Number of participants analysed (at 12 months)</i>:<br>
 Treatment arm 1: 57<br>
 Treatment arm 2: 55&nbsp;</p>
<p><i>Follow-up time points</i>: 3 (female) or 4 (male) donations subsequent to baseline donation. Final donation is at least 1 year after first donation</p>
<p><i>Hb threshold for deferral from donation</i>: not reported</p>
<p><i>Source of funding</i>: supported by an unrestricted grant from Renapharma AB</p>","<p>Regular donors with at least 5 previous donations within the past 1 to 2 years</p>
<p><i>Mean age (years)</i>:</p>
<p>Treatment arm 1: 50.3 (SD 8.0) years<br>
 Treatment arm 2: 50.3 (SD 8.0) years</p>
<p><i>Sex (% male)</i>: 41.7%</p>","<p>Treatment arm 1: oral iron (Fe2+) sulphate corresponding to Fe2+ 100 mg (Duraferon): one 100 mg tablet taken daily for 20 days after each blood donation. Total dose: 200 mg after each donation</p>
<p>Treatment arm 2: intravenous iron (III) sucrose (Venofer); 200 mg (10 mL of 20 mg/mL iron (III) as iron sucrose, corresponding to 200 mg iron (III), given after each blood donation. Total dose: 200 mg after each donation</p>",<p>Iron status at end of study (primary outcome); iron status at other time points as well as in men versus women and younger versus older women; RLS frequency and severity</p>,"<p>This study performed intention-to-treat analysis.</p>
<p>This trial was not prospectively registered. The study was approved by the Swedish Medical Products Agency, and by the Ethics Committee at Uppsala University, Sweden.</p>"
Blot 1980,1980,PUB,2917094,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: France</p>
<p><i>Study setting</i>: single transfusion centre</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 91<br>
 Treatment arm 2: 80</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 73 (42 male, 31 female)<br>
 Treatment arm 2: 70 (43 male, 27 female)</p>
<p><i>Follow-up time points</i>: first donation after baseline donation</p>
<p><i>Hb threshold for deferral from donation</i>: not reported</p>
<p><i>Source of funding</i>: not reported</p>","<p>Regular donors (at least 1 prior donation)</p>
<p><i>Mean age (years)</i>: combined treatment arms: 36.4 (SD 9.5, range 20 to 59) (male); 34.1 (SD 10.8, range 18 to 56) (female)</p>
<p><i>Sex (% male)</i>: 57.3%</p>","<p>Treatment arm 1: oral iron and ascorbic acid (Fero-Grad Abbott); 105 mg iron and 500 mg ascorbic acid taken daily in the morning Total dose: 3150 mg per month</p>
<p>Treatment arm 2: control (no iron supplementation or placebo)</p>",<p>Haemoglobin; MCV; total serum iron; total iron binding capacity; serum ferritin</p>,<p>This trial was not prospectively registered. No information on ethical approval for this study was provided.</p>
Borch-Iohnsen 1993,1993,PUB,2917096,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial (with an additional 2 randomised arms of non-donors)</p>
<p><i>Country of study</i>: Norway</p>
<p><i>Study setting</i>: not reported</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 18<br>
 Treatment arm 2: 16</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 18<br>
 Treatment arm 2: 16</p>
<p><i>Follow-up time points</i>: 5 months after baseline measures</p>
<p><i>Hb threshold for deferral from donation</i>: not reported</p>
<p><i>Source of funding</i>: not reported. Oral iron supplements were supplied by Collett-Marwell Hauge A/S and Cederroth AB</p>","<p>Female blood donors with depleted iron stores (serum ferritin &lt; 20 μg/L and haemoglobin &gt; 120 g/L)</p>
<p><i>Mean age (years)</i>: not reported (range 30 to 50)</p>
<p><i>Sex (% male)</i>: 0%</p>","<p>Treatment arm 1: iron fumarate 20 mg + 120 mg ascorbic acid taken daily; treatment duration unclear</p>
<p>Treatment arm 2: heme iron from porcine blood 2 mg plus iron fumarate 16 mg taken daily; treatment duration unclear</p>",<p>Haemoglobin; serum ferritin; transferrin.</p>,<p>This trial was not prospectively registered. No information on ethical approval for this study was provided.</p>
Brittenham 1996,1996,PUB,2917098,"<p><i>Type of study</i>: parallel, 3-arm randomised controlled trial</p>
<p><i>Country of study</i>: USA</p>
<p><i>Study setting</i>: not reported</p>
<p><i>Number of participants randomised</i>: not reported</p>
<p><i>Number of participants analysed</i>: not reported</p>
<p><i>Follow-up time points</i>: 30 months</p>
<p><i>Hb threshold for deferral from donation</i>: not reported</p>
<p><i>Source of funding</i>: not reported</p>","<p>Female donors who pledged to donate at least 4 units of blood each year</p>
<p><i>Mean age (years)</i>: not reported</p>
<p><i>Sex (% male)</i>: 0%</p>","<p>Treatment arm 1: oral carbonyl iron; 100 mg taken daily for 56 days after each scheduled blood donation. Total dose: 5600 mg after each donation</p>
<p>Treatment arm 2: unscheduled control (no iron supplementation or placebo; unscheduled visits)</p>
<p>Treatment arm 3: scheduled control (no iron supplementation but donations scheduled as per carbonyl iron group)</p>",<p>Mean annual rate of donation; haemoglobin; serum ferritin</p>,<p>This trial was not prospectively registered. No information on ethical approval for this study was provided.</p>
Bucher 1973,1973,PUB,2917100,"<p><i>Type of study</i>: parallel, 4-arm randomised controlled trial</p>
<p><i>Country of study</i>: Switzerland</p>
<p><i>Study setting</i>: not reported</p>
<p><i>Number of participants randomised</i>: not reported</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 43<br>
 Treatment arm 2: 38<br>
 Treatment arm 3: 38<br>
 Treatment arm 4: 42</p>
<p><i>Follow-up time points</i>: day 14 and day 28 after baseline</p>
<p><i>Hb threshold for deferral from donation</i>: 135 g/L</p>
<p><i>Source of funding</i>: supported by Ciba-Geigy who supplied Resoferon and placebos and contributed to the planning and statistical analysis</p>","<p>Healthy blood donors with blood group B and haemoglobin levels 125 to 135 g/L</p>
<p><i>Mean age (years)</i>:</p>
<p>Treatment arm 1: 44<br>
 Treatment arm 2: 40<br>
 Treatment arm 3: 41<br>
 Treatment arm 4: 42</p>
<p><i>Sex (% male)</i>: 22.5%<br></p>","<p>Treatment arm 1: oral ferrous sulphate (Resoferon, Ciba-Geigy); 37 mg provided as 3 tablets in a vial, taken 3 times daily for 28 days. Total dose: 3108 mg</p>
<p>Treatment arm 2: oral placebo provided as 3 pills in a vial taken 3 times daily for 28 days</p>
<p>Treatment arm 3: oral ferrous sulphate (Resoferon; Ciba-Geigy); 37 mg tablets provided as 3 pills in sachets, taken 3 times daily for 28 days. Total dose: 3108 mg</p>
<p>Treatment arm 4: oral ferrous sulphate (Resoferon, Ciba-Geigy); 37 mg tablets provided as 3 pills in sachets, taken 3 times daily for 4 days, followed by oral placebo provided as 3 pills in sachets, taken 3 times daily for the remaining 24 days. Total dose: 444 mg</p>",<p>Haemoglobin; haematocrit; plasma iron; total iron binding capacity; mean cell haemoglobin concentration; transferrin saturation</p>,<p>This trial was not prospectively registered. No information on ethical approval for this study was provided.</p>
Busch 1972,1972,PUB,2917102,"<p><i>Type of study</i>: two separate randomisations</p><p>Presented as three arm analysis, thereby removing impact of randomisation. Unclear whether people were re-randomised</p><p><i>Country of study</i>: Germany</p><p><i>Study setting</i>: not reported</p><p><i>Number of participants randomised</i>: not reported</p><p><i>Follow-up time points</i>: after 30 days of treatment</p><p><i>Hb threshold for deferral from donation</i>: not reported</p><p><i>Source of funding</i>: not reported</p>",<p>Blood donors</p><p>&nbsp;</p>,"<p>Randomisation 1: Arm 1 vs arm 2</p><p>Randomisation 2: Arm 1 vs arm 3 (placebo)</p><p><i>Unclear if randomisation 2 was a sub group of Arm1. If not, combining data from two randomisations into a single analysis is inappropriate.</i></p><p>Treatment arm 1: oral iron sulphate (Fe2+) (Eryfer, Farbweke Hoechst AG); 152 mg (50 mg Fe2+) + 222 mg ascorbic acid + 84 mg Na Bicarb, taken twice daily for 30 days. Total dose: 9120 mg (3000 mg Fe2+)</p><p>Treatment arm 2: oral iron sulphate (alternative commercial preparation); 152 mg (50 mg Fe2+) + 222 mg ascorbic acid taken twice daily for 30 days. Total dose: 9120 mg (3000 mg Fe2+)</p><p>Treatment arm 3: oral placebo (maize starch 273.8 mg + Airosil 1.2 mg) taken twice daily for 28 days</p>",<p>Side effects (primary outcome)</p>,"<p>This trial was not prospectively registered. No information on ethical approval for this study was provided.</p><p>Included due to randomisation, but unable to use data due to inappropriate analysis as 3 groups, as though it was a 3-way randomisation.</p>"
Buzi 1980,1980,PUB,2917104,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: Switzerland</p>
<p><i>Study setting</i>: single centre blood transfusion service</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 32<br>
 Treatment arm 2: 32</p>
<p><i>Number of participants analysed</i>:</p>
<p>Treatment arm 1: 32<br>
 Treatment arm 2: 32<br></p>
<p><i>Follow-up time points</i>: 2 days after end of treatment</p>
<p><i>Hb threshold for deferral from donation</i>: 130 g/L</p>
<p><i>Source of funding</i>: not reported</p>","<p>Deferred donors with Hb &lt; 130 g/L (Hct &lt; 37%)</p>
<p><i>Mean age (years)</i>:</p>
<p>Treatment arm 1: 42.9<br>
 Treatment arm 2: 44.6</p>
<p><i>Sex (% male)</i>: 3.1%</p>","<p>Treatment arm 1: oral elementary iron (Tardyferon, Robapharm SA, Basel); 80 mg + 80 mg of mucoprotein, with slow release of iron sulphate ions over at least 6 hours, taken daily for 30 days. Total dose: 2400 mg Fe2+</p>
<p>Treatment arm 2: oral iron comparator, 2 capsules containing 66 mg iron, liberated by iron fumarate, taken twice daily for 18 days Total dose: 2376 mg Fe2+</p>",<p>Haemoglobin; haematocrit; serum iron; total iron binding capacity; side effects</p>,"<p>Three individuals switched treatment; it is unclear whether they were included or withdrawn from the study.</p>
<p>This trial was not prospectively registered. No information on ethical approval for this study was provided.</p>"
Cable 1988,1988,PUB,2917106,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: USA</p>
<p><i>Study setting</i>: multiple American Red Cross blood mobiles</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 100<br>
 Treatment arm 2: 100</p>
<p><i>Number of participants analysed</i>: (2 or more visits):<br>
 Treatment arm 1: 57<br>
 Treatment arm 2: 64</p>
<p><i>Follow-up time points</i>: 4 visits subsequent to baseline visit with minimum 8 weeks since previous donation or 4 weeks since deferral</p>
<p><i>Hb threshold for deferral from donation</i>: 125 g/L (Hct 38%)</p>
<p><i>Source of funding</i>: supported by American Red Cross funds</p>","<p>Female donors failing a previous Hb screen (Hct 33% to 41%) prior to start of study</p>
<p><i>Mean age (years)</i>:</p>
<p>Treatment arm 1: 34 (SD 10)<br>
 Treatment arm 2: 34 (SD 9)</p>
<p><i>Sex (% male)</i>: 0%</p>","<p>Treatment arm 1: oral ferrous gluconate (Fergon, Winthrop-Breon Laboratories, New York); 75 mg elemental iron taken twice daily. Duration of treatment not reported</p>
<p>Treatment arm 2: oral calcium phosphate placebo taken twice daily. Duration of treatment not reported</p>",<p>Venous haemoglobin; red cell zinc protoporphyrin; serum ferritin; iron and iron-binding capacity; transferrin saturation; blood donations over initial and 4 subsequent visits</p>,<p>This trial was not prospectively registered. No information on ethical approval for this study was provided.&nbsp;</p>
Dara 2017,2017,PUB,2917201,"<p><i>Type of study:</i> Prospective, single-blinded, placebo-controlled, parallel, RCT</p><p><i>Study setting:</i><b> </b>20 blood donation camps in India</p><p><i>Number of participants:</i> sample size was estimated to be 70 donors in each group by using PASS software version 3.0.43. However considering the approximate dropout rate of 30–40 % as per the literature reviewed, we included 100 subjects in each group.</p><p><i>Follow-up time points:</i><b> </b>21 days supplementation, assessed every 7 days; follow-up ""3 to 6 months"" (pre-3rd donation)</p><p><i>Source of funding</i>: not reported</p>","<p><i>Inclusion criteria:</i></p><p>1 At least two blood donations in the last 1 year<br>2 Hb &gt;=12.5 g/dl with screening test<br>3 Willingness to return for the follow up visits</p><p><i>Exclusion criteria:</i></p><p>1 History of hypersensitivity to iron or side effects to previously administered iron therapy&nbsp;<br>2 Donors already on iron supplements were also excluded&nbsp;<br>3 Deferred donors</p><p><i>Baseline characteristics:</i></p><p>Group differences (as noted by the study OR if noticed by data extractor): Hct level, total number of previous donations, minor gender imbalance</p><p>Study definition of repeat/regular donors: at least 2 donations in last 12 months</p><p>Deferred donors: 7 prior to randomisation (excluded)</p><p><i>Iron group:</i></p><p>Age (years): 38.8 SD 10.4 (range 20-58)</p><p>Male/female: 90M, 8F (91.8% M)</p><p>Weight or BMI: mean 76.7 SD 10.4 kg (range 53-100)</p><p>Other (baseline bloods, pre-intervention, eg. Ferritin/Hb):</p><p>Hb (g/dL) mean 12.9 SD 1.3<br>Ht (%) mean 39.9 SD 3.8<br>serum ferritin (ng/ml) mean 43.0 SD 51.8<br>MCH mean 27.9 SD 2.7 range 21.7-33.9&nbsp;<br>MCV mean 87.4 SD 6.8 range 69.5-105.3</p><p>First time donors: 0</p><p>Repeat/regular donors: 100%</p><p><i>Placebo group:</i></p><p>Age (years): mean 38.8 SD 9.5 (range 20-59)</p><p>Male/female: 101 M, 1 F (99% M)</p><p>Weight or BMI: mean 77.8 SD 12.3 (range 50-120) kg</p><p>Other (baseline bloods, pre-intervention, eg. Ferritin/Hb):</p><p>Hb (g/dL) mean 13.3 SD 1.2<br>Ht (%) mean 41.1 SD 3.7<br>serum ferritin (ng/ml) mean 47.0 SD 45.6<br>MCH mean 28.8 SD 3.0 range 20.1-38.7&nbsp;<br>MCV mean 88.8 SD 7.6 range 63.9-103.3&nbsp;</p><p>First time donors: 0</p><p>Repeat/regular donors: 100%</p>",<p>Iron group n = 98: 300 mg oral ferrous fumarate (98.6mg elemental iron) taken daily for 21 days</p><p>Placebo n = 102: placebo (glucose capsules) taken daily for 21 days</p>,"<p>Haemoglobin, haematocrit, serum ferritin, red cell indices (MCV, MCH, MCHC, RBC count) and red cell distribution at 1 month and at next donation; side effects; compliance.</p><p>Time points reported for primary outcome: day 0, 1 month, at next donation (3-6months)</p>","<p>This trial was not prospectively registered. The study was approved by the ethics committee of the Institute and the blood donors were selected as per the criteria laid down in the Drugs and Cosmetics Act and Rules, Ministry of Health and Family Welfare, Government of India.</p><p><i>Study period:</i> December 2011–August 2012</p><p><i>Author contact details:</i> Neelam Marwaha; neelam2918@yahoo.com<br>Department of Transfusion Medicine, PGIMER, Chandigarh, India</p>"
Devasthali 1991,1991,PUB,2917108,"<p><i>Type of study</i>: parallel, 2-arm randomised controlled trial</p>
<p><i>Country of study</i>: USA</p>
<p><i>Study setting</i>: Northern Ohio Red Cross</p>
<p><i>Number of participants randomised</i>:</p>
<p>Treatment arm 1: 24<br>
 Treatment arm 2: 25</p>
<p><i>Number of participants analysed (at week 16)</i>:<br>
 Treatment arm 1: 21<br>
 Treatment arm 2: 25</p>
<p><i>Follow-up time points</i>: weeks 1, 3, 6, 12, 16 after baseline (none were donation visits)</p>
<p><i>Hb threshold for deferral from donation</i>: not reported (Hct 35%)</p>
<p><i>Source of funding</i>: not reported</p>","<p>Menstruating, non-pregnant female donors recently deferred from donation (Hct &lt; 35%); MCV &lt; 85 fL and ferritin &lt; 12 μg/L at start of study</p>
<p><i>Mean age (years)</i>: both treatment groups combined: range 18 to 40</p>
<p><i>Sex (% male)</i>: 0%</p>","<p>Treatment arm 1: oral carbonyl iron, 100 mg taken daily at bedtime, at least 2 hours after last meal for 84 days. Total dose: 8400 mg</p>
<p>Treatment arm 2: oral ferrous sulphate, 500 mg (100 mg Fe2+) taken daily at bedtime, at least 2 hours after last meal for 84 days. Total dose: 8400 mg Fe2+</p>",<p>Haemoglobin; mean corpuscular volume; reticulocyte count; platelet count; erythrocyte protoporphyrin; ferritin; serum iron; total iron binding capacity; transferrin saturation</p>,<p>The use of carbonyl iron in this study was approved by the Committee on Human Investigation at Cleveland Metropolitan General Hospital and by the Advisory Committee of the Northern Ohio Red Cross Blood Services. Informed written consent was obtained from all volunteers according to the guidelines of our institutions. Studies were conducted under the provisions of a claimed investigational exemption for a new drug (IND No. 22389) of the Food and Drug Administration</p>
