Study,Year,Data source,ID: CRS,Char: Methods,Char: Participants,Char: Interventions,Char: Outcomes,Char: Notes
Alegre 2016,,SOUGHT,29493940,,,,,"<p><b>Trial registration: </b>Trial does not appear to be registered.</p><p><b>Funding: </b>Unclear.&nbsp;</p><p><b>Author correspondence: </b>Correspondence with authors (Laura.Romany@ivi.es) on 28/08/2025 requesting clarification on trial registration, recruitment dates and relation to other publications with no reply.&nbsp;</p><p><b>Publication: </b>Abstract. &nbsp;</p><p><b>Additional concerns and comments:&nbsp;</b></p><ul><li data-list-item-id=""ea9cee61af9e31e6e3b8d9e8c91f81460"">We suspect Romany 2019, Romany 2020 and Alegre 2016 are the same study. All studies have a similar sample size, the same interventions and all refer to being secondary analysis of a ""prospective trial."". We were unable to confirm this with the authors.</li><li data-list-item-id=""eb66f87a1246ba7b8e4d8adb76d56215a"">Authors do not report recruitment dates or trial registration.&nbsp;</li></ul><p>&nbsp;</p>"
Alegre 2016a,2016,PUB,29493942,,,,,"<p><b>Trial registration: </b>Trial does not appear to be registered.&nbsp;</p><p><b>Funding: </b>Unknown.</p><p><b>Author correspondence: </b>Corresponding author contacted (Lucia.alegre@ivirma.com) on 28/07/2025 requesting the trial registration with no reply.&nbsp;</p><p><b>Publication:</b> Abstract</p><p><b>Additional concerns and comments:&nbsp;</b></p><ul><li data-list-item-id=""e95f22bdd44d0685c37d5a2b97eb59c56"">No details recruitment dates.</li></ul>"
Alegre 2025,2025,PUB,29493944,,,,,"<p>Trial registration: Trial does not appear to be registered.&nbsp;</p><p>Additional concerns and comments:&nbsp;</p><ul><li data-list-item-id=""e3b2fc57290545c2f3f5ad78d49af7f0c"">From authors correspondence, it was confirmed that the trial was not registered.</li><li data-list-item-id=""e0e2face16e84fd997554accfb28dd973"">Authors provided IPD. However, when reviewing the data, we noticed inconsistencies in reported live birth data, number of included participants, baseline characteristics and other reported variables, and considered the study to have trustworthiness concerns. &nbsp;&nbsp;</li></ul><p>Funding: Unclear.&nbsp;</p><p>Author correspondence: Correspondence with authors (Laura.Romany@ivi.es and Marcos.Meseguer@ivirma.com) on August/September 2025 requesting clarification on trial registration, recruitment dates and relation to other publications. Authors confirmed the trial was not registered and provided IPD, see above.&nbsp;</p><p>Publication: Full Text.&nbsp;</p>"
Barroso-Villa 2018,2018,PUB,29493947,,,,,"<p><b>Trial registration:</b> Trial does not appear to be registered.&nbsp;</p><p><b>Funding: </b>No funding.&nbsp;</p><p><b>Author correspondence: </b>Correspondence undertaken with authors &nbsp;(barrosog@me.com) on 28/07/2025 requesting trial registration with no reply.</p><p><b>Publication: </b>Full text.</p><p><b>Additional concerns and comments:</b>&nbsp;</p><ul><li data-list-item-id=""eb4aa9a4d1a601c21f3182c4f2e8d9bd8"">Authors do not report or describe ethics committee approval&nbsp;</li></ul>"
Davalos 2020,2020,PUB,29493949,,,,,"<p><b>Trial registration: </b>Trial does not appear to be registered.&nbsp;</p><p><b>Funding: </b>Unclear.&nbsp;</p><p><b>Author correspondence:</b> Correspondence undertaken &nbsp;with author (fernando.p.espinoza@igf.com.pe and offernando800@gmail.com) requesting trial registration on 28/07/2025 with no reply.</p><p><b>Publication:</b> Abstract.</p><p><b>Additional concerns and comments:&nbsp;</b></p><ul><li data-list-item-id=""e9d8963c14495e04aecd18903275a5a80"">Authors description of randomisation method is unclear ""All cases were randomly divided into two groups...""</li></ul><p>&nbsp;</p>"
De Geyter 2019,2019,PUB,29493951,,,,,"<p><b>Trial registration:</b> NCT02166567; suspected retrospective registration (registered June 2014) see below.</p><p><b>Funding: </b>""This study was funded by the Repronatal Foundation, Basel, Switzerland""&nbsp;</p><p><b>Author correspondence: </b>Correspondence undertaken with author (christian.degeyter@usb.ch) on 07/05/2025 requesting additional details about concerns and comment below with no reply.</p><p><b>Publication: </b>Full text.</p><p><b>Additional concerns and comments:&nbsp;</b></p><ul><li data-list-item-id=""e105c7364ebb76fa2e8238f62e88c85af"">Study has a trial registration and was registered in June 2014. The authors do not report recruitment dates in the publication. The trial registration states the study started in May 2013 and completed in 2017. We suspect this trial was retrospectively registered. &nbsp;</li><li data-list-item-id=""ea09dda96153eafef773eca034c714fcd"">There is a discrepancy between the original estimated sample size (200) in trial registration and reported number of participants enrolled (122) with no explanation provided.</li><li data-list-item-id=""e3784bdc886a923b46e2438038f76773a"">The flow chart described 7 participants being excluded for not fitting inclusion criteria but it was unclear whether these participants were excluded before or after randomisation.</li><li data-list-item-id=""e0c9ff9565b82832de87111a85c00ebe6"">A discrepancy in the results Table 3 was noted where the 'Swim Up' group was reported to have 17 clinical pregnancies and 6 miscarriages, so it would be expected to see 11 live births but instead 12 live births were reported.</li></ul><p>&nbsp;</p>"
Elmagd 2021,2021,PUB,29493953,,,,,"<p><b>Trial registration:</b> Trial does not appear to be registered.&nbsp;</p><p><b>Funding: </b>Unclear.&nbsp;</p><p><b>Author correspondence: </b>Correspondence undertaken with author (em.saberh@gmail.com) on 28/07/2025 requesting trial registration with no reply.</p><p><b>Publication: </b>Abstract.</p><p><b>Additional concerns and comments:</b>&nbsp;</p><ul><li data-list-item-id=""e77185846bf08a1e233ec8c438c47df0e"">Study lacks details on randomisation method (""Metaphase II oocytes retrieved from female patients undergoing ICSI were randomly divided into"") and recruitment dates </li><li data-list-item-id=""ee9100ebb448621d726f0736b566bbab8"">No trial registration details.&nbsp;</li></ul>"
Ferrer Buitrago 2024,2024,PUB,29493955,,,,,"<p><b>Trial registration: </b>NCT06243926; registered in February 2024</p><p><b>Funding: </b>Unclear.&nbsp;</p><p><b>Author correspondence: </b>Correspondence with author (minerva.ferrer@creavalencia.com) on 28/08/2025 to which the trial registration was provided. Authors confirmed this was preliminary data as the full results and manuscript were still being drafted.&nbsp;</p><p><b>Publication: </b>Abstract</p><p><b>Additional concerns and comments:</b>&nbsp;</p><ul><li data-list-item-id=""e86c3f6aa1eccc973ed0a9fa31627ae8b"">Study lacks details on randomisation method ""Patients were randomly allocated""</li><li data-list-item-id=""e1a276de9525b3c427ec6981267b8acbc"">Abstract only that contains preliminary data.</li><li data-list-item-id=""e8a0eca01353216c5dd03e227fbe0904f"">Unclear whether the trial is prospectively registered as it was registered in February 2024. However, the abstract states study started in December 2023</li></ul>"
Ganeva 2024,2024,PUB,29493957,,,,,"<p><b>Trial registration: </b>NCT05161247; retrospectively registered</p><p><b>Funding: </b>none</p><p><b>Authors correspondence: </b>Authors were contacted (rum.ganeva@gmail.com) for additional details on the trial registration on 2/10/2025. No response received&nbsp;</p><p><b>Additional comments and concerns:</b></p><ul><li data-list-item-id=""e5604915b62885c18a91ba37deebdf7b0"">Study has a retrospective trial registration. Registration posted in December 2021but the study from January 2018 - July 2022.</li><li data-list-item-id=""efc4fe6b69408badd92b4b6c343bc6380"">authors report a lack of detail on how blinding was implemented.</li><li data-list-item-id=""e953595199731d915a06e9cc374ed3a8b"">This study reports on multiple transfers; and cumulative outcomes only. ""First transfer"" outcomes are not reported. Authors don't clear report they they are using cumulative in &nbsp;their conclusion.</li><li data-list-item-id=""e186d902ffb09fe47a7cb2a060d6e1537"">About 23-29% of participants did not undergo ET ""132 women did not perform embryo transfer due to poor quality or aneuploid embryos or got their embryos frozen without further action."".</li></ul>"
Hasanen 2020,2020,PUB,29493959,,,,,"<p><b>Trial registration: </b>NCT03398317; Retrospectively registered</p><p><b>Publication: </b>Full text and abstract</p><p><b>Authors correspondence:</b> Correspondence was undertaken with the author (em.saberh@gmail.com) in August 2025 requesting individual participant data, ethics approval/funding and other details about this study as well as other studies published by this author (see Hassanen 2019 and Hasanen 2021). The author replied stating that IPD could not be shared due to ""..policies and regulations in Egypt..."". No further details or information was provided.</p><p><b>Additional comments and concerns:&nbsp;</b></p><ul><li data-list-item-id=""e96fe9b084d05f015a45e5d80c5f36646"">Study is retrospectively registered.</li><li data-list-item-id=""e43f2da62d3cf7909b2736c4e2ed7ab1c"">Study has an expression of concern notice which states ""concerns have been raised about the data presented in this article"". (DOI: https://doi.org/10.1007/s10815-020-01913-4)</li></ul>"
Hasanen 2021,2021,PUB,29493963,,,,,"<p><b>Trial registration: </b>NCT04496232</p><p><b>Funding: </b>Unclear.</p><p><b>Author correspondence: &nbsp;</b>Correspondence was undertaken with the author (em.saberh@gmail.com) in August 2025 requesting individual participant data, ethics approval/funding and other details about this study as well as other studies published by this author (see Hasanen 2020 and Hasanen 2019). The author replied stating that IPD could not be shared due to ""..policies and regulations in Egypt..."". No further details or information was provided.</p><p><b>Publication: </b>Abstract.</p><p><b>Additional concerns and comments:</b>&nbsp;</p><ul><li data-list-item-id=""eb3cfb63fd78f635d06522cb7b852648c"">This study has major trustworthiness concerns:<ul><li data-list-item-id=""e2b133443325a96c159c3204b3e2fa4ba"">Authors did not report study duration dates so prospective registration could not be verified.</li><li data-list-item-id=""e20ac25e7c8c48bc3cf75fafa31b954ae"">Author (Eman Hasanen) has an expression of concern on a related study (see Hasasnen 2020; https://doi.org/10.1007/s10815-020-01913-4).&nbsp;</li></ul></li></ul>"
Hassanen 2019,2019,PUB,29493966,,,,,"<p><b>Trial registration: </b>NCT03360526</p><p><b>Funding</b>: Unclear.&nbsp;</p><p><b>Author correspondence</b>: Correspondence was undertaken with the author (em.saberh@gmail.com) in August 2025 requesting individual participant data, ethics approval/funding and other details about this study as well as other studies published by this author (See Hasanen 2020, Hasanen 2021). The author replied stating that IPD could not be shared due to ""..policies and regulations in Egypt..."". No further details or information was provided.&nbsp;</p><p><b>Publication: </b>Abstract.</p><p><b>Additional concerns and comments:</b> &nbsp;</p><ul><li data-list-item-id=""e8281234b0b74bf9648d0790972c02bc2"">This study was major trustworthiness concerns<ul><li data-list-item-id=""e77826f60ce023ee748572aaceddd0ddf"">Author (Eman Hasanen) has an expression of concern notice a related study (see Hasanen 2020; https://doi.org/10.1007/s10815-020-01913-4).</li><li data-list-item-id=""e48d5030d3505eb676a4b426c37b7722b"">Authors don't report recruitment dates and therefore we are unable to verify whether the trial registration is prospective or retrospective</li></ul></li></ul>"
Hozyen 2022,2022,PUB,29493969,,,,,"<p><b>Trial registration:</b> NCT04482517; retrospectively registered</p><p><b>Funding:</b> none</p><p><b>Additional comments and concerns:</b></p><ul><li data-list-item-id=""e42fd6e0f13361dbfabd3b06e8723506c"">This study has major trustworthiness concerns <ul><li data-list-item-id=""ef955fb0a5e148a4a96c2aa01691e6698"">Study has a retrospective trial registration</li><li data-list-item-id=""eff11fcf95681fbdf296a78fd533eb249"">The trial compared different mechanisms for fertilisation, yet the eligibility criteria require participants to have at least one blastocyst. This suggest that post-randomisation exclusions occurred and it is not clear how this was have been applied, how many participants were excluded for this reason etc. There is no description of any withdrawals or loss to follow-up and its not clear if there was none or if this has been omitted. </li><li data-list-item-id=""eb126104115adb169271e50c4a63b08a7"">We suspect that this study and Hasanen 2020 potentially overlap or are the same study&nbsp;</li></ul></li></ul>"
Huniadi 2023,2023,PUB,29493972,,,,,"<p><b>Trial registration: </b>Trial does not appear to be registered.<b>&nbsp;</b></p><p><b>Funding:</b> Unclear.&nbsp;</p><p><b>Author correspondence: </b>Correspondence undertaken with author (ancahuniadi@gmail.com) on 14/07/2025 requesting trial registration and/or individual participant data with no reply received.</p><p><b>Publication:</b> Abstract</p><p><b>Additional concerns and comments:</b>&nbsp;</p><ul><li data-list-item-id=""e67b0e1639881d1ea6234d12e9465adf6"">Abstract only with very little detail, specifically randomisation methods is unclear ""The patients that underwent IVF-ICSI procedures for various indications were randomized in two groups...""</li></ul><p>&nbsp;</p>"
Kant 2019,2019,PUB,29493974,,,,,"<p><b>Trial registration: </b>Authors report ""MCDH/2017/35"" as the trial registration. However, this number does not seem to be a valid on any of the registration portal&nbsp;</p><p><b>Funding:</b> No Funding.&nbsp;</p><p><b>Author correspondence: </b>Correspondence undertaken with authors (kdnayar@usa.net and gauravchdry86@gmail.com) on 28/07/2025 requesting trial registration, individual participant data and other study details. No reply received.</p><p><b>Publication: </b>Abstract</p><p><b>Additional concerns and comments:&nbsp;</b></p><ul><li data-list-item-id=""e0d8044eed84e3b18ca8618d204ec0780"">Trial registration does not seem to be a valid registration, could be an ethics committee approval.</li><li data-list-item-id=""e71b26176a801901ddeb12ea2c72770e9"">We suspect that Kant 2019, Khan 2020, Kant 2021, Nayar 2021 and Nayer 2022 are the same study as they share similar results, however, we have been unable to confirm this with the authors .&nbsp;</li></ul><p>&nbsp;</p>"
Kant 2021,2021,PUB,29493976,,,,,"<p><b>Trial registration: </b>Authors report ""MCDH/2019/31"" as the trial registration. However, this number does not seem to be a valid on any of the registration portal&nbsp;</p><p><b>Funding:</b> No Funding.&nbsp;</p><p><b>Author correspondence: </b>Correspondence undertaken with authors (kdnayar@usa.net and gauravchdry86@gmail.com) on 28/07/2025 requesting trial registration, individual participant data and other study details. No reply received.</p><p><b>Publication: </b>Abstract</p><p><b>Additional concerns and comments:&nbsp;</b></p><ul><li data-list-item-id=""e0d8044eed84e3b18ca8618d204ec0780"">Trial registration does not seem to be a valid registration, could be an ethics committee approval.</li><li data-list-item-id=""e71b26176a801901ddeb12ea2c72770e9"">We suspect that Kant 2019, Khan 2020, Kant 2021, Nayar 2021 and Nayer 2022 are the same study as they share similar results, however, we have been unable to confirm this with the authors .&nbsp;</li></ul><p>&nbsp;</p>"
