Study,Year,Data source,ID: CRS,Char: Reason for exclusion
Abdel-Razeq 2020,2020,PUB,23588907,<p>Population not eligible</p>
Abdolell 2016,2016,PUB,23588909,<p>Population not eligible</p>
Abdolell 2017,2017,PUB,23588911,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Abdolell 2020,2020,PUB,23588913,<p>Population not eligible</p>
Abu-Rustum 2001,2001,PUB,23588915,<p>Study design not eligible</p>
Acerbi 2018,2018,PUB,23588917,<p>No full text available</p>
Acerbi 2019,2019,PUB,23588919,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Acerbi 2021,2021,PUB,23588921,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Acheson 2009,2009,PUB,23588923,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Acikgoz 2013,2013,PUB,23588925,<p>Study design not eligible</p>
Adams-Campbell 2007,2007,PUB,23588927,<p>Population not eligible</p>
Adams-Campbell 2009,2009,PUB,23588929,<p>Study design not eligible</p>
Adaniel 2013,2013,PUB,23588931,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Agrawal 2015,2015,PUB,23588933,<p>Study design not eligible</p>
Ahern 2017,2017,PUB,23588935,<p>Study design not eligible</p>
Ahmed 2019,2019,PUB,23588937,<p>Population not eligible</p>
Alajmi 2017,2017,PUB,23588939,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Al-Ajmi 2018,2018,PUB,23588941,<p>Population not eligible</p>
Allman 2015,2015,PUB,23588943,<p>Population not eligible</p>
Allman 2021,2021,PUB,23588945,<p>Population not eligible</p>
Allman 2023,2023,PUB,28616421,<p>Population not eligible</p>
Al Otaibi 2017,2017,PUB,23588947,<p>Study design not eligible</p>
Al-Tuama 2014,2014,PUB,23588949,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Alvarado 2016,2016,PUB,23588951,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Amir 2010,2010,PUB,23588957,<p>Study design not eligible</p>
Anonymous 2012,2012,PUB,23588959,<p>No abstract or full text available</p>
Anothaisintawee 2013,2013,PUB,23588963,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Anothaisintawee 2014,2014,PUB,23588965,<p>Population not eligible</p>
Antoniou 2006a,2006,PUB,23588969,<p>Study focussed on model prediction of mutations not breast cancer</p>
Antoniou 2008a,2008,PUB,23588971,<p>Study focussed on model prediction of mutations not breast cancer</p>
Antoniou 2015,2015,PUB,23588973,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Antoniou 2017,2017,PUB,23588975,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Arasu 2023,2023,PUB,28616423,<p>Population not eligible</p>
Arrospide 2013,2013,PUB,23588979,<p>Population not eligible</p>
Ashi 2021,2021,PUB,23588981,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Bae 2023,2023,PUB,28616425,<p>Prediction of mutations not cancer</p>
Baitchev 2009,2009,PUB,23588985,<p>No full text available</p>
Banegas 2011,2011,PUB,23588989,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Banegas 2012,2012,PUB,23588991,<p>Population not eligible</p>
Banegas 2017,2017,PUB,23588993,<p>Population not eligible</p>
Barcenas 2006,2006,PUB,23588995,<p>Study focussed on model prediction of mutations not breast cancer</p>
Barlow 2006,2006,PUB,23588999,<p>Population not eligible</p>
Baron 2018,2018,PUB,23589001,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Barry 2013,2013,PUB,23589003,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Barzilay 2021,2021,PUB,23589005,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Becher 1996,1996,PUB,23589007,<p>Study design not eligible</p>
Behboudi 2014,2014,PUB,23589011,<p>No abstract or full text available</p>
Behravan 2020,2020,PUB,23589013,<p>Population not eligible</p>
Belaribi 2016,2016,PUB,23589015,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Bellcross 2009,2009,PUB,23589017,<p>Study focussed on model prediction of mutations not breast cancer</p>
Bener 2017,2017,PUB,23589019,<p>Study design not eligible</p>
Bener 2019,2019,PUB,23589021,<p>Population not eligible</p>
Benichou 1995,1995,PUB,23589023,<p>Study design not eligible</p>
Benichou 1996,1996,PUB,23589025,<p>Study design not eligible</p>
Bernatsky 2003,2003,PUB,23589027,<p>Population not eligible</p>
Biswas 2013,2013,PUB,23589029,<p>Study focussed on model prediction of mutations not breast cancer</p>
Black 2018,2018,PUB,23589031,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Blackford 2021,2021,PUB,23589033,<p>Study focussed on model prediction of mutations not breast cancer</p>
Bochare 2014,2014,PUB,23589035,<p>Population not eligible</p>
Boggs 2015,2015,PUB,23589037,<p>Population not eligible</p>
Bondy 1992,1992,PUB,23589041,<p>Study design not eligible</p>
Bondy 2006,2006,PUB,23589047,<p>Study design not eligible</p>
Boucher 2001,2001,PUB,23589049,<p>Study design not eligible</p>
Boughey 2010,2010,PUB,23589051,<p>Population not eligible</p>
Boyle 2004,2004,PUB,23589053,<p>Population not eligible</p>
Brasher 1993,1993,PUB,23589057,<p>No abstract or full text available</p>
Brédart 2017,2017,PUB,23589059,<p>Conference abstract that does not appear to meet eligibility criteria</p>
Bredart 2018,2018,PUB,23589061,<p>Study design not eligible</p>
Bredart 2019,2019,PUB,23589063,<p>Study design not eligible</p>
