Study,Domain (judgement): Random sequence generation (selection bias),Domain (support): Random sequence generation (selection bias),Domain (judgement): Allocation concealment (selection bias),Domain (support): Allocation concealment (selection bias),Domain (judgement): Blinding of participants and personnel (performance bias): Surgeon,Domain (support): Blinding of participants and personnel (performance bias): Surgeon,Domain (judgement): Blinding of participants and personnel (performance bias): Participants/study personnel,Domain (support): Blinding of participants and personnel (performance bias): Participants/study personnel,Domain (judgement): Blinding of outcome assessment (detection bias): Subjective outcomes (all outcomes),Domain (support): Blinding of outcome assessment (detection bias): Subjective outcomes (all outcomes),Domain (judgement): Incomplete outcome data (attrition bias): Oncological outcomes,Domain (support): Incomplete outcome data (attrition bias): Oncological outcomes,Domain (judgement): Incomplete outcome data (attrition bias): Surgical complications,Domain (support): Incomplete outcome data (attrition bias): Surgical complications,Domain (judgement): Incomplete outcome data (attrition bias): Adverse events,Domain (support): Incomplete outcome data (attrition bias): Adverse events,Domain (judgement): Selective reporting (reporting bias),Domain (support): Selective reporting (reporting bias),Domain (judgement): Other bias,Domain (support): Other bias
Babjuk 2005,Unclear risk,"<p>Quote: ""The patients were randomly assigned to two groups.""</p>
<p>Comment: method of sequence generation unclear</p>",Unclear risk,"<p>Quote: ""The patients were randomly assigned to two groups.""</p>
<p>Comment: allocation concealment unclear</p>",High risk,"<p>Quote: NA</p>
<p>Comment: surgeon unblinded</p>",Unclear risk,"<p>Quote: NA</p>
<p>Comment: unclear whether study participants and other study personnel were blinded</p>",Unclear risk,"<p>Quote: NA</p>
<p>Comment: unclear whether study personnel were blinded</p>",Low risk,"<p>Quote: ""six [participants] (two in group A and four in group B) were excluded after histological examination, as in two there was no histological evidence of TCC, in three there was muscle invasion, and in one there was a multiple T1G3 tumour with concomitant carcinoma&nbsp;in situ (CIS) treated with immediate cystectomy.""</p>
<p>Comment: loss to follow-up was &lt; 10%, and variation in loss to follow-up between groups was low</p>",Not applicable,,Not applicable,,Unclear risk,"<p>Quote: NA</p>
<p>Comment:&nbsp;no protocol available</p>",Low risk,"<p>Quote: NA</p>
<p>Comment: no other bias identified</p>"
Drăgoescu 2017,Unclear risk,"<p>Quote: ""the study designed as a prospective randomized clinical trial.""</p>
<p>Comment: method of sequence generation unclear</p>",Unclear risk,"<p>Quote: ""distribution of patients in both groups was conducted in a randomized single blind manner.""</p>
<p>Comment: allocation concealment unclear</p>",High risk,"<p>Quote: NA</p>
<p>Comment: surgeon unblinded</p>",Unclear risk,"<p>Quote: NA</p>
<p>Comment: unclear whether study participants and other study personnel were blinded</p>",Unclear risk,"<p>Quote: NA</p>
<p>Comment: unclear whether study personnel were blinded</p>",Unclear risk,"<p>Quote: ""between 2009 and 2011, 113 patients with primary NMIBC were enrolled in our prospective study and randomized in two parallel groups: 57 patients in the study group (PDD) and 56 patients in the control group (WLC).""</p>
<p>Comment: loss to follow-up was &lt; 10%</p>",Not applicable,,Not applicable,,Unclear risk,"<p>Quote: NA</p>
<p>Comment: no protocol available</p>",Low risk,"<p>Quote: NA</p>
<p>Comment: no other bias identified</p>"
Filbeck 2002,Unclear risk,"<p>Quote: ""patients in whom bladder carcinoma was suspected on preoperative endoscopy were randomized to 2 treatment arms""</p>
<p>Comment: method of sequence generation unclear</p>",Unclear risk,"<p>Quote: ""patients in whom bladder carcinoma was suspected on preoperative endoscopy were randomized to 2 treatment arms""</p>
<p>Comment: allocation concealment unclear</p>",High risk,"<p>Quote: NA</p>
<p>Comment: surgeon unblinded</p>",Unclear risk,"<p>Quote: NA</p>
<p>Comment: unclear whether study participants and other study personnel were blinded</p>",Unclear risk,"<p>Quote: NA</p>
<p>Comment: unclear whether study personnel were blinded</p>",Low risk,"<p>Quote: ""In the white light arm 103 patients were evaluable and 47 were excluded from further analysis because no tumor was identified (22), a muscle invasive urothelial tumor was diagnosed or cystectomy was indicated (23) or followup was refused after initial resection (2 with a stage pTa grade 1 and stage pT1 grade 2 tumor, respectively). Of the 151 patients randomized to the fluorescence diagnosis arm 88 were evaluable, while 63 were excluded from study due to no positive tumor finding (38), muscle invasive disease and/or an indication for cystectomy (23) and loss to followup (2 with stage pTa grade 2 disease).""</p>
<p>Comment: most of excluded patients did not meet initial eligibility criteria; those that did and were excluded were few and were similar between groups</p>",Not applicable,,Not applicable,,Unclear risk,"<p>Quote: NA</p>
<p>Comment: no protocol available</p>",Low risk,"<p>Quote: NA.</p>
<p>Comment: no other bias identified</p>"
Geavlete 2010,Low risk,"<p>Quote: ""randomized by means of sealed envelopes containing consecutive numbers""</p>
<p>Comment: method of sequence generation clearly described</p>",Low risk,"<p>Quote: ""randomized by means of sealed envelopes containing consecutive numbers""</p>
<p>Comment: allocation concealment clearly described</p>",High risk,"<p>Quote: NA</p>
<p>Comment: surgeon unblinded</p>",Unclear risk,"<p>Quote: NA</p>
<p>Comment: unclear whether study participants and other study personnel were blinded</p>",Unclear risk,"<p>Quote: ""to ensure the complete objectivity of the evaluation, the urologists performing the Re-TURBTs were unaware of the diagnostic and treatment modality initially applied in each case.""</p>
<p>Comment: blinding of study personnel reported only at the time point of re-resection</p>",Unclear risk,"<p>Quote: ""In the blue-light group, 78.9% of the patients were diagnosed with NMIBC, 14.3% presented muscle-invasive bladder tumors, and no tumor was found in 6.7% of the cases. In the white-light arm, these categories of patients represented 71.3%, 14.8%, and 13.9% of the series, respectively.""</p>
<p>Comment: 78.9% and 71.3% correspond to 176 and 159 participants in the blue and white light groups, respectively. However, only percentages and not raw numbers are provided for follow-up outcomes, so it was not possible to discern whether percentages reflect number of initially randomized participants or number of participants remaining at follow-up.&nbsp;</p>",Not applicable,,Not applicable,,Unclear risk,"<p>Quote: NA</p>
<p>Comment: no protocol available</p>",Low risk,"<p>Quote: NA</p>
<p>Comment: no other bias identified</p>"
Geavlete 2012,Low risk,"<p>Quote: ""randomized by means of sealed envelopes, thus ensuring allocation concealment by the ‘sequentially-numbered, opaque, sealed envelopes’ method""</p>
<p>Comment: method of sequence generation clearly described</p>",Low risk,"<p>Quote: ""randomized by means of sealed envelopes, thus ensuring allocation concealment by the ‘sequentially-numbered, opaque, sealed envelopes’ method""</p>
<p>Comment: allocation concealment clearly described</p>",High risk,"<p>Quote:&nbsp;""in each case, the urologist performing the procedure was informed on whether HAL-BLC would be available only after finishing the WLC to ensure maximum attention to the standard investigation""</p>
<p>Comment: surgeon unblinded</p>",Unclear risk,"<p>Quote: NA</p>
<p>Comment: unclear whether study participants and other study personnel were blinded</p>",Unclear risk,"<p>Quote: ""to ensure the complete objectivity of the evaluation, the urologists performing the follow-up of WLCs were unaware of the diagnostic and treatment modality initially applied in each case""</p>
<p>Comment: blinding of study personnel reported only at the time point of WLCs</p>",Unclear risk,"<p>Quote: ""during the follow-up period, 17 patients in the HAL-BLC arm and 13 in the WLC arm did not complete the 2 years protocol and were consequently excluded from the trial.""</p>
<p>Comment: unclear rate (10% to 20%) of participants lost to follow-up</p>",Not applicable,,Not applicable,,Unclear risk,"<p>Quote: NA</p>
<p>Comment: no protocol available</p>",Low risk,"<p>Quote: NA</p>
<p>Comment: no other bias identified</p>"
Gkritsios 2014,Low risk,"<p>Quote: ""randomization plan was produced with the use of an electronic randomization plan generator (randomization.com), with the method of randomly permuted blocks""</p>
<p>Comment: method of sequence generation clearly described</p>",Unclear risk,"<p>Quote: ""randomization plan was produced with the use of an electronic randomization plan generator (randomization.com), with the method of randomly permuted blocks""</p>
<p>Comment: method of sequence generation clearly described</p>",High risk,"<p>Quote: NA</p>
<p>Comment: surgeon unblinded</p>",Unclear risk,"<p>Quote: NA</p>
<p>Comment: unclear whether study participants and other study personnel were blinded</p>",Unclear risk,"<p>Quote: NA</p>
<p>Comment: unclear whether study personnel were blinded</p>",High risk,"<p>Quote: ""excluded from follow-up n=6 and n=13, respectively (see figure 1)""</p>
<p>Comment: high rate (≥ 20%) of participants lost to follow-up</p>",Not applicable,,Not applicable,,Low risk,"<p>Quote: NA</p>
<p>Comment: reporting according to the protocol (UMIN000008176) of primary and secondary outcome measures</p>",Low risk,"<p>Quote: NA</p>
<p>Comment: no other bias identified</p>"
Heer 2022,Low risk,"<p>Quote: “Following informed consent, participants were centrally randomly assigned to treatment groups by hospital clinical teams using the Centre for Healthcare Randomized Trials’ Web-based or interactive voice response randomization system. Random assignment (1:1) to the control (WL) or the experimental (PDD) group was by minimization balanced by center and sex and incorporating a random element.”</p><p>Comment: method of sequence generation clearly described</p>",Low risk,<p>Quote: “Treatment allocation was not masked (but outcome assessors and study personnel were).”</p><p>Comment: allocation concealment clearly described</p>,High risk,<p>Quote: NA</p><p>Comment: surgeon unblinded</p>,Unclear risk,<p>Quote: NA</p><p>Comment: unclear whether study participants were blinded</p>,Low risk,<p>Quote: “Treatment allocation was not masked (but outcome assessors and study personnel were).”</p><p>Comment: outcome assessors and study personnel were blinded</p>,Low risk,<p>Quote: “There were five postrandomization exclusions.”</p><p>Comment: loss to follow-up was &lt; 10 %</p>,Low risk,<p>Quote: NA</p><p>Comment: all relevant participants taken into account in analysis</p>,Low risk,<p>Quote: NA (Table 3)</p><p>Comment: all relevant participants taken into account in analysis</p>,Low risk,<p>Quote: NA</p><p>Comment: reporting of primary and secondary outcome measures according to protocol</p>,Low risk,<p>Quote: NA</p><p>Comment: no other bias identified</p>
Hermann 2011,Unclear risk,"<p>Quote: ""eligible patients were randomized just before surgery to one of two treatment groups""</p>
<p>Comment: method of sequence generation unclear</p>",Unclear risk,"<p>Quote: ""eligible patients were randomized just before surgery to one of two treatment groups""</p>
<p>Comment: allocation concealment unclear</p>",High risk,"<p>Quote: NA</p>
<p>Comment: surgeon unblinded</p>",Unclear risk,"<p>Quote: NA</p>
<p>Comment: unclear whether study participants and other study personnel were blinded</p>",Unclear risk,"<p>Quote: NA</p>
<p>Comment: unclear whether study personnel were blinded</p>",High risk,"<p>Quote: ""thirteen patients were excluded from the HAL group and one from&nbsp;the white light group (Fig. 2). Fourteen patients were lost to follow-up.""</p>
<p>Comment: high rate (≥ 20%) of participants lost to follow-up, which was also substantially different between groups</p>",Not applicable,,Not applicable,,Low risk,"<p>Quote: NA</p>
<p>Comment: reporting according to the protocol (NCT00412971) of primary outcome measures (tumor recurrence rates, recurrence-free survival within 1 year) and secondary outcome measures (additional lesion found by blue light&nbsp;cystoscopy, false-positive detection rate)</p>",Low risk,"<p>Quote: NA</p>
<p>Comment: no other bias identified</p>"
Karaolides 2012,Unclear risk,"<p>Quote: ""patients with suspected bladder cancer were randomized""</p>
<p>Comment: method of sequence generation unclear</p>",Unclear risk,"<p>Quote: ""patients with suspected bladder cancer were randomized""</p>
<p>Comment: allocation concealment unclear</p>",High risk,"<p>Quote: NA</p>
<p>Comment: surgeon unblinded</p>",Unclear risk,"<p>Quote: NA</p>
<p>Comment: unclear whether other study personnel were blinded</p>",Unclear risk,"<p>Quote: NA</p>
<p>Comment: unclear whether study personnel were blinded</p>",Low risk,"<p>Quote: excluded from follow-up n = 1 and n = 1, respectively (see Figure 1)</p>
<p>Comment: low rate of participants (&lt; 10%) lost to follow-up</p>",Not applicable,,Not applicable,,Unclear risk,"<p>Quote: NA</p>
<p>Comment: no protocol available</p>",Low risk,"<p>Quote: NA</p>
<p>Comment: no other bias identified</p>"
Kriegmaier 2002,Unclear risk,"<p>Quote: ""the randomization procedure was stratified according to participating centers and further by the potentially prognostically relevant risk score, defined according to the results of European Organization for the Research and Treatment of Cancer studies 30831, 30790 and 30782 as 1—recurrence, 2—early recurrence at less than 12 months, 3—bacillus Calmette-Guerin therapy less than 12 months in duration and 4—a history of carcinoma in situ""</p>
<p>Comment: method of sequence generation unclear</p>",Unclear risk,"<p>Quote: ""the randomization procedure was stratified according to participating centers and further by the potentially prognostically relevant risk score, defined according to the results of European Organization for the Research and Treatment of Cancer studies 30831, 30790 and 30782 as 1—recurrence, 2—early recurrence at less than 12 months, 3—bacillus Calmette-Guerin therapy less than 12 months in duration and 4—a history of carcinoma in situ""</p>
<p>Comment: allocation concealment unclear</p>",High risk,"<p>Quote: NA</p>
<p>Comment: surgeon unblinded</p>",Unclear risk,"<p>Quote: NA</p>
<p>Comment: unclear whether study participants and other study personnel were blinded</p>",Unclear risk,"<p>Quote: NA</p>
<p>Comment: unclear whether study personnel were blinded</p>",High risk,"<p>Quote: NA</p>
<p>Comment: loss to follow-up was &gt; 20%</p>",Not applicable,,Not applicable,,Unclear risk,"<p>Quote: NA</p>
<p>Comment: no protocol available</p>",Low risk,"<p>Quote: NA</p>
<p>Comment: no other bias identified</p>"
