Study,Arm,Description,Intervention
Alsabbagh 2012,"Telephone (synchronous, fixed line phones or mobile devices)",,"Telephone (synchronous, fixed line phones or mobile devices)"
Alsabbagh 2012,Usual care,,Usual care
Bosworth 2018,"Telephone (synchronous, fixed line phones or mobile devices)",,"Telephone (synchronous, fixed line phones or mobile devices)"
Bosworth 2018,Usual care,,Usual care
Bynum 2001,Usual care,,Usual care
Bynum 2001,Video (synchronous),,Video (synchronous)
Gautier 2021,"E-mail, SMS or text message",,"E-mail, SMS or text message"
Gautier 2021,Usual care,,Usual care
Gonzales 2021,Smart mobile devices (synchronous),,Smart mobile devices (synchronous)
Gonzales 2021,Usual care,,Usual care
Hoda 2023,Multiple combination devices (include non-mobile device),,Multiple combination devices (include non-mobile device)
Hoda 2023,Usual care,,Usual care
Hussain 2024,Smart mobile devices (synchronous),,Smart mobile devices (synchronous)
Hussain 2024,Usual care,,Usual care
Ibrahim 2022,Multiple combination devices (include non-mobile device),,Multiple combination devices (include non-mobile device)
Ibrahim 2022,Usual care,,Usual care
Ihekoronye 2024,"E-mail, SMS or text message",,"E-mail, SMS or text message"
Ihekoronye 2024,Usual care,,Usual care
Kosse 2019,Smart mobile devices (synchronous),,Smart mobile devices (synchronous)
Kosse 2019,Usual care,,Usual care
Lauffenburger 2019,"Telephone (synchronous, fixed line phones or mobile devices)",,"Telephone (synchronous, fixed line phones or mobile devices)"
Lauffenburger 2019,Usual care,,Usual care
Margolis 2013,Multiple combination devices (include non-mobile device),,Multiple combination devices (include non-mobile device)
Margolis 2013,Usual care,,Usual care
Mozu 2023,"Telephone (synchronous, fixed line phones or mobile devices)",,"Telephone (synchronous, fixed line phones or mobile devices)"
Mozu 2023,Usual care,,Usual care
Odegard 2012,"Telephone (synchronous, fixed line phones or mobile devices)",,"Telephone (synchronous, fixed line phones or mobile devices)"
Odegard 2012,Usual care,,Usual care
Powers 1983,"Telephone (synchronous, fixed line phones or mobile devices)",,"Telephone (synchronous, fixed line phones or mobile devices)"
Powers 1983,Usual care,,Usual care
Salmany 2018,"Telephone (synchronous, fixed line phones or mobile devices)",,"Telephone (synchronous, fixed line phones or mobile devices)"
Salmany 2018,Usual care,,Usual care
Sarayani 2018,"Telephone (synchronous, fixed line phones or mobile devices)",,"Telephone (synchronous, fixed line phones or mobile devices)"
Sarayani 2018,Usual care,,Usual care
Scala 2018,"Telephone (synchronous, fixed line phones or mobile devices)",,"Telephone (synchronous, fixed line phones or mobile devices)"
Scala 2018,Usual care,,Usual care
Shdaifat 2022,Smart mobile devices (synchronous),,Smart mobile devices (synchronous)
Shdaifat 2022,Usual care,,Usual care
Sudas Na Ayutthaya 2018,"Telephone (synchronous, fixed line phones or mobile devices)",,"Telephone (synchronous, fixed line phones or mobile devices)"
Sudas Na Ayutthaya 2018,Usual care,,Usual care
Young 2012,"Telephone (synchronous, fixed line phones or mobile devices)",,"Telephone (synchronous, fixed line phones or mobile devices)"
Young 2012,Usual care,,Usual care
