Analysis group,Analysis number,Analysis name,Subgroup,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes,Bias arising from the randomization process (judgement),Bias arising from the randomization process (support),Bias due to deviations from intended interventions (judgement),Bias due to deviations from intended interventions (support),Bias due to missing outcome data (judgement),Bias due to missing outcome data (support),Bias in measurement of the outcome (judgement),Bias in measurement of the outcome (support),Bias in selection of the reported result (judgement),Bias in selection of the reported result (support),Overall bias (judgement),Overall bias (support)
1,1,Net weight loss (kg),,SUBGROUP_AND_OVERALL,Allen 2010,2010,0.0,0.0,2.66,2.44,0,20,1.64,2.34,0,21,0.0,0.0,7.536613,1.02,-0.444636,2.484636,"Until hospital day 3 or discharge, whichever came first. ",Some concerns,<p>Patients were randomized in a 1:1 ratio using a computer-generated scheme. <br/>No information available regarding the concealment of allocation sequence. </p>,Low risk,<p>No blinding applied to patients nor caregivers. </p>,Low risk,<p>Follow-up was 100% at discharge. </p>,Low risk,"<p>No blinding to the assessors, however, the outcome doesn't involve subjective judgment therefore unlikely to be influenced by the possible awareness of allocation by the assessors. </p>",Some concerns,<p>No pre-specified analysis plan available or published prior to the analysis of the outcome data. </p>,Some concerns,"<p>There are concerns of bias in the randomization process due to lack of information over the concealment of the allocation, as well as in the selection of the reported result due to lack of pre-specified analysis plan. </p>"
1,1,Net weight loss (kg),,SUBGROUP_AND_OVERALL,Felker 2011,2011,0.0,0.0,3.67,4.67,0,152,3.08,3.54,0,156,0.0,0.0,16.688496,0.59,-0.337232,1.517232,At 72 hours.,Low risk,"<p>The study treatment, with group assignments concealment, was continued for up to 72 hours. After 72 hours, all treatment was open-label at the discretion of the treating physician, who did not have knowledge of the prior study-treatment assignment. </p>",Low risk,"<p>A double-blind, double-dummy design was used so that all patients received both intravenous boluses every 12 hours and a continuous infusion, one of which contained Furosemide and the other a saline placebo. </p><p>Intention-to-treat analysis used. </p>",Low risk,"<p>No lost in follow-up, and no exclusion from analysis in this outcome.</p>",Low risk,"<p>Double-blind, double-dummy design. Also, the measurement of body weight is unlikely to be influenced by the allocation of the patients as it is not a subjective outcome. </p>",Low risk,<p>The analysis plan published ahead of the trial in keeping with the published version. </p>,Low risk,<p>Low risk of bias in all sections. </p>
1,1,Net weight loss (kg),,SUBGROUP_AND_OVERALL,Sager 2020,2020,0.0,0.0,1.43,1.2,0,18,1.14,1.2,0,20,0.0,0.0,22.570411,0.29,-0.474135,1.054135,Until discharge.,High risk,<p>From communication with the author: patients were randomly allocated to either treatment groups on admission. No concealment of the allocation sequence. </p>,Some concerns,<p>No blinding to patients or carers.</p><p>Not ITT.</p>,Low risk,<p>No missing outcome data. </p>,Low risk,"<p>Not blinded to allocation of patients. However, the measurement of bodyweight is unlikely to be influenced by the awareness of the allocation.</p>",Some concerns,<p>No information in pre-specified analysis plan. </p>,High risk,<p>High risk of bias from the randomization process due to lack of concealment to the allocation. </p>
1,1,Net weight loss (kg),,SUBGROUP_AND_OVERALL,Yayla 2015,2015,0.0,0.0,4.6,5.2,0,15,4.1,2.7,0,14,0.0,0.0,1.936148,0.5,-2.487503,3.487503,Until decompensation.,Low risk,<p>Patients were randomized to the therapeutic regimens by an initial computer algorithm blinded to the treating physicians. <br/>No significant difference at baseline characteristics except the difference in the percentage of beta blocker usage between the treatment groups. </p>,Low risk,"<p>Blinding to the treating physicians applied, however, patients should be able to tell whether they received bolus injections or continuous infusions of Furosemide. </p>",Low risk,<p>No missing outcome data.</p>,Low risk,"<p>No blinding to the assessors mentioned. However, the outcome assessment doesn't involve subjective judgment, therefore is unlikely to be influenced by the awareness of the allocation.</p>",Some concerns,<p>No analysis protocol/plan availble to check against which was published prior to the study. </p>,Some concerns,"<p>Patients were randomized to the therapeutic regimens by an initial computer algorithm blinded to the treating physicians. <br/>No significant difference in baseline characteristics except the difference in the percentage of beta blocker usage between the treatment groups. <br/>Blinding to the treating physicians applied, however, patients should be able to tell whether they received bolus injections or continuous infusions of Furosemide.</p><p>No blinding to the assessors was reported. However, the outcome assessment doesn't involve subjective judgment, therefore is unlikely to be influenced by the awareness of the allocation.</p><p>Some concerns in the risk of bias in the selection of reported results due to the lack of a pre-specified analysis plan which was finalized before unblinded outcome data were available for analysis. </p>"
1,1,Net weight loss (kg),,SUBGROUP_AND_OVERALL,Zheng 2021,2021,0.0,0.0,4.72,1.01,0,42,3.53,0.73,0,39,0.0,0.0,51.268332,1.19,0.808173,1.571827,At 72 hours.,Some concerns,<p>Randomization was performed using the sequentially numbered cases by computer-generated scheme. No description of the allocation concealment. </p>,Some concerns,"<p>No blinding applied. Patients, carers, and treating professionals could be aware of the allocation for the patients.</p><p>8 patients dropped out in the bolus injection group, 5 dropped out in the continuous infusion group. Out of the patients who dropped out, 5 required Furosemide dose adjustment (3 in bolus injection group, 2 in continuous infusion group), and remaining 8 required renal replacement (5 in bolus injection gorup, 3 in continuous infusion group). The drop-out was significant in number, however, no ITT was used in analysis. <br/> </p>",High risk,"<p>Dropped out of 5 patients in continuous infusion group (n=47), while 8 patients dropped out in the bolus injection group (n=47). <br/>With the drop-out of 13 patients in total, no ITT method was used, and the patients who dropped out were either due to the requirement of renal placement therapy or Furosemide dose adjustment, both could be direct consequences of inadequate diuresis, overdiuresis or adverse events related to Furosemide treatment. <br/>There is higher drop-out rate in the patients who received bolus injection of Furosemide as compared to those received continuous infusion of Furosemide. </p>",Low risk,"<p>The outcome assessors were not blinded to the treatment allocation of the patients.<br/>However, the bodyweight assessment is objective, unlikely to be influenced by the awareness of the allocation by the assessors. </p>",Some concerns,<p>No pre-specified analysis plan that was finalized before unblinded outcome data were available for analysis</p>,High risk,"<p>High risk of bias in missing outcome data. Some concerns in the randomization process, deviation from intended interventions, and in the selection of reported result.</p><p> </p>"
1,2,All-cause mortality,,SUBGROUP_AND_OVERALL,Allen 2010,2010,0.0,0.0,0.0,0.0,1,20,0.0,0.0,0,21,0.0,0.0,4.08859,3.142857,0.135454,72.921919,90 days.,Some concerns,<p>Patients were randomized in a 1:1 ratio using a computer-generated scheme. <br/>No information available regarding the concealment of allocation sequence. </p>,Low risk,<p>Not blinding of the patients or caregivers. It is possible for both sides to know whether the patient was allocated to the continuous infusion group or bolus group due to obvious differences in its administration.<br/>No deviation was noted.</p><p>ITT.</p>,Low risk,<p>No missing data.</p>,Low risk,"<p>Assessors were not blinded to the allocation of patients, however, given mortality data doesn't involve subjective assessment or judgment from the assessors, therefore, the possibility of assessors' awareness is unlikely to influence the outcomes.</p>",Some concerns,<p>No information in pre-specified analysis plan that was finalized before unblinded outcome data were available for analysis</p>,Some concerns,"<p>Some concerns in risk of bias from the randomization process due to lack of information in the concealment of allocation, and lack of information in the pre-specified analysis plan. </p>"
1,2,All-cause mortality,,SUBGROUP_AND_OVERALL,Felker 2011,2011,0.0,0.0,0.0,0.0,16,152,0.0,0.0,13,156,0.0,0.0,69.363583,1.263158,0.629204,2.535852,60 days.,Low risk,"<p>The study treatment, with group assignments concealment, was continued for up to 72 hours. After 72 hours, all treatment was open-label at the discretion of the treating physician, who did not have knowledge of the prior study-treatment assignment. </p>",Low risk,"<p>A double-blind, double-dummy design was used so that all patients received both intravenous boluses every 12 hours and a continous infusion, one of which contained Furosemide and the other a saline placebo.</p><p>ITT.</p>",Low risk,"<p>No lost in follow-up, and no exclusion from analysis in this outcome.</p>",Low risk,"<p>Double-blind, double-dummy design. The mortality assessment doesn't involve subjective judement either. </p>",Low risk,<p>The ananlysis plan published ahead of the trial in keeping with the published version. </p>,Low risk,<p>Low risk of bias in all sections. </p>
1,2,All-cause mortality,,SUBGROUP_AND_OVERALL,Sager 2020,2020,0.0,0.0,0.0,0.0,8,20,0.0,0.0,2,20,0.0,0.0,19.266443,4.0,0.966732,16.550614,90 days.,High risk,<p>From communication with the author: patients were randomly allocated to either treatment groups on admission. No concealment of the allocation sequence. </p>,Some concerns,<p>No blinding to patients or carers.</p><p>No ITT. </p>,Low risk,<p>No missing outcome data. </p>,Low risk,"<p>No blinding applied to outcome assessors. However, the assessment of all-cause mortality is not a subjective process anyway. </p>",Some concerns,<p>No information in the pre-specified analysis plan that was finalized before unblinded outcome data were available for analysis.</p>,High risk,<p>High risk of bias in randomization process due to lack of concealment to the allocation. </p>
1,2,All-cause mortality,,SUBGROUP_AND_OVERALL,Shah 2014,2014,0.0,0.0,0.0,0.0,1,30,0.0,0.0,2,30,0.0,0.0,7.281384,0.5,0.047851,5.224499,30 days.,Some concerns,<p>No description in randomization and allocation concealment.<br/>No significant difference noted at baseline.</p>,Some concerns,<p>Not blinding of the patients or caregivers. It is possible for both sides to know whether the patient was allocated to the continuous infusion group or bolus group due to obvious differences in its administration.<br/>No deviation was noted.<br/>Intention-to-treat analysis. </p>,Low risk,<p>No missing outcome data. </p>,Low risk,"<p>Assessors were not blinded to the allocation of patients. However, the assessment of all-cause mortality is not a judgmental process.</p>",Some concerns,<p>No information in a pre-specified analysis plan that was finalized before unblinded outcome data were available for analysis.</p>,Some concerns,<p>Some concerns in the deviations from the intended interventions and selection of reported result. </p>
1,2,All-cause mortality,,SUBGROUP_AND_OVERALL,Zheng 2021,2021,0.0,0.0,0.0,0.0,0,42,0.0,0.0,0,39,0.0,0.0,,,,,During hospitalisation.,Some concerns,<p>Randomization was performed using the sequentially numbered cases by computer-generated scheme. No description of the allocation concealment. </p>,Some concerns,"<p>No blinding applied. Patients, carers and treating professionals could be aware of the allocation for the patients.</p><p> </p><p>8 patients dropped out in the bolus injection group, 5 dropped out in the continuous infusion group. Out of the patients who dropped out, 5 required Furosemide dose adjustment (3 in bolus injection group, 2 in continuous infusion group), and remaining 8 required renal replacement (5 in bolus injection gorup, 3 in continuous infusion group). The drop-out was significant in number, however, no ITT was used in analysis. </p>",High risk,"<p>Five patients dropped out from the continuous infusion group (n=47), and 8 patients dropped out from the bolus injection group (n=47). <br/>The drop-out was either due to the requirement of renal placement therapy or Furosemide dose adjustment, both could be direct consequences of inadquate diuresis, overdiuresis or adverse events related to Furosemide treatment. <br/>There is higher drop-out rate in the patients who received bolus injection of Furosemide as compared to those received continuous infusion of Furosemide. </p><p>With drop-out of 13 patients in total, no ITT method was used, <br/> </p>",Low risk,"<p>The outcome assessors were not blinded to the treatment allocation of the patients.<br/>The assessment of all-cause mortality doesn't involve subjective judgment, therefore, unlikely to be influenced by the awareness of patients' allocations.<br/> </p>",Some concerns,<p>No information in a pre-specified analysis plan that was finalized before unblinded outcome data were available for analysis.</p>,High risk,<p>High risk of bias due to missing outcome data. </p>
