Analysis group,Analysis number,Analysis name,Analysis group name,Data source,Data source eligibility,Data type,Log-scale data,Outcome,Intervention grouping,Experimental intervention,Control intervention,Subgroup by,Filter criteria,Experimental group label,Control group label,Statistical method,Effect measure,Unit of effect measure,Analysis model,Subgroup estimates,Overall estimates,Test for subgroup differences,Swap event and non-event,Study CI,Estimate CI,Experimental cases,Experimental N,Control cases,Control N,Mean,CI start,CI end,Heterogeneity Tau²,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect P,Subgroup Chi²,Subgroup df,Subgroup P,Subgroup I²,ID
1,1,Net weight loss (kg),Meta-analysis continuous infusion versus bolus injection,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,247,,250,0.860564,0.440262,1.280865,0.051744,5.056137,4,0.281586,20.888217,4.013012,6.0E-5,,,,,analysis:433900572824573240
1,2,All-cause mortality,Meta-analysis continuous infusion versus bolus injection,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,26,264,17,266,1.530328,0.80767,2.899583,0.026847,3.12806,3,0.372299,4.093908,1.304882,0.191933,,,,,analysis:433901094208544258
1,3,Length of hospital stay (days),Meta-analysis continuous infusion versus bolus injection,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,107,,104,-1.096902,-4.836416,2.642612,12.068564,24.266872,3,2.2E-5,87.637467,0.574911,0.565351,,,,,analysis:433901343160148218
1,4,Readmission to hospital following discharge for the longest available follow-up stated in the trials ,Meta-analysis continuous infusion versus bolus injection,Custom input,"#N/A",Dichotomous,true,,,,,,,,,IV,Risk Ratio,,Fixed effect,true,true,true,false,95%,95%,53,197,64,203,0.854138,0.628565,1.160662,,0.057345,2,0.971735,0.0,1.007694,0.313601,,,,,analysis:433901512625496545
1,5,Acute kidney injury (adverse event),Meta-analysis continuous infusion versus bolus injection,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,41,224,47,267,1.018903,0.695461,1.492772,0.0,0.711213,2,0.700749,0.0,0.096107,0.923435,,,,,analysis:436917683091363508
2,1,Net weight loss (kg),Sensitivity analysis – exclusion of trials with high risk of bias,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,187,,191,0.699323,-0.058486,1.457133,0.0,0.25465,2,0.880447,0.0,1.808698,0.070498,,,,,analysis:447835197183380731
2,2,All-cause mortality,Sensitivity analysis – exclusion of trials with high risk of bias,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,18,202,15,207,1.222759,0.636116,2.350421,0.0,0.912565,2,0.633635,0.0,0.60318,0.546389,,,,,analysis:447835200395693374
2,3,Length of hospital stay (days),Sensitivity analysis – exclusion of trials with high risk of bias,Custom input,"#N/A",Continuous,false,,,,,,,,,IV,Mean Difference,,Random effect,true,true,true,false,95%,95%,,65,,65,0.610206,-1.525946,2.746358,1.528448,3.443012,2,0.178797,41.91132,0.559877,0.575564,,,,,analysis:447835203082669441
2,4,Readmission to hospital following discharge for the longest available follow-up stated in the trials ,Sensitivity analysis – exclusion of trials with high risk of bias,Custom input,"#N/A",Dichotomous,true,,,,,,,,,IV,Risk Ratio,,Fixed effect,true,true,true,false,95%,95%,49,182,58,186,0.863807,0.626991,1.19007,,9.5E-4,1,0.975411,0.0,0.89555,0.370493,,,,,analysis:447835205415751097
2,5,Acute kidney injury (adverse event),Sensitivity analysis – exclusion of trials with high risk of bias,Custom input,"#N/A",Dichotomous,true,,,,,,,,,MH,Risk Ratio,,Random effect,true,true,true,false,95%,95%,34,182,38,228,1.102062,0.721788,1.682682,0.0,7.7E-5,1,0.99298,0.0,0.450075,0.652657,,,,,analysis:447835208776699367
